question_id,scenario_id,foundation,shift_tier,question_type,scenario_text_en,question_en,option_A,option_B,option_C,option_D,correct_option,ambiguity_flag,ambiguity_note,reviewer_1_status,reviewer_2_status,notes
S26_Q1,S26,Care/Harm,high,Actor,"For nearly a year, Emma has been helping her elderly neighbor, Mr. Harris, by picking up his blood pressure medicine every Thursday. Mr. Harris lives alone and has no close family nearby. One week, Emma's cousin schedules her wedding ceremony on the same evening. Emma realizes she will not have enough time to do both. She decides to attend the wedding without telling anyone that Mr. Harris will miss his medicine. By the following afternoon, Mr. Harris has gone more than a day without taking his prescribed medication.","In the scenario concerning a conflict involving weekly assistance, who performed the central action?",The neighbor who usually collected the medicine,The elderly neighbor,The cousin holding the wedding,A pharmacist,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S26_Q2,S26,Care/Harm,high,Main action,"For nearly a year, Emma has been helping her elderly neighbor, Mr. Harris, by picking up his blood pressure medicine every Thursday. Mr. Harris lives alone and has no close family nearby. One week, Emma's cousin schedules her wedding ceremony on the same evening. Emma realizes she will not have enough time to do both. She decides to attend the wedding without telling anyone that Mr. Harris will miss his medicine. By the following afternoon, Mr. Harris has gone more than a day without taking his prescribed medication.","In the scenario concerning a conflict involving weekly assistance, what central action was taken?",She postponed the wedding,She attended the wedding without arranging the medicine pickup,She delivered the medicine early,She asked the pharmacist to visit,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S26_Q3,S26,Care/Harm,high,Affected party/object,"For nearly a year, Emma has been helping her elderly neighbor, Mr. Harris, by picking up his blood pressure medicine every Thursday. Mr. Harris lives alone and has no close family nearby. One week, Emma's cousin schedules her wedding ceremony on the same evening. Emma realizes she will not have enough time to do both. She decides to attend the wedding without telling anyone that Mr. Harris will miss his medicine. By the following afternoon, Mr. Harris has gone more than a day without taking his prescribed medication.","In the scenario concerning a conflict involving weekly assistance, who or what was directly affected?",The wedding guests,The pharmacist's family,The elderly neighbor who depended on the weekly pickup,A hospital administrator,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S26_Q4,S26,Care/Harm,high,Consequence/outcome,"For nearly a year, Emma has been helping her elderly neighbor, Mr. Harris, by picking up his blood pressure medicine every Thursday. Mr. Harris lives alone and has no close family nearby. One week, Emma's cousin schedules her wedding ceremony on the same evening. Emma realizes she will not have enough time to do both. She decides to attend the wedding without telling anyone that Mr. Harris will miss his medicine. By the following afternoon, Mr. Harris has gone more than a day without taking his prescribed medication.","In the scenario concerning a conflict involving weekly assistance, what consequence or outcome is explicitly stated?",He received a replacement prescription immediately,The wedding was cancelled,A relative moved in that evening,He went more than a day without his prescribed medication,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S40_Q1,S40,Care/Harm,high,Actor,A bus driver notices a child left behind at a stop but continues driving to stay on schedule.,"In the scenario concerning a delayed bus route, who performed the central action?",The child,The bus driver,A passenger,The route supervisor,B,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S40_Q2,S40,Care/Harm,high,Main action,A bus driver notices a child left behind at a stop but continues driving to stay on schedule.,"In the scenario concerning a delayed bus route, what central action was taken?",The driver stopped and waited with the child,The child boarded another bus,The driver continued the route to remain on schedule,A passenger called the school,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S40_Q3,S40,Care/Harm,high,Affected party/object,A bus driver notices a child left behind at a stop but continues driving to stay on schedule.,"In the scenario concerning a delayed bus route, who or what was directly affected?",The route supervisor,A mechanic,The bus company accountant,The child left behind at the stop,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S40_Q4,S40,Care/Harm,high,Consequence/outcome,A bus driver notices a child left behind at a stop but continues driving to stay on schedule.,"In the scenario concerning a delayed bus route, what consequence or outcome is explicitly stated?",The bus continued while the child remained at the stop,The route was cancelled,The child was driven home by the driver,The bus returned immediately,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S05_Q1,S05,Care/Harm,low,Actor,"James had promised his younger sister, Clara, that he would accompany her to a medical appointment she had been dreading for months — she has severe anxiety and cannot manage the experience alone. The morning of the appointment, James receives an invitation to a lunch with professional contacts he considers important for his career. He sends Clara a message an hour before her appointment saying he cannot make it. Clara cancels the appointment and does not rebook. Her condition deteriorates over the following months in a way that her doctor later says earlier monitoring would likely have caught.
How blameworthy is James for the consequences of cancelling?","In the scenario concerning missed appointment support, who performed the central action?",The anxious sister,Her doctor,The brother who had promised to accompany his sister,A professional contact,C,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S05_Q2,S05,Care/Harm,low,Main action,"James had promised his younger sister, Clara, that he would accompany her to a medical appointment she had been dreading for months — she has severe anxiety and cannot manage the experience alone. The morning of the appointment, James receives an invitation to a lunch with professional contacts he considers important for his career. He sends Clara a message an hour before her appointment saying he cannot make it. Clara cancels the appointment and does not rebook. Her condition deteriorates over the following months in a way that her doctor later says earlier monitoring would likely have caught.
How blameworthy is James for the consequences of cancelling?","In the scenario concerning missed appointment support, what central action was taken?",He attended the appointment and missed lunch,He rescheduled the appointment himself,He asked the doctor to visit at home,He cancelled an hour before the appointment to attend a career lunch,D,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
S05_Q3,S05,Care/Harm,low,Affected party/object,"James had promised his younger sister, Clara, that he would accompany her to a medical appointment she had been dreading for months — she has severe anxiety and cannot manage the experience alone. The morning of the appointment, James receives an invitation to a lunch with professional contacts he considers important for his career. He sends Clara a message an hour before her appointment saying he cannot make it. Clara cancels the appointment and does not rebook. Her condition deteriorates over the following months in a way that her doctor later says earlier monitoring would likely have caught.
How blameworthy is James for the consequences of cancelling?","In the scenario concerning missed appointment support, who or what was directly affected?",The younger sister who could not manage the appointment alone,The professional contacts,The hospital receptionist,Their parents,A,Pending human review,,Pending,Pending,Factual comprehension item; no moral judgment is requested.
