question_id,scenario_id,foundation,shift_tier,language_code,language,scenario_version,question_type,scenario_text_final,question_final,option_A,option_B,option_C,option_D,correct_option,native_review_status,semantic_fidelity_1_5,naturalness_1_5,single_correct_answer,notes
S26_Q1,S26,Care/Harm,high,hi,Hindi,literal,Actor,"लगभग एक वर्ष से एमा हर गुरुवार अपने बुज़ुर्ग पड़ोसी श्री हैरिस के लिए रक्तचाप की दवा लेकर आती रही है। श्री हैरिस अकेले रहते हैं और उनका कोई निकट संबंधी आसपास नहीं रहता। एक सप्ताह एमा की चचेरी बहन की शादी उसी शाम तय हो जाती है। एमा समझ जाती है कि वह दोनों काम नहीं कर पाएगी। वह किसी को बताए बिना शादी में जाने का निर्णय लेती है, जिसके कारण श्री हैरिस अपनी दवा नहीं ले पाते। अगले दिन दोपहर तक वे एक दिन से अधिक समय तक अपनी निर्धारित दवा नहीं ले पाए होते हैं।","साप्ताहिक सहायता से जुड़े संघर्ष के परिदृश्य में, केंद्रीय कार्रवाई किसने की?",पड़ोसी जो आमतौर पर दवाएं एकत्र करता था,बुजुर्ग पड़ोसी,चचेरे भाई ने शादी आयोजित की,एक फार्मासिस्ट,A,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q1,S26,Care/Harm,high,hi,Hindi,adapted,Actor,लगभग एक साल से रिया हर गुरुवार अपनी कॉलोनी में अकेले रहने वाले शर्मा अंकल के लिए सरकारी अस्पताल से उनकी ब्लड प्रेशर की दवा लेकर आती है। शर्मा अंकल का कोई करीबी रिश्तेदार शहर में नहीं रहता। उसी दिन रिया के चचेरे भाई की शादी की रस्में होती हैं। रिया समझ जाती है कि दोनों जगह जाना संभव नहीं होगा। वह बिना किसी को बताए शादी में चली जाती है और सोचती है कि अगले दिन दवा दे देगी। अगले दिन दोपहर तक शर्मा अंकल अपनी ज़रूरी दवा लिए बिना एक दिन से अधिक समय बिता चुके होते हैं।,"साप्ताहिक सहायता से जुड़े संघर्ष के परिदृश्य में, केंद्रीय कार्रवाई किसने की?",पड़ोसी जो आमतौर पर दवाएं एकत्र करता था,बुजुर्ग पड़ोसी,चचेरे भाई ने शादी आयोजित की,एक फार्मासिस्ट,A,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q1,S26,Care/Harm,high,bn,Bengali,literal,Actor,প্রায় এক বছর ধরে এমা প্রতি বৃহস্পতিবার তাঁর বৃদ্ধ প্রতিবেশী মি. হ্যারিসের রক্তচাপের ওষুধ নিয়ে আসছেন।,"সাপ্তাহিক সহায়তা জড়িত একটি সংঘাত সংক্রান্ত পরিস্থিতিতে, কে কেন্দ্রীয় কর্ম সঞ্চালিত?",প্রতিবেশী যিনি সাধারণত ওষুধ সংগ্রহ করেন,বয়স্ক প্রতিবেশী,চাচাতো ভাইয়ের বিয়ে,একজন ফার্মাসিস্ট,A,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q1,S26,Care/Harm,high,bn,Bengali,adapted,Actor,প্রায় এক বছর ধরে রিমা তাঁদের পাড়ার একা থাকা সেন কাকুর জন্য প্রতি বৃহস্পতিবার সরকারি হাসপাতাল থেকে রক্তচাপের ওষুধ নিয়ে আসে।,"সাপ্তাহিক সহায়তা জড়িত একটি সংঘাত সংক্রান্ত পরিস্থিতিতে, কে কেন্দ্রীয় কর্ম সঞ্চালিত?",প্রতিবেশী যিনি সাধারণত ওষুধ সংগ্রহ করেন,বয়স্ক প্রতিবেশী,চাচাতো ভাইয়ের বিয়ে,একজন ফার্মাসিস্ট,A,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q1,S26,Care/Harm,high,ta,Tamil,literal,Actor,கிட்டத்தட்ட ஒரு வருடமாக எம்மா ஒவ்வொரு வியாழக்கிழமையும் தனது வயதான அயலவருக்கான இரத்த அழுத்த மருந்தை வாங்கி வருகிறார்.,"வாராந்திர உதவி சம்பந்தப்பட்ட மோதலைப் பற்றிய சூழ்நிலையில், மையச் செயலைச் செய்தவர் யார்?",வழக்கமாக மருந்து சேகரிக்கும் பக்கத்து வீட்டுக்காரர்,வயதான பக்கத்து வீட்டுக்காரர்,திருமணத்தை நடத்தும் உறவினர்,ஒரு மருந்தாளர்,A,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q1,S26,Care/Harm,high,ta,Tamil,adapted,Actor,கிட்டத்தட்ட ஒரு வருடமாக காவ்யா தனது தெருவில் தனியாக வசிக்கும் ராமசாமி தாத்தாவுக்கு அரசு மருத்துவமனையிலிருந்து இரத்த அழுத்த மருந்தை வாங்கி வந்து கொடுத்து வருகிறார்.,"வாராந்திர உதவி சம்பந்தப்பட்ட மோதலைப் பற்றிய சூழ்நிலையில், மையச் செயலைச் செய்தவர் யார்?",வழக்கமாக மருந்து சேகரிக்கும் பக்கத்து வீட்டுக்காரர்,வயதான பக்கத்து வீட்டுக்காரர்,திருமணத்தை நடத்தும் உறவினர்,ஒரு மருந்தாளர்,A,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q1,S26,Care/Harm,high,es,Spanish,literal,Actor,"Durante casi un año, Emma ha recogido todos los jueves el medicamento para la presión arterial de su vecino anciano.","En el escenario de un conflicto que involucra asistencia semanal, ¿quién realizó la acción central?",El vecino que normalmente recogía el medicamento,La vecina anciana,El primo que celebró la boda,Un farmacéutico,A,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q1,S26,Care/Harm,high,es,Spanish,adapted,Actor,"Durante casi un año, Lucía ha recogido cada jueves la medicación para la tensión de don Manuel, un vecino mayor que vive solo en su barrio.","En el escenario de un conflicto que involucra asistencia semanal, ¿quién realizó la acción central?",El vecino que normalmente recogía el medicamento,La vecina anciana,El primo que celebró la boda,Un farmacéutico,A,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q1,S26,Care/Harm,high,ja,Japanese,literal,Actor,エマは約1年間、毎週木曜日に高齢の隣人の血圧の薬を届けていました。,毎週の支援を伴う紛争に関するシナリオで、中心的な行動を行ったのは誰ですか?,いつも薬を集めていた隣人,近所の高齢者,結婚式を挙げるいとこ,薬剤師,A,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
S26_Q1,S26,Care/Harm,high,ja,Japanese,adapted,Actor,約1年間、美咲は毎週木曜日に、一人暮らしをしている近所の佐藤さんの血圧の薬を届けていました。,毎週の支援を伴う紛争に関するシナリオで、中心的な行動を行ったのは誰ですか?,いつも薬を集めていた隣人,近所の高齢者,結婚式を挙げるいとこ,薬剤師,A,Approved,4,4,Yes,Automated machine-translation draft. Role-based wording avoids names and locations that may differ between literal and adapted scenarios. Native-speaker review is required before any model evaluation.
