analysis_version,group_type,group_value,matches,total,match_rate
original_intended,overall,all,728,1000,0.728
original_intended,foundation,Care/Harm,200,200,1
original_intended,foundation,Loyalty/Betrayal,200,200,1
original_intended,foundation,Authority/Subversion,13,200,0.065
original_intended,foundation,Fairness/Cheating,199,200,0.995
original_intended,foundation,Sanctity/Degradation,116,200,0.58
original_intended,scenario,S01,100,100,1
original_intended,scenario,S06,100,100,1
original_intended,scenario,S11,13,100,0.13
original_intended,scenario,S16,100,100,1
original_intended,scenario,S21,100,100,1
original_intended,scenario,S26,100,100,1
original_intended,scenario,S28,99,100,0.99
original_intended,scenario,S29,100,100,1
original_intended,scenario,S30,0,100,0
original_intended,scenario,S34,16,100,0.16
original_intended,model,chatgpt,180,250,0.72
original_intended,model,claude,182,250,0.728
original_intended,model,gemini_flash,181,250,0.724
original_intended,model,gemini_pro,185,250,0.74
original_intended,language,ar,116,160,0.725
original_intended,language,bn,114,160,0.7125
original_intended,language,en,28,40,0.7
original_intended,language,es,114,160,0.7125
original_intended,language,hi,118,160,0.7375
original_intended,language,ja,119,160,0.74375
original_intended,language,ta,119,160,0.74375
original_intended,condition_type,adapted_reason_en,173,240,0.7208333333333333
original_intended,condition_type,adapted_reason_l2,177,240,0.7375
original_intended,condition_type,en_en,28,40,0.7
original_intended,condition_type,translation_reason_en,176,240,0.7333333333333333
original_intended,condition_type,translation_reason_l2,174,240,0.725
