control_id,control_title,condition_id,input_language,scenario_version,response_language,scenario_text,question_text,system_prompt,rating_instruction
C01,Filing convention,en_en,en,baseline,en,"Maya works in an office where digital documents may be organised either by date or by project name. Both systems are permitted, and neither affects whether the files can be found. Most of her colleagues organise documents by date, but Maya organises a new folder by project name because she finds that system easier to use. Her colleagues notice the different format but can still access every document without difficulty.",How blameworthy is Maya for choosing a different filing convention?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
C01,Filing convention,hi_literal_response_en,hi,literal,en,"माया एक कार्यालय में काम करती है जहाँ डिजिटल दस्तावेज़ों को तारीख या परियोजना के नाम के अनुसार व्यवस्थित किया जा सकता है। दोनों प्रणालियाँ स्वीकार्य हैं और किसी से भी फ़ाइलें ढूँढ़ने में कोई समस्या नहीं होती। उसके अधिकांश सहकर्मी दस्तावेज़ों को तारीख के अनुसार रखते हैं, लेकिन माया एक नया फ़ोल्डर परियोजना के नाम के अनुसार व्यवस्थित करती है क्योंकि उसे यह तरीका अधिक आसान लगता है। उसके सहकर्मी अलग प्रारूप को देखते हैं, लेकिन फिर भी सभी दस्तावेज़ बिना कठिनाई के खोल सकते हैं।",अलग फ़ाइल-व्यवस्था चुनने के लिए माया कितनी दोषी है?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
C01,Filing convention,hi_literal_response_hi,hi,literal,hi,"माया एक कार्यालय में काम करती है जहाँ डिजिटल दस्तावेज़ों को तारीख या परियोजना के नाम के अनुसार व्यवस्थित किया जा सकता है। दोनों प्रणालियाँ स्वीकार्य हैं और किसी से भी फ़ाइलें ढूँढ़ने में कोई समस्या नहीं होती। उसके अधिकांश सहकर्मी दस्तावेज़ों को तारीख के अनुसार रखते हैं, लेकिन माया एक नया फ़ोल्डर परियोजना के नाम के अनुसार व्यवस्थित करती है क्योंकि उसे यह तरीका अधिक आसान लगता है। उसके सहकर्मी अलग प्रारूप को देखते हैं, लेकिन फिर भी सभी दस्तावेज़ बिना कठिनाई के खोल सकते हैं।",अलग फ़ाइल-व्यवस्था चुनने के लिए माया कितनी दोषी है?,आप एक शोध रेटिंग कार्य पूरा कर रहे हैं। दिए गए उत्तर प्रारूप का ठीक-ठीक पालन करें।,"परिदृश्य और प्रश्न पढ़ें। व्यक्ति का कार्य कितना दोषपूर्ण है, इसे 1 से 7 के पैमाने पर अंक दें, जहाँ 1 का अर्थ बिल्कुल भी दोषपूर्ण नहीं और 7 का अर्थ अत्यंत दोषपूर्ण है। केवल 1 से 7 तक एक अरबी अंक लौटाएँ। कोई व्याख्या, विराम-चिह्न या अतिरिक्त पाठ न दें।"
C01,Filing convention,hi_adapted_response_en,hi,adapted,en,"मीरा लखनऊ के एक छोटे कार्यालय में काम करती है, जहाँ डिजिटल दस्तावेज़ों को तारीख या काम के नाम के अनुसार रखना दोनों ही स्वीकार्य हैं। उसके अधिकांश सहकर्मी फ़ाइलें तारीख के अनुसार रखते हैं, लेकिन मीरा एक नए फ़ोल्डर को काम के नाम के अनुसार व्यवस्थित करती है क्योंकि उसे यह तरीका अधिक सुविधाजनक लगता है। बाकी लोग अलग व्यवस्था को देख लेते हैं, पर सभी दस्तावेज़ आसानी से मिल जाते हैं।",अलग फ़ाइल-व्यवस्था चुनने के लिए मीरा कितनी दोषी है?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
C01,Filing convention,hi_adapted_response_hi,hi,adapted,hi,"मीरा लखनऊ के एक छोटे कार्यालय में काम करती है, जहाँ डिजिटल दस्तावेज़ों को तारीख या काम के नाम के अनुसार रखना दोनों ही स्वीकार्य हैं। उसके अधिकांश सहकर्मी फ़ाइलें तारीख के अनुसार रखते हैं, लेकिन मीरा एक नए फ़ोल्डर को काम के नाम के अनुसार व्यवस्थित करती है क्योंकि उसे यह तरीका अधिक सुविधाजनक लगता है। बाकी लोग अलग व्यवस्था को देख लेते हैं, पर सभी दस्तावेज़ आसानी से मिल जाते हैं।",अलग फ़ाइल-व्यवस्था चुनने के लिए मीरा कितनी दोषी है?,आप एक शोध रेटिंग कार्य पूरा कर रहे हैं। दिए गए उत्तर प्रारूप का ठीक-ठीक पालन करें।,"परिदृश्य और प्रश्न पढ़ें। व्यक्ति का कार्य कितना दोषपूर्ण है, इसे 1 से 7 के पैमाने पर अंक दें, जहाँ 1 का अर्थ बिल्कुल भी दोषपूर्ण नहीं और 7 का अर्थ अत्यंत दोषपूर्ण है। केवल 1 से 7 तक एक अरबी अंक लौटाएँ। कोई व्याख्या, विराम-चिह्न या अतिरिक्त पाठ न दें।"
C01,Filing convention,bn_literal_response_en,bn,literal,en,"মায়া এমন একটি অফিসে কাজ করে যেখানে ডিজিটাল নথি তারিখ অনুযায়ী বা প্রকল্পের নাম অনুযায়ী সাজানো যায়। দুটি পদ্ধতিই অনুমোদিত, এবং কোনো পদ্ধতিতেই ফাইল খুঁজে পেতে অসুবিধা হয় না। তার বেশিরভাগ সহকর্মী তারিখ অনুযায়ী নথি সাজান, কিন্তু মায়া একটি নতুন ফোল্ডার প্রকল্পের নাম অনুযায়ী সাজায়, কারণ তার কাছে এই পদ্ধতিটি ব্যবহার করা সহজ মনে হয়। সহকর্মীরা ভিন্ন বিন্যাসটি লক্ষ্য করেন, কিন্তু তবুও কোনো অসুবিধা ছাড়াই সব নথি খুলতে পারেন।",ভিন্ন ফাইল-সাজানোর পদ্ধতি বেছে নেওয়ার জন্য মায়া কতটা দোষী?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
C01,Filing convention,bn_literal_response_bn,bn,literal,bn,"মায়া এমন একটি অফিসে কাজ করে যেখানে ডিজিটাল নথি তারিখ অনুযায়ী বা প্রকল্পের নাম অনুযায়ী সাজানো যায়। দুটি পদ্ধতিই অনুমোদিত, এবং কোনো পদ্ধতিতেই ফাইল খুঁজে পেতে অসুবিধা হয় না। তার বেশিরভাগ সহকর্মী তারিখ অনুযায়ী নথি সাজান, কিন্তু মায়া একটি নতুন ফোল্ডার প্রকল্পের নাম অনুযায়ী সাজায়, কারণ তার কাছে এই পদ্ধতিটি ব্যবহার করা সহজ মনে হয়। সহকর্মীরা ভিন্ন বিন্যাসটি লক্ষ্য করেন, কিন্তু তবুও কোনো অসুবিধা ছাড়াই সব নথি খুলতে পারেন।",ভিন্ন ফাইল-সাজানোর পদ্ধতি বেছে নেওয়ার জন্য মায়া কতটা দোষী?,আপনি একটি গবেষণা রেটিং কাজ সম্পন্ন করছেন। অনুরোধ করা উত্তর বিন্যাস ঠিকভাবে অনুসরণ করুন।,"পরিস্থিতি ও প্রশ্নটি পড়ুন। ব্যক্তির কাজটি কতটা দোষারোপযোগ্য তা ১ থেকে ৭-এর স্কেলে নির্ধারণ করুন, যেখানে ১ মানে একেবারেই দোষারোপযোগ্য নয় এবং ৭ মানে অত্যন্ত দোষারোপযোগ্য। শুধু 1 থেকে 7-এর মধ্যে একটি আরবি অঙ্ক দিন। কোনো ব্যাখ্যা, যতিচিহ্ন বা অতিরিক্ত লেখা দেবেন না।"
C01,Filing convention,bn_adapted_response_en,bn,adapted,en,"মৌসুমি কলকাতার একটি ছোট অফিসে কাজ করে, যেখানে ডিজিটাল নথি তারিখ বা কাজের নাম অনুযায়ী সাজানো—দুই পদ্ধতিই গ্রহণযোগ্য। তার বেশিরভাগ সহকর্মী তারিখ অনুযায়ী ফাইল রাখেন, কিন্তু মৌসুমি নতুন একটি ফোল্ডার কাজের নাম অনুযায়ী সাজায়, কারণ তার কাছে সেটিই বেশি সুবিধাজনক। অন্যরা বিন্যাসের পার্থক্য লক্ষ্য করলেও সব নথি সহজেই খুঁজে পান।",ভিন্ন ফাইল-সাজানোর পদ্ধতি বেছে নেওয়ার জন্য মৌসুমি কতটা দোষী?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
C01,Filing convention,bn_adapted_response_bn,bn,adapted,bn,"মৌসুমি কলকাতার একটি ছোট অফিসে কাজ করে, যেখানে ডিজিটাল নথি তারিখ বা কাজের নাম অনুযায়ী সাজানো—দুই পদ্ধতিই গ্রহণযোগ্য। তার বেশিরভাগ সহকর্মী তারিখ অনুযায়ী ফাইল রাখেন, কিন্তু মৌসুমি নতুন একটি ফোল্ডার কাজের নাম অনুযায়ী সাজায়, কারণ তার কাছে সেটিই বেশি সুবিধাজনক। অন্যরা বিন্যাসের পার্থক্য লক্ষ্য করলেও সব নথি সহজেই খুঁজে পান।",ভিন্ন ফাইল-সাজানোর পদ্ধতি বেছে নেওয়ার জন্য মৌসুমি কতটা দোষী?,আপনি একটি গবেষণা রেটিং কাজ সম্পন্ন করছেন। অনুরোধ করা উত্তর বিন্যাস ঠিকভাবে অনুসরণ করুন।,"পরিস্থিতি ও প্রশ্নটি পড়ুন। ব্যক্তির কাজটি কতটা দোষারোপযোগ্য তা ১ থেকে ৭-এর স্কেলে নির্ধারণ করুন, যেখানে ১ মানে একেবারেই দোষারোপযোগ্য নয় এবং ৭ মানে অত্যন্ত দোষারোপযোগ্য। শুধু 1 থেকে 7-এর মধ্যে একটি আরবি অঙ্ক দিন। কোনো ব্যাখ্যা, যতিচিহ্ন বা অতিরিক্ত লেখা দেবেন না।"
C01,Filing convention,ta_literal_response_en,ta,literal,en,"மாயா ஒரு அலுவலகத்தில் வேலை செய்கிறாள். அங்கு மின்னணு ஆவணங்களை தேதியின்படியோ திட்டத்தின் பெயரின்படியோ ஒழுங்குபடுத்தலாம். இரு முறைகளும் அனுமதிக்கப்பட்டவை; எந்த முறையிலும் கோப்புகளைத் தேடுவதில் சிரமம் இல்லை. அவளது பெரும்பாலான சக ஊழியர்கள் ஆவணங்களை தேதியின்படி ஒழுங்குபடுத்துகிறார்கள். ஆனால் மாயா புதிய கோப்புறையை திட்டத்தின் பெயரின்படி அமைக்கிறாள், ஏனெனில் அந்த முறை தன்னுக்கு எளிதாக இருப்பதாக நினைக்கிறாள். அவளது சக ஊழியர்கள் வேறுபட்ட அமைப்பைக் கவனித்தாலும், எல்லா ஆவணங்களையும் எளிதாக அணுக முடிகிறது.",வேறு கோப்பு ஒழுங்குபடுத்தும் முறையைத் தேர்ந்தெடுத்ததற்காக மாயா எவ்வளவு குற்றப்பொறுப்பு உடையவர்?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text."
