scenario_id,correct_items,total_items,work_units_4_of_4,total_work_units,accuracy,4_of_4_proportion
S02,141,144,33,36,0.9791666666666666,0.9166666666666666
S05,144,144,36,36,1.0,1.0
S06,144,144,36,36,1.0,1.0
S12,142,144,34,36,0.9861111111111112,0.9444444444444444
S18,133,144,25,36,0.9236111111111112,0.6944444444444444
S20,123,144,15,36,0.8541666666666666,0.4166666666666667
S22,140,144,32,36,0.9722222222222222,0.8888888888888888
S23,144,144,36,36,1.0,1.0
S24,144,144,36,36,1.0,1.0
S26,124,144,21,36,0.8611111111111112,0.5833333333333334
S28,117,144,9,36,0.8125,0.25
S33,141,144,33,36,0.9791666666666666,0.9166666666666666
S36,144,144,36,36,1.0,1.0
S37,144,144,36,36,1.0,1.0
S40,143,144,35,36,0.9930555555555556,0.9722222222222222
S42,144,144,36,36,1.0,1.0
S43,138,144,30,36,0.9583333333333334,0.8333333333333334
S47,143,144,35,36,0.9930555555555556,0.9722222222222222
S48,141,144,33,36,0.9791666666666666,0.9166666666666666
S49,141,144,33,36,0.9791666666666666,0.9166666666666666
