regression,term,coefficient,clustered_se,ci_lower_95,ci_upper_95,p_value,n,scenario_clusters,r_squared
signed_effect,Intercept,0.028402592091083263,0.10510443406786196,-0.18281267592417494,0.23961786010634145,0.7881166429226144,900,50,0.003829996638844535
signed_effect,normalized_character_edit_rate,-0.33376306857617455,0.2255648516655007,-0.7870526088498948,0.11952647169754566,0.14536053120003112,900,50,0.003829996638844535
absolute_effect,Intercept,0.01230177956372941,0.07363537836600297,-0.13567405337723226,0.16027761250469108,0.868007677773289,900,50,0.04377503591320986
absolute_effect,normalized_character_edit_rate,0.9456658898632855,0.15465638931097636,0.6348722396401283,1.2564595400864427,1.5579593305263343e-07,900,50,0.04377503591320986
adjusted_absolute_effect,Intercept,0.0231196279147632,0.18187825979813585,-0.34237841914772904,0.3886176749772554,0.8993688471414978,900,50,0.08671470851711527
adjusted_absolute_effect,C(model)[T.GPT-4o],0.14666666666666783,0.06496543986011304,0.016113727454575844,0.2772196058787598,0.028460188983709125,900,50,0.08671470851711527
adjusted_absolute_effect,C(model)[T.Gemini 3.5 Flash],0.02000000000000126,0.051105113098435774,-0.0826995697733044,0.12269956977330693,0.6972350166448317,900,50,0.08671470851711527
adjusted_absolute_effect,C(language)[T.Bengali],-0.12580357639396844,0.08600093647870297,-0.2986289287114946,0.04702177592355772,0.1499027492668218,900,50,0.08671470851711527
adjusted_absolute_effect,C(language)[T.Hindi],-0.029637843394875324,0.07817613277702808,-0.18673866395811842,0.12746297716836777,0.7062394686832455,900,50,0.08671470851711527
adjusted_absolute_effect,C(language)[T.Japanese],-0.1805412957374677,0.09033829314465706,-0.36208289260549265,0.0010003011305572684,0.0512265418667218,900,50,0.08671470851711527
adjusted_absolute_effect,C(language)[T.Spanish],0.009577887780646999,0.08200999453839386,-0.15522736644081345,0.17438314200210744,0.9075044197436756,900,50,0.08671470851711527
adjusted_absolute_effect,C(language)[T.Tamil],0.1251811415706266,0.11776728489746996,-0.11148107790327327,0.36184336104452647,0.2930137179738276,900,50,0.08671470851711527
adjusted_absolute_effect,C(foundation)[T.Care/Harm],-0.16348029901462413,0.14022323816599386,-0.445269446103081,0.11830884807383274,0.24931572034881544,900,50,0.08671470851711527
adjusted_absolute_effect,C(foundation)[T.Fairness/Cheating],-0.05542638729829188,0.14248747816026652,-0.34176569501015674,0.230912920413573,0.6989679056383166,900,50,0.08671470851711527
adjusted_absolute_effect,C(foundation)[T.Loyalty/Betrayal],-0.2868118906724946,0.1684276684260811,-0.6252799623889613,0.05165618104397224,0.09492694761624491,900,50,0.08671470851711527
adjusted_absolute_effect,C(foundation)[T.Sanctity/Degradation],-0.1956415098576027,0.13563553405652798,-0.46821132037240093,0.07692830065719553,0.15554979501428223,900,50,0.08671470851711527
adjusted_absolute_effect,normalized_character_edit_rate,1.1532138984940843,0.19084493334986374,0.769696646302618,1.5367311506855506,2.011564129752579e-07,900,50,0.08671470851711527
