group_type,model_key,language,condition_type,mft_foundation,matches,total,match_rate
overall,all,all,all,all,728,1000,0.728
model,chatgpt,all,all,all,180,250,0.72
model,claude,all,all,all,182,250,0.728
model,gemini_flash,all,all,all,181,250,0.724
model,gemini_pro,all,all,all,185,250,0.74
language,all,ar,all,all,116,160,0.725
language,all,bn,all,all,114,160,0.7125
language,all,en,all,all,28,40,0.7
language,all,es,all,all,114,160,0.7125
language,all,hi,all,all,118,160,0.7375
language,all,ja,all,all,119,160,0.74375
language,all,ta,all,all,119,160,0.74375
condition_type,all,all,adapted_reason_en,all,173,240,0.7208333333333333
condition_type,all,all,adapted_reason_l2,all,177,240,0.7375
condition_type,all,all,en_en,all,28,40,0.7
condition_type,all,all,translation_reason_en,all,176,240,0.7333333333333333
condition_type,all,all,translation_reason_l2,all,174,240,0.725
mft_foundation,all,all,all,Care/Harm,200,200,1
mft_foundation,all,all,all,Loyalty/Betrayal,200,200,1
mft_foundation,all,all,all,Authority/Subversion,13,200,0.065
mft_foundation,all,all,all,Fairness/Cheating,199,200,0.995
mft_foundation,all,all,all,Sanctity/Degradation,116,200,0.58
model_language_condition_foundation,chatgpt,ar,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,ar,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,ar,adapted_reason_en,Authority/Subversion,1,2,0.5
model_language_condition_foundation,chatgpt,ar,adapted_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,ar,adapted_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,ar,adapted_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,ar,adapted_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,ar,adapted_reason_l2,Authority/Subversion,1,2,0.5
model_language_condition_foundation,chatgpt,ar,adapted_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,ar,adapted_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,ar,translation_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,ar,translation_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,ar,translation_reason_en,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,ar,translation_reason_en,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,ar,translation_reason_en,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,ar,translation_reason_l2,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,ar,translation_reason_l2,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,ar,translation_reason_l2,Authority/Subversion,0,2,0
model_language_condition_foundation,chatgpt,ar,translation_reason_l2,Fairness/Cheating,2,2,1
model_language_condition_foundation,chatgpt,ar,translation_reason_l2,Sanctity/Degradation,1,2,0.5
model_language_condition_foundation,chatgpt,bn,adapted_reason_en,Care/Harm,2,2,1
model_language_condition_foundation,chatgpt,bn,adapted_reason_en,Loyalty/Betrayal,2,2,1
model_language_condition_foundation,chatgpt,bn,adapted_reason_en,Authority/Subversion,0,2,0
