scenario_id,foundation,language_code,language,names_changed_conservative,locations_or_institutions_changed_conservative,culturally_specific_objects_changed_conservative,literal_sentence_count,adapted_sentence_count,sentence_count_changed,literal_approximate_clause_count,adapted_approximate_clause_count,approximate_clause_count_changed,edit_classification,classification_note,surface_detection_note
S01,Care/Harm,hi,Hindi,True,True,True,6,6,False,8,10,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Hindi."
S01,Care/Harm,bn,Bengali,True,False,False,9,8,True,9,10,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Bengali."
S01,Care/Harm,ta,Tamil,True,False,False,10,8,True,15,12,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Tamil."
S01,Care/Harm,es,Spanish,True,False,False,10,9,True,13,12,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Spanish."
S01,Care/Harm,ja,Japanese,True,False,False,6,6,False,14,13,True,mixed,Both surface and broader textual changes are plausible.,"Conservative lexicon/capitalization flags; false negatives are expected, especially for Japanese."
S01,Care/Harm,ar,Arabic,True,False,False,6,6,False,9,9,False,mixed,Both surface and broader textual changes are plausible.,"Conservative lexicon/capitalization flags; false negatives are expected, especially for Arabic."
S02,Care/Harm,hi,Hindi,False,False,False,7,7,False,11,12,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Hindi."
S02,Care/Harm,bn,Bengali,False,False,False,7,10,True,11,11,False,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Bengali."
S02,Care/Harm,ta,Tamil,False,False,False,8,9,True,12,13,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Tamil."
S02,Care/Harm,es,Spanish,False,False,False,7,7,False,10,10,False,uncertain,Automatic evidence was insufficient for a confident surface/structural label.,"Conservative lexicon/capitalization flags; false negatives are expected, especially for Spanish."
S02,Care/Harm,ja,Japanese,False,False,False,8,8,False,17,14,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Japanese."
S02,Care/Harm,ar,Arabic,False,False,False,7,6,True,12,10,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Arabic."
S03,Care/Harm,hi,Hindi,False,False,False,7,7,False,13,12,True,mixed,Both surface and broader textual changes are plausible.,"Conservative lexicon/capitalization flags; false negatives are expected, especially for Hindi."
S03,Care/Harm,bn,Bengali,False,False,False,7,8,True,12,12,False,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Bengali."
S03,Care/Harm,ta,Tamil,False,False,False,8,8,False,16,14,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Tamil."
S03,Care/Harm,es,Spanish,True,False,False,7,7,False,12,12,False,mixed,Both surface and broader textual changes are plausible.,"Conservative lexicon/capitalization flags; false negatives are expected, especially for Spanish."
S03,Care/Harm,ja,Japanese,False,False,False,8,8,False,17,14,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Japanese."
S03,Care/Harm,ar,Arabic,False,False,False,7,6,True,13,9,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Arabic."
S04,Care/Harm,hi,Hindi,False,False,False,7,7,False,9,9,False,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Hindi."
S04,Care/Harm,bn,Bengali,False,False,False,7,7,False,9,8,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Bengali."
S04,Care/Harm,ta,Tamil,False,False,False,7,8,True,12,12,False,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Tamil."
S04,Care/Harm,es,Spanish,True,False,False,7,7,False,9,8,True,mixed,Both surface and broader textual changes are plausible.,"Conservative lexicon/capitalization flags; false negatives are expected, especially for Spanish."
S04,Care/Harm,ja,Japanese,False,False,False,7,5,True,14,10,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Japanese."
S04,Care/Harm,ar,Arabic,False,False,False,7,4,True,9,6,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Arabic."
S05,Care/Harm,hi,Hindi,False,False,False,6,6,False,8,9,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Hindi."
S05,Care/Harm,bn,Bengali,False,False,False,6,9,True,8,10,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Bengali."
S05,Care/Harm,ta,Tamil,False,False,False,9,8,True,14,14,False,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Tamil."
S05,Care/Harm,es,Spanish,True,False,False,6,6,False,10,10,False,mixed,Both surface and broader textual changes are plausible.,"Conservative lexicon/capitalization flags; false negatives are expected, especially for Spanish."
S05,Care/Harm,ja,Japanese,False,False,False,7,7,False,16,12,True,structural,"Structural threshold triggered by extent, length, sentence, or clause change.","Conservative lexicon/capitalization flags; false negatives are expected, especially for Japanese."
