model_key,control_id,rating,count,proportion
chatgpt,C01,1,25,1.0
chatgpt,C01,2,0,0.0
chatgpt,C01,3,0,0.0
chatgpt,C01,4,0,0.0
chatgpt,C01,5,0,0.0
chatgpt,C01,6,0,0.0
chatgpt,C01,7,0,0.0
chatgpt,C02,1,25,1.0
chatgpt,C02,2,0,0.0
chatgpt,C02,3,0,0.0
chatgpt,C02,4,0,0.0
chatgpt,C02,5,0,0.0
chatgpt,C02,6,0,0.0
chatgpt,C02,7,0,0.0
chatgpt,C03,1,25,1.0
chatgpt,C03,2,0,0.0
chatgpt,C03,3,0,0.0
chatgpt,C03,4,0,0.0
chatgpt,C03,5,0,0.0
chatgpt,C03,6,0,0.0
chatgpt,C03,7,0,0.0
chatgpt,C04,1,25,1.0
chatgpt,C04,2,0,0.0
chatgpt,C04,3,0,0.0
chatgpt,C04,4,0,0.0
chatgpt,C04,5,0,0.0
chatgpt,C04,6,0,0.0
chatgpt,C04,7,0,0.0
chatgpt,C05,1,25,1.0
chatgpt,C05,2,0,0.0
chatgpt,C05,3,0,0.0
chatgpt,C05,4,0,0.0
chatgpt,C05,5,0,0.0
chatgpt,C05,6,0,0.0
chatgpt,C05,7,0,0.0
claude,C01,1,25,1.0
claude,C01,2,0,0.0
claude,C01,3,0,0.0
claude,C01,4,0,0.0
claude,C01,5,0,0.0
claude,C01,6,0,0.0
claude,C01,7,0,0.0
claude,C02,1,25,1.0
claude,C02,2,0,0.0
claude,C02,3,0,0.0
claude,C02,4,0,0.0
claude,C02,5,0,0.0
claude,C02,6,0,0.0
claude,C02,7,0,0.0
claude,C03,1,25,1.0
claude,C03,2,0,0.0
claude,C03,3,0,0.0
claude,C03,4,0,0.0
claude,C03,5,0,0.0
claude,C03,6,0,0.0
claude,C03,7,0,0.0
claude,C04,1,25,1.0
claude,C04,2,0,0.0
claude,C04,3,0,0.0
claude,C04,4,0,0.0
claude,C04,5,0,0.0
claude,C04,6,0,0.0
claude,C04,7,0,0.0
claude,C05,1,25,1.0
claude,C05,2,0,0.0
claude,C05,3,0,0.0
claude,C05,4,0,0.0
claude,C05,5,0,0.0
claude,C05,6,0,0.0
claude,C05,7,0,0.0
gemini_flash,C01,1,25,1.0
gemini_flash,C01,2,0,0.0
gemini_flash,C01,3,0,0.0
gemini_flash,C01,4,0,0.0
gemini_flash,C01,5,0,0.0
gemini_flash,C01,6,0,0.0
gemini_flash,C01,7,0,0.0
gemini_flash,C02,1,25,1.0
gemini_flash,C02,2,0,0.0
gemini_flash,C02,3,0,0.0
gemini_flash,C02,4,0,0.0
gemini_flash,C02,5,0,0.0
gemini_flash,C02,6,0,0.0
gemini_flash,C02,7,0,0.0
gemini_flash,C03,1,25,1.0
gemini_flash,C03,2,0,0.0
gemini_flash,C03,3,0,0.0
gemini_flash,C03,4,0,0.0
gemini_flash,C03,5,0,0.0
gemini_flash,C03,6,0,0.0
gemini_flash,C03,7,0,0.0
gemini_flash,C04,1,25,1.0
gemini_flash,C04,2,0,0.0
gemini_flash,C04,3,0,0.0
gemini_flash,C04,4,0,0.0
gemini_flash,C04,5,0,0.0
gemini_flash,C04,6,0,0.0
gemini_flash,C04,7,0,0.0
gemini_flash,C05,1,25,1.0
gemini_flash,C05,2,0,0.0
gemini_flash,C05,3,0,0.0
gemini_flash,C05,4,0,0.0
gemini_flash,C05,5,0,0.0
gemini_flash,C05,6,0,0.0
gemini_flash,C05,7,0,0.0
