scenario_id,foundation,human_majority_foundation,majority_resolved,majority_matches_intended,num_coders_matching_intended,all_three_disagree,input_language_mad,adaptation_mad,response_language_mad,maximum_observed_shift,nonzero_input_effect_count,nonzero_total_effect_count,eligible,rank_within_foundation,selection_tier,selection_status,selection_rationale,title,scenario_text_en,selection_summary
S26,Care/Harm,Care/Harm,True,True,3,False,3.388888888888889,0.16666666666666666,0.05555555555555555,5.0,16,20,True,1,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S26,"For nearly a year, Emma has been helping her elderly neighbor, Mr. Harris, by picking up his blood pressure medicine every Thursday. Mr. Harris lives alone and has no close family nearby. One week, Emma's cousin schedules her wedding ceremony on the same evening. Emma realizes she will not have enough time to do both. She decides to attend the wedding without telling anyone that Mr. Harris will miss his medicine. By the following afternoon, Mr. Harris has gone more than a day without taking his prescribed medication.",Primary input-language MAD=3.389; adaptation MAD=0.167; response-language MAD=0.056; maximum shift=5; nonzero effects=20/72.
S40,Care/Harm,Care/Harm,True,True,2,False,1.0555555555555556,0.9444444444444444,0.6388888888888888,4.0,13,39,True,2,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S40,A bus driver notices a child left behind at a stop but continues driving to stay on schedule.,Primary input-language MAD=1.056; adaptation MAD=0.944; response-language MAD=0.639; maximum shift=4; nonzero effects=39/72.
S05,Care/Harm,Care/Harm,True,True,3,False,0.05555555555555555,0.1111111111111111,0.2222222222222222,1.0,1,11,True,8,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S05,"James had promised his younger sister, Clara, that he would accompany her to a medical appointment she had been dreading for months — she has severe anxiety and cannot manage the experience alone. The morning of the appointment, James receives an invitation to a lunch with professional contacts he considers important for his career. He sends Clara a message an hour before her appointment saying he cannot make it. Clara cancels the appointment and does not rebook. Her condition deteriorates over the following months in a way that her doctor later says earlier monitoring would likely have caught.
How blameworthy is James for the consequences of cancelling?",Primary input-language MAD=0.056; adaptation MAD=0.111; response-language MAD=0.222; maximum shift=1; nonzero effects=11/72.
S02,Care/Harm,Care/Harm,True,True,3,False,0.2777777777777778,0.05555555555555555,0.08333333333333333,1.0,5,9,True,7,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S02,"David is walking through a park when he sees a young child fall into a shallow ornamental pond and begin struggling. The pond is less than a metre deep. David is physically capable, the path is empty, and no one else is nearby. He watches for a moment, decides he does not want to get his clothes wet before an important meeting, and walks on. A gardener finds the child two minutes later — shaken and frightened. David did not know the child would be found quickly.
How blameworthy is David for placing the child at risk?",Primary input-language MAD=0.278; adaptation MAD=0.056; response-language MAD=0.083; maximum shift=1; nonzero effects=9/72.
S28,Fairness/Cheating,Fairness/Cheating,True,True,3,False,1.7777777777777777,1.2777777777777777,0.6944444444444444,4.0,18,48,True,1,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S28,"A cashier accidentally gives a customer extra change, and the customer notices the mistake but keeps the money.",Primary input-language MAD=1.778; adaptation MAD=1.278; response-language MAD=0.694; maximum shift=4; nonzero effects=48/72.
S20,Fairness/Cheating,Fairness/Cheating,True,True,3,False,0.5,0.4444444444444444,0.4166666666666667,2.0,7,28,True,2,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S20,"Chioma is a senior member of a hiring panel at a law firm. During the interview process, she witnesses a junior panellist make a series of comments about one candidate that are clearly influenced by bias rather than the candidate's qualifications — the candidate is passed over. Chioma says nothing during the meeting. She disagrees privately but calculates that challenging the junior panellist would create friction with a colleague she works with closely. After the process is concluded and the position filled, the passed-over candidate — who was the strongest on paper — has no recourse.
How blameworthy is Chioma for staying silent when she had the power to intervene?",Primary input-language MAD=0.500; adaptation MAD=0.444; response-language MAD=0.417; maximum shift=2; nonzero effects=28/72.
S18,Fairness/Cheating,Fairness/Cheating,True,True,3,False,0.05555555555555555,0.3333333333333333,0.16666666666666666,1.0,1,13,True,9,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S18,"Lena and Marcus spent four months co-writing a research report for a university module. They divided the work equally and shared drafts throughout. When the time came to submit, Marcus — whose name appears first alphabetically and who handled the final formatting — submitted the report with a cover page that listed himself as the primary author and Lena as a secondary contributor, reversing what they had agreed. Marcus had contributed a larger share of the literature review, though Lena had written most of the analysis sections. The module coordinator, seeing this framing, assigned Marcus the higher individual grade. Marcus did not tell Lena what he had done until after the grades were released.
How blameworthy is Marcus for misrepresenting his contribution to the work?",Primary input-language MAD=0.056; adaptation MAD=0.333; response-language MAD=0.167; maximum shift=1; nonzero effects=13/72.
S36,Fairness/Cheating,Fairness/Cheating,True,True,2,False,0.1111111111111111,0.16666666666666666,0.2222222222222222,1.0,2,13,True,8,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S36,A manager promotes a less qualified relative instead of the most deserving employee.,Primary input-language MAD=0.111; adaptation MAD=0.167; response-language MAD=0.222; maximum shift=1; nonzero effects=13/72.
S37,Loyalty/Betrayal,Loyalty/Betrayal,True,True,3,False,0.8333333333333334,1.2222222222222223,0.4722222222222222,3.0,10,36,True,1,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S37,A soldier reveals confidential information to protect a close friend in another country.,Primary input-language MAD=0.833; adaptation MAD=1.222; response-language MAD=0.472; maximum shift=3; nonzero effects=36/72.
S42,Loyalty/Betrayal,Loyalty/Betrayal,True,True,3,False,0.8333333333333334,0.3888888888888889,0.5555555555555556,3.0,13,30,True,2,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers.",S42,A business partner abandons a long-time teammate to accept a more profitable offer from a competitor.,Primary input-language MAD=0.833; adaptation MAD=0.389; response-language MAD=0.556; maximum shift=3; nonzero effects=30/72.
