analysis_version,model_key,reference_foundation,invoked_foundation,count,row_total,row_percentage
human_scenario_majority,all,Care/Harm,Care/Harm,201,300,0.67
human_scenario_majority,all,Care/Harm,Loyalty/Betrayal,86,300,0.2866666666666667
human_scenario_majority,all,Care/Harm,Authority/Subversion,13,300,0.043333333333333335
human_scenario_majority,all,Care/Harm,Fairness/Cheating,0,300,0
human_scenario_majority,all,Care/Harm,Sanctity/Degradation,0,300,0
human_scenario_majority,all,Loyalty/Betrayal,Care/Harm,0,200,0
human_scenario_majority,all,Loyalty/Betrayal,Loyalty/Betrayal,200,200,1
human_scenario_majority,all,Loyalty/Betrayal,Authority/Subversion,0,200,0
human_scenario_majority,all,Loyalty/Betrayal,Fairness/Cheating,0,200,0
human_scenario_majority,all,Loyalty/Betrayal,Sanctity/Degradation,0,200,0
human_scenario_majority,all,Authority/Subversion,Care/Harm,100,100,1
human_scenario_majority,all,Authority/Subversion,Loyalty/Betrayal,0,100,0
human_scenario_majority,all,Authority/Subversion,Authority/Subversion,0,100,0
human_scenario_majority,all,Authority/Subversion,Fairness/Cheating,0,100,0
human_scenario_majority,all,Authority/Subversion,Sanctity/Degradation,0,100,0
human_scenario_majority,all,Fairness/Cheating,Care/Harm,1,200,0.005
human_scenario_majority,all,Fairness/Cheating,Loyalty/Betrayal,0,200,0
human_scenario_majority,all,Fairness/Cheating,Authority/Subversion,0,200,0
human_scenario_majority,all,Fairness/Cheating,Fairness/Cheating,199,200,0.995
human_scenario_majority,all,Fairness/Cheating,Sanctity/Degradation,0,200,0
human_scenario_majority,all,Sanctity/Degradation,Care/Harm,84,200,0.42
human_scenario_majority,all,Sanctity/Degradation,Loyalty/Betrayal,0,200,0
human_scenario_majority,all,Sanctity/Degradation,Authority/Subversion,0,200,0
human_scenario_majority,all,Sanctity/Degradation,Fairness/Cheating,0,200,0
human_scenario_majority,all,Sanctity/Degradation,Sanctity/Degradation,116,200,0.58
human_scenario_majority,chatgpt,Care/Harm,Care/Harm,51,75,0.68
human_scenario_majority,chatgpt,Care/Harm,Loyalty/Betrayal,21,75,0.28
human_scenario_majority,chatgpt,Care/Harm,Authority/Subversion,3,75,0.04
human_scenario_majority,chatgpt,Care/Harm,Fairness/Cheating,0,75,0
human_scenario_majority,chatgpt,Care/Harm,Sanctity/Degradation,0,75,0
human_scenario_majority,chatgpt,Loyalty/Betrayal,Care/Harm,0,50,0
human_scenario_majority,chatgpt,Loyalty/Betrayal,Loyalty/Betrayal,50,50,1
human_scenario_majority,chatgpt,Loyalty/Betrayal,Authority/Subversion,0,50,0
human_scenario_majority,chatgpt,Loyalty/Betrayal,Fairness/Cheating,0,50,0
human_scenario_majority,chatgpt,Loyalty/Betrayal,Sanctity/Degradation,0,50,0
human_scenario_majority,chatgpt,Authority/Subversion,Care/Harm,25,25,1
human_scenario_majority,chatgpt,Authority/Subversion,Loyalty/Betrayal,0,25,0
human_scenario_majority,chatgpt,Authority/Subversion,Authority/Subversion,0,25,0
human_scenario_majority,chatgpt,Authority/Subversion,Fairness/Cheating,0,25,0
human_scenario_majority,chatgpt,Authority/Subversion,Sanctity/Degradation,0,25,0
human_scenario_majority,chatgpt,Fairness/Cheating,Care/Harm,0,50,0
human_scenario_majority,chatgpt,Fairness/Cheating,Loyalty/Betrayal,0,50,0
human_scenario_majority,chatgpt,Fairness/Cheating,Authority/Subversion,0,50,0
human_scenario_majority,chatgpt,Fairness/Cheating,Fairness/Cheating,50,50,1
human_scenario_majority,chatgpt,Fairness/Cheating,Sanctity/Degradation,0,50,0
human_scenario_majority,chatgpt,Sanctity/Degradation,Care/Harm,23,50,0.46
human_scenario_majority,chatgpt,Sanctity/Degradation,Loyalty/Betrayal,0,50,0
human_scenario_majority,chatgpt,Sanctity/Degradation,Authority/Subversion,0,50,0
human_scenario_majority,chatgpt,Sanctity/Degradation,Fairness/Cheating,0,50,0
human_scenario_majority,chatgpt,Sanctity/Degradation,Sanctity/Degradation,27,50,0.54
human_scenario_majority,claude,Care/Harm,Care/Harm,50,75,0.6666666666666666
human_scenario_majority,claude,Care/Harm,Loyalty/Betrayal,21,75,0.28
human_scenario_majority,claude,Care/Harm,Authority/Subversion,4,75,0.05333333333333334
human_scenario_majority,claude,Care/Harm,Fairness/Cheating,0,75,0
human_scenario_majority,claude,Care/Harm,Sanctity/Degradation,0,75,0
human_scenario_majority,claude,Loyalty/Betrayal,Care/Harm,0,50,0
human_scenario_majority,claude,Loyalty/Betrayal,Loyalty/Betrayal,50,50,1
human_scenario_majority,claude,Loyalty/Betrayal,Authority/Subversion,0,50,0
human_scenario_majority,claude,Loyalty/Betrayal,Fairness/Cheating,0,50,0
human_scenario_majority,claude,Loyalty/Betrayal,Sanctity/Degradation,0,50,0
human_scenario_majority,claude,Authority/Subversion,Care/Harm,25,25,1
human_scenario_majority,claude,Authority/Subversion,Loyalty/Betrayal,0,25,0
human_scenario_majority,claude,Authority/Subversion,Authority/Subversion,0,25,0
human_scenario_majority,claude,Authority/Subversion,Fairness/Cheating,0,25,0
human_scenario_majority,claude,Authority/Subversion,Sanctity/Degradation,0,25,0
human_scenario_majority,claude,Fairness/Cheating,Care/Harm,0,50,0
human_scenario_majority,claude,Fairness/Cheating,Loyalty/Betrayal,0,50,0
human_scenario_majority,claude,Fairness/Cheating,Authority/Subversion,0,50,0
human_scenario_majority,claude,Fairness/Cheating,Fairness/Cheating,50,50,1
human_scenario_majority,claude,Fairness/Cheating,Sanctity/Degradation,0,50,0
human_scenario_majority,claude,Sanctity/Degradation,Care/Harm,22,50,0.44
human_scenario_majority,claude,Sanctity/Degradation,Loyalty/Betrayal,0,50,0
