work_unit_id,scenario_id,foundation,shift_tier,model_key,model_id,input_language,scenario_version,question_id,question_type,selected_option,correct_option,item_correct,raw_response
S02__hi__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__hi__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__hi__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__hi__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__hi__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,literal,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__hi__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,literal,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__hi__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,literal,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__hi__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,literal,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__hi__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,literal,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__hi__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,literal,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__hi__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,literal,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__hi__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,literal,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__hi__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__hi__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__hi__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__hi__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__hi__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__hi__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__hi__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__hi__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__hi__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__hi__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__hi__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__hi__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__bn__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__bn__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__bn__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__bn__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__bn__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,literal,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__bn__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,literal,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__bn__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,literal,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__bn__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,literal,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__bn__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,literal,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__bn__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,literal,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__bn__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,literal,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__bn__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,literal,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__bn__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__bn__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__bn__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__bn__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__bn__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__bn__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__bn__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__bn__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__bn__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__bn__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__bn__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__bn__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__ta__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,S02_Q1,Actor,D,D,1,"D,A,B,C"
S02__ta__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,S02_Q2,Main action,A,A,1,"D,A,B,C"
S02__ta__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,S02_Q3,Affected party/object,B,B,1,"D,A,B,C"
S02__ta__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,S02_Q4,Consequence/outcome,C,C,1,"D,A,B,C"
S02__ta__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,S02_Q1,Actor,D,D,1,"D,A,B,C"
S02__ta__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,S02_Q2,Main action,A,A,1,"D,A,B,C"
S02__ta__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,S02_Q3,Affected party/object,B,B,1,"D,A,B,C"
S02__ta__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,S02_Q4,Consequence/outcome,C,C,1,"D,A,B,C"
S02__es__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,S02_Q1,Actor,D,D,1,"D,A,B,C"
S02__es__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,S02_Q2,Main action,A,A,1,"D,A,B,C"
S02__es__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,S02_Q3,Affected party/object,B,B,1,"D,A,B,C"
S02__es__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,S02_Q4,Consequence/outcome,C,C,1,"D,A,B,C"
S02__ta__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ta,literal,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__ta__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ta,literal,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__ta__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ta,literal,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__ta__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ta,literal,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__ta__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__ta__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__ta__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__ta__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__ta__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,S02_Q1,Actor,D,D,1,"D,A,B,C"
S02__ta__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,S02_Q2,Main action,A,A,1,"D,A,B,C"
S02__ta__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,S02_Q3,Affected party/object,B,B,1,"D,A,B,C"
S02__ta__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,S02_Q4,Consequence/outcome,C,C,1,"D,A,B,C"
S02__es__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,es,literal,S02_Q1,Actor,D,D,1,"D, A, B, C"
S02__es__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,es,literal,S02_Q2,Main action,A,A,1,"D, A, B, C"
S02__es__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,es,literal,S02_Q3,Affected party/object,B,B,1,"D, A, B, C"
S02__es__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,es,literal,S02_Q4,Consequence/outcome,C,C,1,"D, A, B, C"
S02__es__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,S02_Q1,Actor,D,D,1,"D,A,B,C"
S02__es__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,S02_Q2,Main action,A,A,1,"D,A,B,C"
S02__es__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,S02_Q3,Affected party/object,B,B,1,"D,A,B,C"
S02__es__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,es,adapted,S02_Q4,Consequence/outcome,C,C,1,"D,A,B,C"
