llama_label,deepseek_label,count
Care/Harm,Care/Harm,359
Care/Harm,Loyalty/Betrayal,5
Care/Harm,Authority/Subversion,0
Care/Harm,Fairness/Cheating,0
Care/Harm,Sanctity/Degradation,6
Loyalty/Betrayal,Care/Harm,3
Loyalty/Betrayal,Loyalty/Betrayal,285
Loyalty/Betrayal,Authority/Subversion,5
Loyalty/Betrayal,Fairness/Cheating,0
Loyalty/Betrayal,Sanctity/Degradation,0
Authority/Subversion,Care/Harm,0
Authority/Subversion,Loyalty/Betrayal,0
Authority/Subversion,Authority/Subversion,1
Authority/Subversion,Fairness/Cheating,0
Authority/Subversion,Sanctity/Degradation,0
Fairness/Cheating,Care/Harm,0
Fairness/Cheating,Loyalty/Betrayal,0
Fairness/Cheating,Authority/Subversion,0
Fairness/Cheating,Fairness/Cheating,199
Fairness/Cheating,Sanctity/Degradation,0
Sanctity/Degradation,Care/Harm,18
Sanctity/Degradation,Loyalty/Betrayal,0
Sanctity/Degradation,Authority/Subversion,0
Sanctity/Degradation,Fairness/Cheating,0
Sanctity/Degradation,Sanctity/Degradation,115
