work_unit_id,attempt_number,status,model_id,temperature,max_tokens,reasoning_effort,raw_response,error_note,prompt_tokens,completion_tokens,total_tokens,cost_usd,created_at
S02__ar__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"A, A, B, C",,440,7,447,0.00117,2026-07-27 10:37:31
S02__ar__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,A، A، B، C,,832,10,842,0.002646,2026-07-27 10:38:29
S02__ar__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"D, A, B, C",,449,7,456,0.0007365,2026-07-27 10:37:32
S02__ar__literal__chatgpt,1,failed,openai/gpt-4o-2024-11-20,0.0,24,,D، A، B، C,Response must contain exactly four comma-separated letters A-D,471,7,478,0.0012475,2026-07-27 10:37:40
S02__ar__literal__chatgpt,2,failed,openai/gpt-4o-2024-11-20,0.0,24,,A، A، B، C,Response must contain exactly four comma-separated letters A-D,471,7,478,0.0012475,2026-07-27 10:37:40
S02__ar__literal__chatgpt,3,failed,openai/gpt-4o-2024-11-20,0.0,24,,A، A، B، C,Response must contain exactly four comma-separated letters A-D,471,7,478,0.0012475,2026-07-27 10:37:40
S02__ar__literal__chatgpt,4,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,A، A، B، C,,471,7,478,0.0012475,2026-07-27 10:38:27
S02__ar__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,D، A، B، C,,891,10,901,0.002823,2026-07-27 10:38:29
S02__ar__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"D, A, B, C",,482,7,489,0.000786,2026-07-27 10:37:32
S02__bn__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"D, A, B, C",,583,7,590,0.0015275,2026-07-27 09:57:04
S02__bn__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"D, A, B, C",,1396,10,1406,0.004338,2026-07-27 09:57:10
S02__bn__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"D, A, B, C",,429,7,436,0.0007065,2026-07-27 09:57:15
S02__bn__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"D, A, B, C",,558,7,565,0.001465,2026-07-27 09:56:51
S02__bn__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"D, A, B, C",,1298,10,1308,0.004044,2026-07-27 09:56:56
S02__bn__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"D, A, B, C",,411,7,418,0.0006795,2026-07-27 09:57:00
S02__es__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"D,A,B,C",,439,4,443,0.0011375,2026-07-27 09:58:14
S02__es__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"D,A,B,C",,581,10,591,0.001893,2026-07-27 09:58:15
S02__es__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"D, A, B, C",,438,7,445,0.00072,2026-07-27 09:58:16
S02__es__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"D,A,B,C",,438,4,442,0.001135,2026-07-27 09:58:12
S02__es__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"D,A,B,C",,579,10,589,0.001887,2026-07-27 09:58:16
S02__es__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"D, A, B, C",,437,7,444,0.0007185,2026-07-27 09:58:14
S02__hi__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"D, A, B, C",,518,7,525,0.001365,2026-07-27 09:56:36
S02__hi__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"D, A, B, C",,1063,10,1073,0.003339,2026-07-27 09:56:44
S02__hi__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"D, A, B, C",,450,7,457,0.000738,2026-07-27 09:56:49
S02__hi__literal__chatgpt,1,failed,openai/gpt-4o-2024-11-20,0.0,24,,,Response must contain exactly four comma-separated letters A-D,,,,,2026-07-27 09:55:43
S02__hi__literal__chatgpt,2,failed,openai/gpt-4o-2024-11-20,0.0,24,,,Response must contain exactly four comma-separated letters A-D,,,,,2026-07-27 09:55:46
S02__hi__literal__chatgpt,3,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"D, A, B, C",,508,7,515,0.00134,2026-07-27 09:55:50
S02__hi__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"D, A, B, C",,1043,10,1053,0.003279,2026-07-27 09:55:54
S02__hi__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"D, A, B, C",,437,7,444,0.0007185,2026-07-27 09:56:00
S02__ja__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"D, A, B, C",,592,7,599,0.00155,2026-07-27 10:37:32
S02__ja__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,D、A、B、C,,681,10,691,0.002193,2026-07-27 10:37:36
S02__ja__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"D, A, B, C",,444,7,451,0.000729,2026-07-27 09:58:22
S02__ja__literal__chatgpt,1,failed,openai/gpt-4o-2024-11-20,0.0,24,,,Response must contain exactly four comma-separated letters A-D,,,,,2026-07-27 09:58:26
S02__ja__literal__chatgpt,2,failed,openai/gpt-4o-2024-11-20,0.0,24,,,Response must contain exactly four comma-separated letters A-D,,,,,2026-07-27 09:58:26
S02__ja__literal__chatgpt,3,failed,openai/gpt-4o-2024-11-20,0.0,24,,,Response must contain exactly four comma-separated letters A-D,,,,,2026-07-27 09:58:26
S02__ja__literal__chatgpt,4,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,D、A、B、C,,631,7,638,0.0016475,2026-07-27 10:37:31
S02__ja__literal__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,D、A、B、C,,738,10,748,0.002364,2026-07-27 10:37:33
S02__ja__literal__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"D, A, B, C",,466,7,473,0.000762,2026-07-27 09:58:19
S02__ta__adapted__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"D,A,B,C",,643,4,647,0.0016475,2026-07-27 09:58:11
S02__ta__adapted__claude,1,succeeded,anthropic/claude-sonnet-4.6,0.0,24,,"D,A,B,C",,1563,10,1573,0.004839,2026-07-27 09:58:12
S02__ta__adapted__gemini_flash,1,succeeded,google/gemini-3.5-flash,0.0,24,minimal,"D, A, B, C",,479,7,486,0.0007815,2026-07-27 09:58:12
S02__ta__literal__chatgpt,1,succeeded,openai/gpt-4o-2024-11-20,0.0,24,,"D,A,B,C",,662,4,666,0.001695,2026-07-27 09:57:19
