dimension,category,metric,value
overall,all,expected_total,375
overall,all,total_raw_rows,375
overall,all,total_unique_work_units,375
overall,all,valid_final_rows,375
overall,all,duplicate_unique_keys,0
overall,all,missing_or_invalid_work_units,0
overall,all,malformed_attempt_outputs,3
overall,all,unresolved_failures,0
overall,all,total_tokens_available,105194
overall,all,total_reported_cost,0.27411050000000003
model,chatgpt,valid_rows,125
model,chatgpt,retry_attempts,0
model,claude,valid_rows,125
model,claude,retry_attempts,0
model,gemini_flash,valid_rows,125
model,gemini_flash,retry_attempts,3
control,C01,valid_rows,75
control,C02,valid_rows,75
control,C03,valid_rows,75
control,C04,valid_rows,75
control,C05,valid_rows,75
control_model,C01|chatgpt,valid_rows,25
control_model,C01|claude,valid_rows,25
control_model,C01|gemini_flash,valid_rows,25
control_model,C02|chatgpt,valid_rows,25
control_model,C02|claude,valid_rows,25
control_model,C02|gemini_flash,valid_rows,25
control_model,C03|chatgpt,valid_rows,25
control_model,C03|claude,valid_rows,25
control_model,C03|gemini_flash,valid_rows,25
control_model,C04|chatgpt,valid_rows,25
control_model,C04|claude,valid_rows,25
control_model,C04|gemini_flash,valid_rows,25
control_model,C05|chatgpt,valid_rows,25
control_model,C05|claude,valid_rows,25
control_model,C05|gemini_flash,valid_rows,25
input_language,ar,retry_attempts,0
input_language,bn,retry_attempts,0
input_language,en,retry_attempts,0
input_language,es,retry_attempts,2
input_language,hi,retry_attempts,0
input_language,ja,retry_attempts,0
input_language,ta,retry_attempts,1
response_language,ar,retry_attempts,0
response_language,bn,retry_attempts,0
response_language,en,retry_attempts,0
response_language,es,retry_attempts,2
response_language,hi,retry_attempts,0
response_language,ja,retry_attempts,0
response_language,ta,retry_attempts,1
scenario_version,adapted,retry_attempts,0
scenario_version,baseline,retry_attempts,0
scenario_version,literal,retry_attempts,3
overall,all,dataset_complete,true
