model_key,designed_foundation,invoked_foundation,count,row_total,row_percentage
chatgpt,Care/Harm,Care/Harm,50,50,1
chatgpt,Care/Harm,Loyalty/Betrayal,0,50,0
chatgpt,Care/Harm,Authority/Subversion,0,50,0
chatgpt,Care/Harm,Fairness/Cheating,0,50,0
chatgpt,Care/Harm,Sanctity/Degradation,0,50,0
chatgpt,Loyalty/Betrayal,Care/Harm,0,50,0
chatgpt,Loyalty/Betrayal,Loyalty/Betrayal,50,50,1
chatgpt,Loyalty/Betrayal,Authority/Subversion,0,50,0
chatgpt,Loyalty/Betrayal,Fairness/Cheating,0,50,0
chatgpt,Loyalty/Betrayal,Sanctity/Degradation,0,50,0
chatgpt,Authority/Subversion,Care/Harm,26,50,0.52
chatgpt,Authority/Subversion,Loyalty/Betrayal,21,50,0.42
chatgpt,Authority/Subversion,Authority/Subversion,3,50,0.06
chatgpt,Authority/Subversion,Fairness/Cheating,0,50,0
chatgpt,Authority/Subversion,Sanctity/Degradation,0,50,0
chatgpt,Fairness/Cheating,Care/Harm,0,50,0
chatgpt,Fairness/Cheating,Loyalty/Betrayal,0,50,0
chatgpt,Fairness/Cheating,Authority/Subversion,0,50,0
chatgpt,Fairness/Cheating,Fairness/Cheating,50,50,1
chatgpt,Fairness/Cheating,Sanctity/Degradation,0,50,0
chatgpt,Sanctity/Degradation,Care/Harm,23,50,0.46
chatgpt,Sanctity/Degradation,Loyalty/Betrayal,0,50,0
chatgpt,Sanctity/Degradation,Authority/Subversion,0,50,0
chatgpt,Sanctity/Degradation,Fairness/Cheating,0,50,0
chatgpt,Sanctity/Degradation,Sanctity/Degradation,27,50,0.54
claude,Care/Harm,Care/Harm,50,50,1
claude,Care/Harm,Loyalty/Betrayal,0,50,0
claude,Care/Harm,Authority/Subversion,0,50,0
claude,Care/Harm,Fairness/Cheating,0,50,0
claude,Care/Harm,Sanctity/Degradation,0,50,0
claude,Loyalty/Betrayal,Care/Harm,0,50,0
claude,Loyalty/Betrayal,Loyalty/Betrayal,50,50,1
claude,Loyalty/Betrayal,Authority/Subversion,0,50,0
claude,Loyalty/Betrayal,Fairness/Cheating,0,50,0
claude,Loyalty/Betrayal,Sanctity/Degradation,0,50,0
claude,Authority/Subversion,Care/Harm,25,50,0.5
claude,Authority/Subversion,Loyalty/Betrayal,21,50,0.42
claude,Authority/Subversion,Authority/Subversion,4,50,0.08
claude,Authority/Subversion,Fairness/Cheating,0,50,0
claude,Authority/Subversion,Sanctity/Degradation,0,50,0
claude,Fairness/Cheating,Care/Harm,0,50,0
claude,Fairness/Cheating,Loyalty/Betrayal,0,50,0
claude,Fairness/Cheating,Authority/Subversion,0,50,0
claude,Fairness/Cheating,Fairness/Cheating,50,50,1
claude,Fairness/Cheating,Sanctity/Degradation,0,50,0
claude,Sanctity/Degradation,Care/Harm,22,50,0.44
claude,Sanctity/Degradation,Loyalty/Betrayal,0,50,0
claude,Sanctity/Degradation,Authority/Subversion,0,50,0
claude,Sanctity/Degradation,Fairness/Cheating,0,50,0
claude,Sanctity/Degradation,Sanctity/Degradation,28,50,0.56
gemini_flash,Care/Harm,Care/Harm,50,50,1
gemini_flash,Care/Harm,Loyalty/Betrayal,0,50,0
gemini_flash,Care/Harm,Authority/Subversion,0,50,0
gemini_flash,Care/Harm,Fairness/Cheating,0,50,0
gemini_flash,Care/Harm,Sanctity/Degradation,0,50,0
gemini_flash,Loyalty/Betrayal,Care/Harm,0,50,0
gemini_flash,Loyalty/Betrayal,Loyalty/Betrayal,50,50,1
gemini_flash,Loyalty/Betrayal,Authority/Subversion,0,50,0
gemini_flash,Loyalty/Betrayal,Fairness/Cheating,0,50,0
gemini_flash,Loyalty/Betrayal,Sanctity/Degradation,0,50,0
gemini_flash,Authority/Subversion,Care/Harm,25,50,0.5
gemini_flash,Authority/Subversion,Loyalty/Betrayal,23,50,0.46
gemini_flash,Authority/Subversion,Authority/Subversion,2,50,0.04
gemini_flash,Authority/Subversion,Fairness/Cheating,0,50,0
gemini_flash,Authority/Subversion,Sanctity/Degradation,0,50,0
gemini_flash,Fairness/Cheating,Care/Harm,1,50,0.02
gemini_flash,Fairness/Cheating,Loyalty/Betrayal,0,50,0
gemini_flash,Fairness/Cheating,Authority/Subversion,0,50,0
gemini_flash,Fairness/Cheating,Fairness/Cheating,49,50,0.98
gemini_flash,Fairness/Cheating,Sanctity/Degradation,0,50,0
gemini_flash,Sanctity/Degradation,Care/Harm,20,50,0.4
gemini_flash,Sanctity/Degradation,Loyalty/Betrayal,0,50,0
gemini_flash,Sanctity/Degradation,Authority/Subversion,0,50,0
gemini_flash,Sanctity/Degradation,Fairness/Cheating,0,50,0
gemini_flash,Sanctity/Degradation,Sanctity/Degradation,30,50,0.6
gemini_pro,Care/Harm,Care/Harm,50,50,1
gemini_pro,Care/Harm,Loyalty/Betrayal,0,50,0
gemini_pro,Care/Harm,Authority/Subversion,0,50,0
gemini_pro,Care/Harm,Fairness/Cheating,0,50,0
gemini_pro,Care/Harm,Sanctity/Degradation,0,50,0
gemini_pro,Loyalty/Betrayal,Care/Harm,0,50,0
gemini_pro,Loyalty/Betrayal,Loyalty/Betrayal,50,50,1
gemini_pro,Loyalty/Betrayal,Authority/Subversion,0,50,0
gemini_pro,Loyalty/Betrayal,Fairness/Cheating,0,50,0
gemini_pro,Loyalty/Betrayal,Sanctity/Degradation,0,50,0
gemini_pro,Authority/Subversion,Care/Harm,25,50,0.5
gemini_pro,Authority/Subversion,Loyalty/Betrayal,21,50,0.42
gemini_pro,Authority/Subversion,Authority/Subversion,4,50,0.08
gemini_pro,Authority/Subversion,Fairness/Cheating,0,50,0
gemini_pro,Authority/Subversion,Sanctity/Degradation,0,50,0
gemini_pro,Fairness/Cheating,Care/Harm,0,50,0
gemini_pro,Fairness/Cheating,Loyalty/Betrayal,0,50,0
gemini_pro,Fairness/Cheating,Authority/Subversion,0,50,0
gemini_pro,Fairness/Cheating,Fairness/Cheating,50,50,1
gemini_pro,Fairness/Cheating,Sanctity/Degradation,0,50,0
gemini_pro,Sanctity/Degradation,Care/Harm,19,50,0.38
gemini_pro,Sanctity/Degradation,Loyalty/Betrayal,0,50,0
gemini_pro,Sanctity/Degradation,Authority/Subversion,0,50,0
gemini_pro,Sanctity/Degradation,Fairness/Cheating,0,50,0
gemini_pro,Sanctity/Degradation,Sanctity/Degradation,31,50,0.62
all,Care/Harm,Care/Harm,200,200,1
all,Care/Harm,Loyalty/Betrayal,0,200,0
all,Care/Harm,Authority/Subversion,0,200,0
all,Care/Harm,Fairness/Cheating,0,200,0
all,Care/Harm,Sanctity/Degradation,0,200,0
all,Loyalty/Betrayal,Care/Harm,0,200,0
all,Loyalty/Betrayal,Loyalty/Betrayal,200,200,1
all,Loyalty/Betrayal,Authority/Subversion,0,200,0
all,Loyalty/Betrayal,Fairness/Cheating,0,200,0
all,Loyalty/Betrayal,Sanctity/Degradation,0,200,0
all,Authority/Subversion,Care/Harm,101,200,0.505
all,Authority/Subversion,Loyalty/Betrayal,86,200,0.43
all,Authority/Subversion,Authority/Subversion,13,200,0.065
all,Authority/Subversion,Fairness/Cheating,0,200,0
all,Authority/Subversion,Sanctity/Degradation,0,200,0
all,Fairness/Cheating,Care/Harm,1,200,0.005
all,Fairness/Cheating,Loyalty/Betrayal,0,200,0
all,Fairness/Cheating,Authority/Subversion,0,200,0
all,Fairness/Cheating,Fairness/Cheating,199,200,0.995
all,Fairness/Cheating,Sanctity/Degradation,0,200,0
all,Sanctity/Degradation,Care/Harm,84,200,0.42
all,Sanctity/Degradation,Loyalty/Betrayal,0,200,0
all,Sanctity/Degradation,Authority/Subversion,0,200,0
all,Sanctity/Degradation,Fairness/Cheating,0,200,0
all,Sanctity/Degradation,Sanctity/Degradation,116,200,0.58
