scenario_id,dimension,group_value,foundation,count,denominator,percentage
S11,overall,Overall,Care/Harm,1,100,1.0
S11,overall,Overall,Loyalty/Betrayal,86,100,86.0
S11,overall,Overall,Authority/Subversion,13,100,13.0
S11,overall,Overall,Fairness/Cheating,0,100,0.0
S11,overall,Overall,Sanctity/Degradation,0,100,0.0
S30,overall,Overall,Care/Harm,100,100,100.0
S30,overall,Overall,Loyalty/Betrayal,0,100,0.0
S30,overall,Overall,Authority/Subversion,0,100,0.0
S30,overall,Overall,Fairness/Cheating,0,100,0.0
S30,overall,Overall,Sanctity/Degradation,0,100,0.0
S11,model,Claude Sonnet 4.6,Care/Harm,0,25,0.0
S11,model,Claude Sonnet 4.6,Loyalty/Betrayal,21,25,84.0
S11,model,Claude Sonnet 4.6,Authority/Subversion,4,25,16.0
S11,model,Claude Sonnet 4.6,Fairness/Cheating,0,25,0.0
S11,model,Claude Sonnet 4.6,Sanctity/Degradation,0,25,0.0
S11,model,GPT-4o,Care/Harm,1,25,4.0
S11,model,GPT-4o,Loyalty/Betrayal,21,25,84.0
S11,model,GPT-4o,Authority/Subversion,3,25,12.0
S11,model,GPT-4o,Fairness/Cheating,0,25,0.0
S11,model,GPT-4o,Sanctity/Degradation,0,25,0.0
S11,model,Gemini 3.1 Pro,Care/Harm,0,25,0.0
S11,model,Gemini 3.1 Pro,Loyalty/Betrayal,21,25,84.0
S11,model,Gemini 3.1 Pro,Authority/Subversion,4,25,16.0
S11,model,Gemini 3.1 Pro,Fairness/Cheating,0,25,0.0
S11,model,Gemini 3.1 Pro,Sanctity/Degradation,0,25,0.0
S11,model,Gemini 3.5 Flash,Care/Harm,0,25,0.0
S11,model,Gemini 3.5 Flash,Loyalty/Betrayal,23,25,92.0
S11,model,Gemini 3.5 Flash,Authority/Subversion,2,25,8.0
S11,model,Gemini 3.5 Flash,Fairness/Cheating,0,25,0.0
S11,model,Gemini 3.5 Flash,Sanctity/Degradation,0,25,0.0
S30,model,Claude Sonnet 4.6,Care/Harm,25,25,100.0
S30,model,Claude Sonnet 4.6,Loyalty/Betrayal,0,25,0.0
S30,model,Claude Sonnet 4.6,Authority/Subversion,0,25,0.0
S30,model,Claude Sonnet 4.6,Fairness/Cheating,0,25,0.0
S30,model,Claude Sonnet 4.6,Sanctity/Degradation,0,25,0.0
S30,model,GPT-4o,Care/Harm,25,25,100.0
S30,model,GPT-4o,Loyalty/Betrayal,0,25,0.0
S30,model,GPT-4o,Authority/Subversion,0,25,0.0
S30,model,GPT-4o,Fairness/Cheating,0,25,0.0
S30,model,GPT-4o,Sanctity/Degradation,0,25,0.0
S30,model,Gemini 3.1 Pro,Care/Harm,25,25,100.0
S30,model,Gemini 3.1 Pro,Loyalty/Betrayal,0,25,0.0
S30,model,Gemini 3.1 Pro,Authority/Subversion,0,25,0.0
S30,model,Gemini 3.1 Pro,Fairness/Cheating,0,25,0.0
S30,model,Gemini 3.1 Pro,Sanctity/Degradation,0,25,0.0
S30,model,Gemini 3.5 Flash,Care/Harm,25,25,100.0
S30,model,Gemini 3.5 Flash,Loyalty/Betrayal,0,25,0.0
S30,model,Gemini 3.5 Flash,Authority/Subversion,0,25,0.0
S30,model,Gemini 3.5 Flash,Fairness/Cheating,0,25,0.0
S30,model,Gemini 3.5 Flash,Sanctity/Degradation,0,25,0.0
S11,input_language,Arabic,Care/Harm,1,16,6.25
S11,input_language,Arabic,Loyalty/Betrayal,11,16,68.75
S11,input_language,Arabic,Authority/Subversion,4,16,25.0
S11,input_language,Arabic,Fairness/Cheating,0,16,0.0
S11,input_language,Arabic,Sanctity/Degradation,0,16,0.0
S11,input_language,Bengali,Care/Harm,0,16,0.0
S11,input_language,Bengali,Loyalty/Betrayal,15,16,93.75
S11,input_language,Bengali,Authority/Subversion,1,16,6.25
S11,input_language,Bengali,Fairness/Cheating,0,16,0.0
S11,input_language,Bengali,Sanctity/Degradation,0,16,0.0
S11,input_language,English,Care/Harm,0,4,0.0
S11,input_language,English,Loyalty/Betrayal,4,4,100.0
S11,input_language,English,Authority/Subversion,0,4,0.0
S11,input_language,English,Fairness/Cheating,0,4,0.0
S11,input_language,English,Sanctity/Degradation,0,4,0.0
S11,input_language,Hindi,Care/Harm,0,16,0.0
S11,input_language,Hindi,Loyalty/Betrayal,15,16,93.75
S11,input_language,Hindi,Authority/Subversion,1,16,6.25
S11,input_language,Hindi,Fairness/Cheating,0,16,0.0
S11,input_language,Hindi,Sanctity/Degradation,0,16,0.0
S11,input_language,Japanese,Care/Harm,0,16,0.0
S11,input_language,Japanese,Loyalty/Betrayal,13,16,81.25
S11,input_language,Japanese,Authority/Subversion,3,16,18.75
S11,input_language,Japanese,Fairness/Cheating,0,16,0.0
S11,input_language,Japanese,Sanctity/Degradation,0,16,0.0
S11,input_language,Spanish,Care/Harm,0,16,0.0
S11,input_language,Spanish,Loyalty/Betrayal,15,16,93.75
S11,input_language,Spanish,Authority/Subversion,1,16,6.25
S11,input_language,Spanish,Fairness/Cheating,0,16,0.0
S11,input_language,Spanish,Sanctity/Degradation,0,16,0.0
