work_unit_id,raw_response,parsed_answers,normalization_type,exactly_four_recognized_tokens,response_order_preserved,answer_content_inferred,ambiguous_free_text_converted
S02__ja__literal__chatgpt,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S02__ja__literal__claude,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S02__ja__adapted__claude,D、A、B、C,"D,A,B,C",locale_specific_comma,True,True,False,False
S02__ar__literal__chatgpt,A، A، B، C,"A,A,B,C",locale_specific_comma,True,True,False,False
S02__ar__literal__claude,D، A، B، C,"D,A,B,C",locale_specific_comma,True,True,False,False
S02__ar__adapted__claude,A، A، B، C,"A,A,B,C",locale_specific_comma,True,True,False,False
S05__ja__literal__chatgpt,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S05__ja__adapted__chatgpt,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S05__ar__literal__chatgpt,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S05__ar__adapted__chatgpt,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S05__ar__literal__claude,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S05__ja__literal__claude,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S05__ar__adapted__claude,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S05__ja__adapted__claude,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S06__ja__literal__chatgpt,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S06__ja__adapted__chatgpt,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S06__ar__adapted__chatgpt,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S06__ja__literal__claude,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S06__ar__literal__claude,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S06__ja__adapted__claude,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S06__ar__adapted__claude,C، D، A، B,"C,D,A,B",locale_specific_comma,True,True,False,False
S12__ja__literal__chatgpt,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
S12__ja__adapted__chatgpt,C、D、A、B,"C,D,A,B",locale_specific_comma,True,True,False,False
