manuscript_section,result_name,analysis_version,comparison,mean_difference,confidence_interval,effect_size,p_value_primary,q_value_primary,p_value_robustness,q_value_robustness,n,exact_wording,required_qualification,main_text_or_supplement
Results,Tamil Loyalty/Betrayal input-language effect,v1_original_intended,language; language=ta; foundation=Loyalty/Betrayal,-0.43333333333333335,"[-0.6671088439635788, -0.19955782270308792]",-0.6921568708897166,0.0009765625,0.028741024172677317,0.0007032822635442137,0.02461487922404748,30,Tamil Loyalty/Betrayal input-language effect: directionally stable but not statistically robust.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,main text candidate
Results,Tamil Loyalty/Betrayal input-language effect,v2_validated_subset,language; language=ta; foundation=Loyalty/Betrayal,-0.4166666666666667,"[-0.6927686059380227, -0.14056472739531073]",-0.6372389240525752,0.0078125,0.07806951349431818,0.00479300296329388,0.05032653111458574,24,Tamil Loyalty/Betrayal input-language effect: directionally stable but not statistically robust.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Tamil Loyalty/Betrayal input-language effect,v3_human_scenario_majority,language; language=ta; foundation=Loyalty/Betrayal,-0.21212121212121213,"[-0.45902222344968396, 0.03477979920725971]",-0.30463589792247125,0.12890625,0.41015625,0.08970311513619444,0.294338346540638,33,Tamil Loyalty/Betrayal input-language effect: directionally stable but not statistically robust.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Arabic Sanctity/Degradation framing effect,v1_original_intended,framing; language=ar; foundation=Sanctity/Degradation,-0.5925925925925926,"[-0.9440139445617493, -0.24117124062343587]",-0.6670676692091927,0.00244140625,0.03662109375,0.0018481730441861632,0.027981386907143618,27,Arabic Sanctity/Degradation framing effect: weakened to suggestive.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,main text candidate
Results,Arabic Sanctity/Degradation framing effect,v2_validated_subset,framing; language=ar; foundation=Sanctity/Degradation,-0.5925925925925926,"[-0.9440139445617493, -0.24117124062343587]",-0.6670676692091927,0.00244140625,0.05126953125,0.0018481730441861632,0.03234302827325786,27,Arabic Sanctity/Degradation framing effect: weakened to suggestive.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Arabic Sanctity/Degradation framing effect,v3_human_scenario_majority,framing; language=ar; foundation=Sanctity/Degradation,-0.5925925925925926,"[-0.9440139445617493, -0.24117124062343587]",-0.6670676692091927,0.00244140625,0.0439453125,0.0018481730441861632,0.032238235382700264,27,Arabic Sanctity/Degradation framing effect: weakened to suggestive.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,main text candidate
Results,Spanish Sanctity/Degradation framing effect,v1_original_intended,framing; language=es; foundation=Sanctity/Degradation,-0.48148148148148145,"[-0.7989074696491067, -0.16405549331385622]",-0.6000382376103702,0.0081787109375,0.06328582763671875,0.004412390207288341,0.03862953907611988,27,Spanish Sanctity/Degradation framing effect: directionally stable but not statistically robust.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Spanish Sanctity/Degradation framing effect,v2_validated_subset,framing; language=es; foundation=Sanctity/Degradation,-0.48148148148148145,"[-0.7989074696491067, -0.16405549331385622]",-0.6000382376103702,0.0081787109375,0.07806951349431818,0.004412390207288341,0.05032653111458574,27,Spanish Sanctity/Degradation framing effect: directionally stable but not statistically robust.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Spanish Sanctity/Degradation framing effect,v3_human_scenario_majority,framing; language=es; foundation=Sanctity/Degradation,-0.48148148148148145,"[-0.7989074696491067, -0.16405549331385622]",-0.6000382376103702,0.0081787109375,0.08587646484375,0.004412390207288341,0.046330097176527585,27,Spanish Sanctity/Degradation framing effect: directionally stable but not statistically robust.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Japanese Fairness/Cheating reasoning effect,v1_original_intended,reasoning; language=ja; foundation=Fairness/Cheating,0.3333333333333333,"[0.1292025515791674, 0.5374641150874993]",0.6097498436202111,0.00390625,0.045572916666666664,0.002316228855839375,0.027981386907143618,30,Japanese Fairness/Cheating reasoning effect: weakened to suggestive.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,main text candidate
Results,Japanese Fairness/Cheating reasoning effect,v2_validated_subset,reasoning; language=ja; foundation=Fairness/Cheating,0.3333333333333333,"[0.11390124393209045, 0.5527654227345762]",0.6009252125773316,0.0078125,0.07806951349431818,0.004362658456633861,0.05032653111458574,27,Japanese Fairness/Cheating reasoning effect: weakened to suggestive.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Japanese Fairness/Cheating reasoning effect,v3_human_scenario_majority,reasoning; language=ja; foundation=Fairness/Cheating,0.3333333333333333,"[0.1292025515791674, 0.5374641150874993]",0.6097498436202111,0.00390625,0.045572916666666664,0.002316228855839375,0.032238235382700264,30,Japanese Fairness/Cheating reasoning effect: weakened to suggestive.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,main text candidate
Results,Arabic Fairness/Cheating reasoning effect,v1_original_intended,reasoning; language=ar; foundation=Fairness/Cheating,0.4,"[0.12966377428239395, 0.6703362257176061]",0.5525062514530825,0.0096435546875,0.06328582763671875,0.005150605210149317,0.03862953907611988,30,Arabic Fairness/Cheating reasoning effect: weakened to suggestive.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Arabic Fairness/Cheating reasoning effect,v2_validated_subset,reasoning; language=ar; foundation=Fairness/Cheating,0.4444444444444444,"[0.16833178698362555, 0.7205571019052632]",0.6367559105878924,0.00537109375,0.07806951349431818,0.002748244817944334,0.04122367226916501,27,Arabic Fairness/Cheating reasoning effect: weakened to suggestive.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,supplement or qualified discussion
Results,Arabic Fairness/Cheating reasoning effect,v3_human_scenario_majority,reasoning; language=ar; foundation=Fairness/Cheating,0.43333333333333335,"[0.17982396618818813, 0.6868427004784785]",0.6382775033154234,0.0029296875,0.0439453125,0.0015405967648947083,0.032238235382700264,30,Arabic Fairness/Cheating reasoning effect: weakened to suggestive.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,main text candidate
Results,Pooled Authority/Subversion input-language effect,v1_original_intended,language; language=all; foundation=Authority/Subversion,0.37777777777777777,"[0.2561971169778612, 0.49935843857769435]",0.4570144872999839,4.5761507398090604e-10,4.8049582767995134e-8,5.422230664464678e-9,5.693342197687912e-7,180,Pooled Authority/Subversion input-language effect: stable.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,main text candidate
Results,Pooled Authority/Subversion input-language effect,v2_validated_subset,language; language=all; foundation=Authority/Subversion,0.4111111111111111,"[0.19610408668071078, 0.6261181355415114]",0.4004778701136469,0.0001306197422081823,0.00457169097728638,0.0002650051189472258,0.009275179163152902,90,Pooled Authority/Subversion input-language effect: stable.,Primary q uses the 105-test exact-Wilcoxon BH family; inspect all three label versions and scenario-cluster bootstrap interval.,main text candidate
