analysis_version,group_type,group_value,matches,total,match_rate
original_intended,overall,all,728,1000,0.728
original_intended,foundation,Care/Harm,200,200,1
original_intended,foundation,Loyalty/Betrayal,200,200,1
original_intended,foundation,Authority/Subversion,13,200,0.065
original_intended,foundation,Fairness/Cheating,199,200,0.995
original_intended,foundation,Sanctity/Degradation,116,200,0.58
original_intended,scenario,S01,100,100,1
original_intended,scenario,S06,100,100,1
original_intended,scenario,S11,13,100,0.13
original_intended,scenario,S16,100,100,1
original_intended,scenario,S21,100,100,1
original_intended,scenario,S26,100,100,1
original_intended,scenario,S28,99,100,0.99
original_intended,scenario,S29,100,100,1
original_intended,scenario,S30,0,100,0
original_intended,scenario,S34,16,100,0.16
original_intended,model,chatgpt,180,250,0.72
original_intended,model,claude,182,250,0.728
original_intended,model,gemini_flash,181,250,0.724
original_intended,model,gemini_pro,185,250,0.74
original_intended,language,ar,116,160,0.725
original_intended,language,bn,114,160,0.7125
original_intended,language,en,28,40,0.7
original_intended,language,es,114,160,0.7125
original_intended,language,hi,118,160,0.7375
original_intended,language,ja,119,160,0.74375
original_intended,language,ta,119,160,0.74375
original_intended,condition_type,adapted_reason_en,173,240,0.7208333333333333
original_intended,condition_type,adapted_reason_l2,177,240,0.7375
original_intended,condition_type,en_en,28,40,0.7
original_intended,condition_type,translation_reason_en,176,240,0.7333333333333333
original_intended,condition_type,translation_reason_l2,174,240,0.725
human_majority,overall,all,716,1000,0.716
human_majority,foundation,Care/Harm,201,300,0.67
human_majority,foundation,Loyalty/Betrayal,200,200,1
human_majority,foundation,Authority/Subversion,0,100,0
human_majority,foundation,Fairness/Cheating,199,200,0.995
human_majority,foundation,Sanctity/Degradation,116,200,0.58
human_majority,scenario,S01,100,100,1
human_majority,scenario,S06,100,100,1
human_majority,scenario,S11,1,100,0.01
human_majority,scenario,S16,100,100,1
human_majority,scenario,S21,100,100,1
human_majority,scenario,S26,100,100,1
human_majority,scenario,S28,99,100,0.99
human_majority,scenario,S29,100,100,1
human_majority,scenario,S30,0,100,0
human_majority,scenario,S34,16,100,0.16
human_majority,model,chatgpt,178,250,0.712
human_majority,model,claude,178,250,0.712
human_majority,model,gemini_flash,179,250,0.716
human_majority,model,gemini_pro,181,250,0.724
human_majority,language,ar,113,160,0.70625
human_majority,language,bn,113,160,0.70625
human_majority,language,en,28,40,0.7
human_majority,language,es,113,160,0.70625
human_majority,language,hi,117,160,0.73125
human_majority,language,ja,116,160,0.725
human_majority,language,ta,116,160,0.725
human_majority,condition_type,adapted_reason_en,169,240,0.7041666666666667
human_majority,condition_type,adapted_reason_l2,174,240,0.725
human_majority,condition_type,en_en,28,40,0.7
human_majority,condition_type,translation_reason_en,173,240,0.7208333333333333
human_majority,condition_type,translation_reason_l2,172,240,0.7166666666666667
