scenario_id,intended_foundation,human_scenario_majority_foundation,dimension,group_value,response_coded_foundation,count,group_total
S11,Authority/Subversion,Care/Harm,overall,all,Care/Harm,1,100
S11,Authority/Subversion,Care/Harm,overall,all,Loyalty/Betrayal,86,100
S11,Authority/Subversion,Care/Harm,overall,all,Authority/Subversion,13,100
S11,Authority/Subversion,Care/Harm,overall,all,Fairness/Cheating,0,100
S11,Authority/Subversion,Care/Harm,overall,all,Sanctity/Degradation,0,100
S11,Authority/Subversion,Care/Harm,model,chatgpt,Care/Harm,1,25
S11,Authority/Subversion,Care/Harm,model,chatgpt,Loyalty/Betrayal,21,25
S11,Authority/Subversion,Care/Harm,model,chatgpt,Authority/Subversion,3,25
S11,Authority/Subversion,Care/Harm,model,chatgpt,Fairness/Cheating,0,25
S11,Authority/Subversion,Care/Harm,model,chatgpt,Sanctity/Degradation,0,25
S11,Authority/Subversion,Care/Harm,model,claude,Care/Harm,0,25
S11,Authority/Subversion,Care/Harm,model,claude,Loyalty/Betrayal,21,25
S11,Authority/Subversion,Care/Harm,model,claude,Authority/Subversion,4,25
S11,Authority/Subversion,Care/Harm,model,claude,Fairness/Cheating,0,25
S11,Authority/Subversion,Care/Harm,model,claude,Sanctity/Degradation,0,25
S11,Authority/Subversion,Care/Harm,model,gemini_flash,Care/Harm,0,25
S11,Authority/Subversion,Care/Harm,model,gemini_flash,Loyalty/Betrayal,23,25
S11,Authority/Subversion,Care/Harm,model,gemini_flash,Authority/Subversion,2,25
S11,Authority/Subversion,Care/Harm,model,gemini_flash,Fairness/Cheating,0,25
S11,Authority/Subversion,Care/Harm,model,gemini_flash,Sanctity/Degradation,0,25
S11,Authority/Subversion,Care/Harm,model,gemini_pro,Care/Harm,0,25
S11,Authority/Subversion,Care/Harm,model,gemini_pro,Loyalty/Betrayal,21,25
S11,Authority/Subversion,Care/Harm,model,gemini_pro,Authority/Subversion,4,25
S11,Authority/Subversion,Care/Harm,model,gemini_pro,Fairness/Cheating,0,25
S11,Authority/Subversion,Care/Harm,model,gemini_pro,Sanctity/Degradation,0,25
S11,Authority/Subversion,Care/Harm,language,ar,Care/Harm,1,16
S11,Authority/Subversion,Care/Harm,language,ar,Loyalty/Betrayal,11,16
S11,Authority/Subversion,Care/Harm,language,ar,Authority/Subversion,4,16
S11,Authority/Subversion,Care/Harm,language,ar,Fairness/Cheating,0,16
S11,Authority/Subversion,Care/Harm,language,ar,Sanctity/Degradation,0,16
S11,Authority/Subversion,Care/Harm,language,bn,Care/Harm,0,16
S11,Authority/Subversion,Care/Harm,language,bn,Loyalty/Betrayal,15,16
S11,Authority/Subversion,Care/Harm,language,bn,Authority/Subversion,1,16
S11,Authority/Subversion,Care/Harm,language,bn,Fairness/Cheating,0,16
S11,Authority/Subversion,Care/Harm,language,bn,Sanctity/Degradation,0,16
S11,Authority/Subversion,Care/Harm,language,en,Care/Harm,0,4
S11,Authority/Subversion,Care/Harm,language,en,Loyalty/Betrayal,4,4
S11,Authority/Subversion,Care/Harm,language,en,Authority/Subversion,0,4
S11,Authority/Subversion,Care/Harm,language,en,Fairness/Cheating,0,4
S11,Authority/Subversion,Care/Harm,language,en,Sanctity/Degradation,0,4
S11,Authority/Subversion,Care/Harm,language,es,Care/Harm,0,16
S11,Authority/Subversion,Care/Harm,language,es,Loyalty/Betrayal,15,16
S11,Authority/Subversion,Care/Harm,language,es,Authority/Subversion,1,16
S11,Authority/Subversion,Care/Harm,language,es,Fairness/Cheating,0,16
S11,Authority/Subversion,Care/Harm,language,es,Sanctity/Degradation,0,16
S11,Authority/Subversion,Care/Harm,language,hi,Care/Harm,0,16
S11,Authority/Subversion,Care/Harm,language,hi,Loyalty/Betrayal,15,16
S11,Authority/Subversion,Care/Harm,language,hi,Authority/Subversion,1,16
S11,Authority/Subversion,Care/Harm,language,hi,Fairness/Cheating,0,16
S11,Authority/Subversion,Care/Harm,language,hi,Sanctity/Degradation,0,16
S11,Authority/Subversion,Care/Harm,language,ja,Care/Harm,0,16
S11,Authority/Subversion,Care/Harm,language,ja,Loyalty/Betrayal,13,16
S11,Authority/Subversion,Care/Harm,language,ja,Authority/Subversion,3,16
S11,Authority/Subversion,Care/Harm,language,ja,Fairness/Cheating,0,16
S11,Authority/Subversion,Care/Harm,language,ja,Sanctity/Degradation,0,16
S11,Authority/Subversion,Care/Harm,language,ta,Care/Harm,0,16
S11,Authority/Subversion,Care/Harm,language,ta,Loyalty/Betrayal,13,16
S11,Authority/Subversion,Care/Harm,language,ta,Authority/Subversion,3,16
S11,Authority/Subversion,Care/Harm,language,ta,Fairness/Cheating,0,16
S11,Authority/Subversion,Care/Harm,language,ta,Sanctity/Degradation,0,16
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_en,Care/Harm,0,24
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_en,Loyalty/Betrayal,20,24
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_en,Authority/Subversion,4,24
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_en,Fairness/Cheating,0,24
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_en,Sanctity/Degradation,0,24
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_l2,Care/Harm,0,24
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_l2,Loyalty/Betrayal,21,24
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_l2,Authority/Subversion,3,24
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_l2,Fairness/Cheating,0,24
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_l2,Sanctity/Degradation,0,24
S11,Authority/Subversion,Care/Harm,condition_type,en_en,Care/Harm,0,4
S11,Authority/Subversion,Care/Harm,condition_type,en_en,Loyalty/Betrayal,4,4
S11,Authority/Subversion,Care/Harm,condition_type,en_en,Authority/Subversion,0,4
S11,Authority/Subversion,Care/Harm,condition_type,en_en,Fairness/Cheating,0,4
S11,Authority/Subversion,Care/Harm,condition_type,en_en,Sanctity/Degradation,0,4
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_en,Care/Harm,1,24
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_en,Loyalty/Betrayal,19,24
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_en,Authority/Subversion,4,24
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_en,Fairness/Cheating,0,24
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_en,Sanctity/Degradation,0,24
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_l2,Care/Harm,0,24
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_l2,Loyalty/Betrayal,22,24
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_l2,Authority/Subversion,2,24
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_l2,Fairness/Cheating,0,24
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_l2,Sanctity/Degradation,0,24
S11,Authority/Subversion,Care/Harm,reasoning_language,ar,Care/Harm,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,ar,Loyalty/Betrayal,5,8
S11,Authority/Subversion,Care/Harm,reasoning_language,ar,Authority/Subversion,3,8
S11,Authority/Subversion,Care/Harm,reasoning_language,ar,Fairness/Cheating,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,ar,Sanctity/Degradation,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,bn,Care/Harm,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,bn,Loyalty/Betrayal,8,8
S11,Authority/Subversion,Care/Harm,reasoning_language,bn,Authority/Subversion,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,bn,Fairness/Cheating,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,bn,Sanctity/Degradation,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,en,Care/Harm,1,52
S11,Authority/Subversion,Care/Harm,reasoning_language,en,Loyalty/Betrayal,43,52
S11,Authority/Subversion,Care/Harm,reasoning_language,en,Authority/Subversion,8,52
S11,Authority/Subversion,Care/Harm,reasoning_language,en,Fairness/Cheating,0,52
S11,Authority/Subversion,Care/Harm,reasoning_language,en,Sanctity/Degradation,0,52
S11,Authority/Subversion,Care/Harm,reasoning_language,es,Care/Harm,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,es,Loyalty/Betrayal,8,8
S11,Authority/Subversion,Care/Harm,reasoning_language,es,Authority/Subversion,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,es,Fairness/Cheating,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,es,Sanctity/Degradation,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,hi,Care/Harm,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,hi,Loyalty/Betrayal,8,8
S11,Authority/Subversion,Care/Harm,reasoning_language,hi,Authority/Subversion,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,hi,Fairness/Cheating,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,hi,Sanctity/Degradation,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,ja,Care/Harm,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,ja,Loyalty/Betrayal,7,8
S11,Authority/Subversion,Care/Harm,reasoning_language,ja,Authority/Subversion,1,8
S11,Authority/Subversion,Care/Harm,reasoning_language,ja,Fairness/Cheating,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,ja,Sanctity/Degradation,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,ta,Care/Harm,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,ta,Loyalty/Betrayal,7,8
S11,Authority/Subversion,Care/Harm,reasoning_language,ta,Authority/Subversion,1,8
S11,Authority/Subversion,Care/Harm,reasoning_language,ta,Fairness/Cheating,0,8
S11,Authority/Subversion,Care/Harm,reasoning_language,ta,Sanctity/Degradation,0,8
S30,Authority/Subversion,Authority/Subversion,overall,all,Care/Harm,100,100
S30,Authority/Subversion,Authority/Subversion,overall,all,Loyalty/Betrayal,0,100
S30,Authority/Subversion,Authority/Subversion,overall,all,Authority/Subversion,0,100
S30,Authority/Subversion,Authority/Subversion,overall,all,Fairness/Cheating,0,100
S30,Authority/Subversion,Authority/Subversion,overall,all,Sanctity/Degradation,0,100
S30,Authority/Subversion,Authority/Subversion,model,chatgpt,Care/Harm,25,25
S30,Authority/Subversion,Authority/Subversion,model,chatgpt,Loyalty/Betrayal,0,25
S30,Authority/Subversion,Authority/Subversion,model,chatgpt,Authority/Subversion,0,25
S30,Authority/Subversion,Authority/Subversion,model,chatgpt,Fairness/Cheating,0,25
S30,Authority/Subversion,Authority/Subversion,model,chatgpt,Sanctity/Degradation,0,25
S30,Authority/Subversion,Authority/Subversion,model,claude,Care/Harm,25,25
S30,Authority/Subversion,Authority/Subversion,model,claude,Loyalty/Betrayal,0,25
S30,Authority/Subversion,Authority/Subversion,model,claude,Authority/Subversion,0,25
S30,Authority/Subversion,Authority/Subversion,model,claude,Fairness/Cheating,0,25
S30,Authority/Subversion,Authority/Subversion,model,claude,Sanctity/Degradation,0,25
S30,Authority/Subversion,Authority/Subversion,model,gemini_flash,Care/Harm,25,25
S30,Authority/Subversion,Authority/Subversion,model,gemini_flash,Loyalty/Betrayal,0,25
S30,Authority/Subversion,Authority/Subversion,model,gemini_flash,Authority/Subversion,0,25
S30,Authority/Subversion,Authority/Subversion,model,gemini_flash,Fairness/Cheating,0,25
S30,Authority/Subversion,Authority/Subversion,model,gemini_flash,Sanctity/Degradation,0,25
S30,Authority/Subversion,Authority/Subversion,model,gemini_pro,Care/Harm,25,25
S30,Authority/Subversion,Authority/Subversion,model,gemini_pro,Loyalty/Betrayal,0,25
S30,Authority/Subversion,Authority/Subversion,model,gemini_pro,Authority/Subversion,0,25
S30,Authority/Subversion,Authority/Subversion,model,gemini_pro,Fairness/Cheating,0,25
S30,Authority/Subversion,Authority/Subversion,model,gemini_pro,Sanctity/Degradation,0,25
S30,Authority/Subversion,Authority/Subversion,language,ar,Care/Harm,16,16
S30,Authority/Subversion,Authority/Subversion,language,ar,Loyalty/Betrayal,0,16
