foundation,effect,lang,comparison,n,mean,sd,standardError,ci95,meanDifference,t,degreesFreedom,effectSize
Care/Harm,language,hi,hi translation with English reasoning - English baseline,20,-0.3,0.47016234598162715,0.10513149660756933,-0.5060577333508358|-0.09394226664916411,-0.3,-2.8535691936340264,19,-0.6380774695464942
Care/Harm,framing,hi,"hi adapted - hi translation, same reasoning language",40,-0.175,0.3848076442547926,0.06084343084444758,-0.29425312445511725|-0.05574687554488274,-0.175,-2.876234912646614,39,-0.4547726704829369
Care/Harm,reasoning,hi,"hi reasoning - English reasoning, same hi input",40,0.075,0.4167948520770725,0.06590105247982553,-0.05416606286045804|0.20416606286045802,0.075,1.1380698361829646,39,0.17994464093364382
Care/Harm,language,bn,bn translation with English reasoning - English baseline,20,-0.3,0.6569466853317862,0.1468977445995038,-0.5879195794150274|-0.012080420584972551,-0.3,-2.042236937115053,19,-0.4566580617550222
Care/Harm,framing,bn,"bn adapted - bn translation, same reasoning language",40,0.075,0.5256253906367646,0.08310867152139591,-0.08789299618193598|0.237892996181936,0.075,0.9024329065432315,39,0.14268717100812398
Care/Harm,reasoning,bn,"bn reasoning - English reasoning, same bn input",40,0.125,0.46340434799814917,0.07327066086497203,-0.01861049529534517|0.2686104952953452,0.125,1.706003447005319,39,0.2697428294317585
Care/Harm,language,ta,ta translation with English reasoning - English baseline,20,-0.4,0.5026246899500346,0.11239029738980327,-0.6202849828840145|-0.17971501711598561,-0.4,-3.5590260840104375,19,-0.7958224257542215
Care/Harm,framing,ta,"ta adapted - ta translation, same reasoning language",40,-0.1,0.37893237337253655,0.05991446895152777,-0.21743235914499442|0.017432359144994428,-0.1,-1.6690459207925614,39,-0.26389933145587396
Care/Harm,reasoning,ta,"ta reasoning - English reasoning, same ta input",40,0.05,0.31622776601683783,0.04999999999999998,-0.04799999999999996|0.14799999999999996,0.05,1.0000000000000004,39,0.15811388300841903
Care/Harm,language,es,es translation with English reasoning - English baseline,20,-0.05,0.3940344628262061,0.08810878443570107,-0.22269321749397408|0.12269321749397409,-0.05,-0.5674803065350241,19,-0.1268924541304732
Care/Harm,framing,es,"es adapted - es translation, same reasoning language",40,-0.1,0.3789323733725366,0.059914468951527786,-0.21743235914499448|0.017432359144994455,-0.1,-1.6690459207925612,39,-0.2638993314558739
Care/Harm,reasoning,es,"es reasoning - English reasoning, same es input",40,0,0.4529108136578383,0.07161148740394328,-0.14035851531172883|0.14035851531172883,0,0,39,0
Care/Harm,language,ja,ja translation with English reasoning - English baseline,20,-0.2,0.4103913408340617,0.09176629354822471,-0.37986193535452045|-0.02013806464547957,-0.2,-2.1794494717703365,19,-0.48733971724044817
Care/Harm,framing,ja,"ja adapted - ja translation, same reasoning language",40,0.1,0.5453768398418632,0.08623164985025761,-0.06901403370650491|0.2690140337065049,0.1,1.1596670152276027,39,0.1833594547744196
Care/Harm,reasoning,ja,"ja reasoning - English reasoning, same ja input",40,0.15,0.36162028533978946,0.05717718748968655,0.03793271252021435|0.26206728747978564,0.15,2.623423896585619,39,0.41479973906622913
Care/Harm,language,ar,ar translation with English reasoning - English baseline,20,-0.1,0.4472135954999578,0.09999999999999996,-0.29599999999999993|0.09599999999999992,-0.1,-1.0000000000000004,19,-0.22360679774997905
Care/Harm,framing,ar,"ar adapted - ar translation, same reasoning language",40,-0.075,0.4167948520770725,0.06590105247982553,-0.20416606286045802|0.05416606286045804,-0.075,-1.1380698361829646,39,-0.17994464093364382
Care/Harm,reasoning,ar,"ar reasoning - English reasoning, same ar input",40,0.175,0.4464963318538847,0.07059726877843334,0.03662935319427066|0.31337064680572935,0.175,2.4788494374935435,39,0.3919405099553393
Loyalty/Betrayal,language,hi,hi translation with English reasoning - English baseline,20,-0.2,0.4103913408340617,0.09176629354822471,-0.37986193535452045|-0.02013806464547957,-0.2,-2.1794494717703365,19,-0.48733971724044817
