file,filename,purpose,rows,important_columns,data_stage,current_or_stale,used_by_corrected_analysis,inclusion_or_exclusion_reason,bytes,sha256
results/processed/full_merged.csv,full_merged.csv,canonical ratings,6000,response_id; runId; mode; status; attemptCount; modelKey; modelString; scenarioId; mft_category; mft_foundation; conditionId; inputLang; reasoningLang; scenarioVersion,processed analysis input or reference,used_or_audited,yes,included as canonical input or audited to establish processing provenance,2446006,89342f58d4720a04708d69b943d10c76ec3a627d2f0b5f2edee9637fbbd58190
results/processed/full_merged_with_ai_mft_codes.csv,full_merged_with_ai_mft_codes.csv,canonical available response codes,6000,response_id; runId; mode; status; attemptCount; modelKey; modelString; scenarioId; mft_category; mft_foundation; conditionId; inputLang; reasoningLang; scenarioVersion,intermediate coder output,used_or_audited,yes,included as canonical input or audited to establish processing provenance,2546337,404b9cf67fa86cdf846db4ae53e26d38bbc844370c025ed81c4360794e195284
results/processed/full_merged_with_human_mft_codes.csv,full_merged_with_human_mft_codes.csv,misleading historical copy,6000,response_id; runId; mode; status; attemptCount; modelKey; modelString; scenarioId; mft_category; mft_foundation; conditionId; inputLang; reasoningLang; scenarioVersion,processed analysis input or reference,stale_or_misleading_not_used_as_canonical,audited_or_comparison_only,excluded because byte-identical copy does not establish human provenance,2546337,404b9cf67fa86cdf846db4ae53e26d38bbc844370c025ed81c4360794e195284
results/processed/ai_mft_coding/ai_mft_codes.csv,ai_mft_codes.csv,response-label provenance,1000,response_id; scenario_id; model_evaluated; language; condition; designed_label; scenario_text_en; qualitative_response; llama_label; deepseek_label; agreement,intermediate coder output,placeholder_not_evidence_of_completed_human_coding,yes,excluded because placeholder code has no completed coder exports,1164137,c81882b0ef65e5403ec2a28e13d727c7c3f9a33511330412d9500658d92f6ed3
results/processed/ai_mft_coding/ai_mft_codes_adjudicated.csv,ai_mft_codes_adjudicated.csv,response-label provenance,1000,response_id; scenario_id; model_evaluated; language; condition; designed_label; scenario_text_en; qualitative_response; llama_label; deepseek_label; agreement; adjudicated_label; adjudication_source; adjudication_note,final source-level input,placeholder_not_evidence_of_completed_human_coding,yes,excluded because placeholder code has no completed coder exports,1198975,794c012464bd425004dddd3fe96cf9638d74e1c2a057189ecbaa9021aaad2a47
results/processed/ai_mft_coding/ai_mft_summary_report.txt,ai_mft_summary_report.txt,response-label provenance,,not applicable,processed analysis input or reference,placeholder_not_evidence_of_completed_human_coding,audited_or_comparison_only,excluded because placeholder code has no completed coder exports,458,47b17fc8f2b5133ef2ff980963c11a524573a08f3f10cd514b2fd1c6fe50c6d6
results/processed/scenario_validation_trial2/scenario_validation_merged_3coders.csv,scenario_validation_merged_3coders.csv,human scenario-level validation,50,scenario_id; scenario_text_en; intended_mft_foundation; Coder_A_label; Coder_A_notes; Coder_A_shown_order; Coder_B_label; Coder_B_notes; Coder_B_shown_order; Coder_C_label; Coder_C_notes; Coder_C_shown_order; majority_vote_label; majority_matches_intended,final source-level input,used_or_audited,yes,included as canonical input or audited to establish processing provenance,26088,dc0a250c61b645aaf3177dc7dbd660f40b4240b56b3ca078f85893d08f76e52c
results/processed/analysis/foundation_match.csv,foundation_match.csv,implementation or reproduction reference,522,group_type; model_key; language; condition_type; mft_foundation; matches; total; match_rate,processed analysis input or reference,used_or_audited,audited_or_comparison_only,included as canonical input or audited to establish processing provenance,47145,5aecad34b96929947fb71e63d19d53034fb9dee4a424797f82e7583cda2ba601
results/processed/analysis/foundation_transitions.csv,foundation_transitions.csv,implementation or reproduction reference,125,model_key; designed_foundation; invoked_foundation; count; row_total; row_percentage,processed analysis input or reference,used_or_audited,audited_or_comparison_only,included as canonical input or audited to establish processing provenance,6532,e988cda8b1de8f6bb4d0cc67ce60e6203c856b5dc79d2c114197f83f1de3d6ec
results/processed/phase1_final_evidence/quantitative_foundation_sensitivity.csv,quantitative_foundation_sensitivity.csv,legacy comparison output,315,analysis_version; effect_type; language; model_key; mft_foundation; mean_diff; ci_lower; ci_upper; p_value_ttest; cohens_d; n; p_value_wilcoxon; wilcoxon_nonzero_n; wilcoxon_method,legacy output,stale_or_misleading_not_used_as_canonical,audited_or_comparison_only,excluded as canonical; retained for old-versus-corrected comparison,83628,ac16a09290224491f63c45a2374efb126bacd4135210110a458da6738e33a3a0
