effect_type,language,model_key,mft_foundation,mean_diff,ci_lower,ci_upper,p_value_ttest,p_value_wilcoxon,wilcoxon_method,wilcoxon_nonzero_n,cohens_d,n
framing,hi,chatgpt,all,-0.32,-0.579298746622501,-0.06070125337749899,0.019330112430929747,0.006546442612164416,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,20,-0.3420744441976546,50
framing,bn,chatgpt,all,-0.16,-0.4475151474270529,0.12751514742705292,0.2807284780368273,0.25933662373094335,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,24,-0.15425182886154712,50
framing,ta,chatgpt,all,-0.22,-0.571017720350412,0.13101772035041195,0.2251539975587451,0.19744863235210364,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,18,-0.17372595534109278,50
framing,es,chatgpt,all,-0.28,-0.5712,0.011199999999999988,0.06542032302251632,0.047433469854676336,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,17,-0.2665248636780064,50
framing,ja,chatgpt,all,0.14,-0.07695935103147777,0.3569593510314778,0.2119422251514751,0.17071853988030128,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,14,0.17886309102154122,50
framing,ar,chatgpt,all,-0.26,-0.5951121603284488,0.07511216032844881,0.1347662148765325,0.04537176699195333,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,23,-0.21505732011603998,50
framing,all,chatgpt,all,-0.18333333333333332,-0.3034549303408356,-0.06321173632583103,0.003008076818040495,0.0005723190287905133,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,116,-0.17270932280050216,300
framing,hi,claude,all,-0.08,-0.26437526949132845,0.10437526949132843,0.39921745682950016,0.19935985120700184,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,16,-0.1202702982845162,50
framing,bn,claude,all,-0.02,-0.18317058558453478,0.1431705855845348,0.8111469462931087,1,normal approximation unavailable; variance is zero,17,-0.03397497866814031,50
framing,ta,claude,all,-0.06,-0.28685184592592583,0.16685184592592586,0.6065123735880023,0.6773916864039657,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,16,-0.073312832988532,50
framing,es,claude,all,-0.42,-0.6064892490198832,-0.2335107509801168,0.00005571086608058273,3.197442310920451e-13,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,25,-0.6242615114083112,50
framing,ja,claude,all,0.06,-0.14507013434432617,0.26507013434432614,0.5689544683559218,0.4509821842021984,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,15,0.08109982249088891,50
framing,ar,claude,all,-0.1,-0.3813965173913849,0.18139651739138488,0.48939061166994424,0.1651237038819886,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,24,-0.09850365626224088,50
