group_type,group_value,n,mean,median,standard_deviation,minimum,maximum,count_rating_1,percent_rating_1,count_rating_2,percent_rating_2,count_above_2,percent_above_2
overall,all,375,1.0,1.0,0.0,1,1,375,1.0,0,0.0,0,0.0
model,chatgpt,125,1.0,1.0,0.0,1,1,125,1.0,0,0.0,0,0.0
model,claude,125,1.0,1.0,0.0,1,1,125,1.0,0,0.0,0,0.0
model,gemini_flash,125,1.0,1.0,0.0,1,1,125,1.0,0,0.0,0,0.0
control,C01,75,1.0,1.0,0.0,1,1,75,1.0,0,0.0,0,0.0
control,C02,75,1.0,1.0,0.0,1,1,75,1.0,0,0.0,0,0.0
control,C03,75,1.0,1.0,0.0,1,1,75,1.0,0,0.0,0,0.0
control,C04,75,1.0,1.0,0.0,1,1,75,1.0,0,0.0,0,0.0
control,C05,75,1.0,1.0,0.0,1,1,75,1.0,0,0.0,0,0.0
input_language,ar,60,1.0,1.0,0.0,1,1,60,1.0,0,0.0,0,0.0
input_language,bn,60,1.0,1.0,0.0,1,1,60,1.0,0,0.0,0,0.0
input_language,en,15,1.0,1.0,0.0,1,1,15,1.0,0,0.0,0,0.0
input_language,es,60,1.0,1.0,0.0,1,1,60,1.0,0,0.0,0,0.0
input_language,hi,60,1.0,1.0,0.0,1,1,60,1.0,0,0.0,0,0.0
input_language,ja,60,1.0,1.0,0.0,1,1,60,1.0,0,0.0,0,0.0
input_language,ta,60,1.0,1.0,0.0,1,1,60,1.0,0,0.0,0,0.0
response_language,ar,30,1.0,1.0,0.0,1,1,30,1.0,0,0.0,0,0.0
response_language,bn,30,1.0,1.0,0.0,1,1,30,1.0,0,0.0,0,0.0
response_language,en,195,1.0,1.0,0.0,1,1,195,1.0,0,0.0,0,0.0
response_language,es,30,1.0,1.0,0.0,1,1,30,1.0,0,0.0,0,0.0
response_language,hi,30,1.0,1.0,0.0,1,1,30,1.0,0,0.0,0,0.0
response_language,ja,30,1.0,1.0,0.0,1,1,30,1.0,0,0.0,0,0.0
response_language,ta,30,1.0,1.0,0.0,1,1,30,1.0,0,0.0,0,0.0
scenario_version,adapted,180,1.0,1.0,0.0,1,1,180,1.0,0,0.0,0,0.0
scenario_version,baseline,15,1.0,1.0,0.0,1,1,15,1.0,0,0.0,0,0.0
scenario_version,literal,180,1.0,1.0,0.0,1,1,180,1.0,0,0.0,0,0.0
condition_type,adapted_response_en,90,1.0,1.0,0.0,1,1,90,1.0,0,0.0,0,0.0
condition_type,adapted_response_same_language,90,1.0,1.0,0.0,1,1,90,1.0,0,0.0,0,0.0
condition_type,en_en,15,1.0,1.0,0.0,1,1,15,1.0,0,0.0,0,0.0
condition_type,literal_response_en,90,1.0,1.0,0.0,1,1,90,1.0,0,0.0,0,0.0
condition_type,literal_response_same_language,90,1.0,1.0,0.0,1,1,90,1.0,0,0.0,0,0.0
