modelKey,effect,lang,comparison,n,mean,sd,standardError,ci95,meanDifference,t,degreesFreedom,effectSize
chatgpt,language,hi,hi translation with English reasoning - English baseline,25,0.04,0.7348469228349533,0.14696938456699066,-0.2480599937513017|0.3280599937513017,0.04,0.27216552697590873,24,0.054433105395181744
chatgpt,framing,hi,"hi adapted - hi translation, same reasoning language",50,-0.22,0.5816935163286382,0.08226388599364555,-0.3812372165475453|-0.058762783452454725,-0.22,-2.674320539841673,49,-0.37820603775770306
chatgpt,reasoning,hi,"hi reasoning - English reasoning, same hi input",50,0.1,0.5439837932759934,0.0769309258162072,-0.050784614599766104|0.2507846145997661,0.1,1.2998673672393632,49,0.1838290060036116
chatgpt,language,bn,bn translation with English reasoning - English baseline,25,0.12,0.725718035235908,0.1451436070471816,-0.1644814698124759|0.4044814698124759,0.12,0.8267673819143256,24,0.16535347638286513
chatgpt,framing,bn,"bn adapted - bn translation, same reasoning language",50,-0.06,0.6197431989566818,0.08764492371530268,-0.23178405048199324|0.11178405048199325,-0.06,-0.6845804349707487,49,-0.09681429356709055
chatgpt,reasoning,bn,"bn reasoning - English reasoning, same bn input",50,0.1,0.5439837932759934,0.0769309258162072,-0.050784614599766104|0.2507846145997661,0.1,1.2998673672393632,49,0.1838290060036116
chatgpt,language,ta,ta translation with English reasoning - English baseline,25,-0.12,0.725718035235908,0.1451436070471816,-0.4044814698124759|0.1644814698124759,-0.12,-0.8267673819143256,24,-0.16535347638286513
chatgpt,framing,ta,"ta adapted - ta translation, same reasoning language",50,-0.12,0.4351870346207949,0.06154474065296578,-0.2406276916798129|0.0006276916798129278,-0.12,-1.949801050859044,49,-0.2757435090054173
chatgpt,reasoning,ta,"ta reasoning - English reasoning, same ta input",50,0.28,0.5728553615932406,0.08101398216433042,0.1212125949579124|0.4387874050420877,0.28,3.456193517707132,49,0.4887795746927402
chatgpt,language,es,es translation with English reasoning - English baseline,25,0.16,0.6244997998398398,0.12489995996796796,-0.08480392153721719|0.4048039215372172,0.16,1.281025230440697,24,0.25620504608813943
chatgpt,framing,es,"es adapted - es translation, same reasoning language",50,-0.4,0.8329931278350429,0.11780301787479029,-0.630893915034589|-0.16910608496541105,-0.4,-3.3954987505086622,49,-0.4801960383990248
chatgpt,reasoning,es,"es reasoning - English reasoning, same es input",50,0.04,0.5329930887479322,0.07537660547584524,-0.10773814673265666|0.18773814673265668,0.04,0.5306686305052325,49,0.07504787743864566
chatgpt,language,ja,ja translation with English reasoning - English baseline,25,0.04,0.6757711644237764,0.13515423288475528,-0.22490229645412033|0.3049022964541203,0.04,0.29595817420019405,24,0.059191634840038816
chatgpt,framing,ja,"ja adapted - ja translation, same reasoning language",50,-0.12,0.7730142433410674,0.10932072268405134,-0.3342686164607406|0.09426861646074061,-0.12,-1.0976875843275653,49,-0.15523646690046033
chatgpt,reasoning,ja,"ja reasoning - English reasoning, same ja input",50,0.16,0.46773444410699716,0.06614763944451557,0.030350626688749494|0.2896493733112505,0.16,2.4188315916278085,49,0.3420744441976546
