grouping,group_value,work_units,item_accuracy,scenario_4_of_4_accuracy
model_key,chatgpt,240,0.9385416666666667,0.775
model_key,claude,240,0.9729166666666667,0.8916666666666667
model_key,gemini_flash,240,0.9791666666666666,0.9166666666666666
input_language,ar,120,0.9645833333333333,0.8583333333333333
input_language,bn,120,0.9520833333333333,0.8166666666666667
input_language,es,120,0.9645833333333333,0.8583333333333333
input_language,hi,120,0.9770833333333333,0.9083333333333333
input_language,ja,120,0.96875,0.8916666666666667
input_language,ta,120,0.9541666666666667,0.8333333333333334
scenario_version,adapted,360,0.9673611111111111,0.875
scenario_version,literal,360,0.9597222222222223,0.8472222222222222
foundation,Authority/Subversion,144,0.9756944444444444,0.9027777777777778
foundation,Care/Harm,144,0.9583333333333334,0.8680555555555556
foundation,Fairness/Cheating,144,0.8975694444444444,0.5902777777777778
foundation,Loyalty/Betrayal,144,0.9982638888888888,0.9930555555555556
foundation,Sanctity/Degradation,144,0.9878472222222222,0.9513888888888888
shift_tier,high,360,0.9430555555555555,0.7861111111111111
shift_tier,low,360,0.9840277777777777,0.9361111111111111
model_key+input_language,chatgpt|ar,40,0.95,0.8
model_key+input_language,chatgpt|bn,40,0.91875,0.7
model_key+input_language,chatgpt|es,40,0.95625,0.825
model_key+input_language,chatgpt|hi,40,0.95625,0.825
model_key+input_language,chatgpt|ja,40,0.94375,0.825
model_key+input_language,chatgpt|ta,40,0.90625,0.675
model_key+input_language,claude|ar,40,0.96875,0.875
model_key+input_language,claude|bn,40,0.9625,0.85
model_key+input_language,claude|es,40,0.96875,0.875
model_key+input_language,claude|hi,40,0.99375,0.975
model_key+input_language,claude|ja,40,0.975,0.9
model_key+input_language,claude|ta,40,0.96875,0.875
model_key+input_language,gemini_flash|ar,40,0.975,0.9
model_key+input_language,gemini_flash|bn,40,0.975,0.9
model_key+input_language,gemini_flash|es,40,0.96875,0.875
model_key+input_language,gemini_flash|hi,40,0.98125,0.925
model_key+input_language,gemini_flash|ja,40,0.9875,0.95
model_key+input_language,gemini_flash|ta,40,0.9875,0.95
model_key+scenario_version,chatgpt|adapted,120,0.9416666666666667,0.7833333333333333
model_key+scenario_version,chatgpt|literal,120,0.9354166666666667,0.7666666666666667
model_key+scenario_version,claude|adapted,120,0.9791666666666666,0.9166666666666666
model_key+scenario_version,claude|literal,120,0.9666666666666667,0.8666666666666667
model_key+scenario_version,gemini_flash|adapted,120,0.98125,0.925
model_key+scenario_version,gemini_flash|literal,120,0.9770833333333333,0.9083333333333333
model_key+shift_tier,chatgpt|high,120,0.9083333333333333,0.675
model_key+shift_tier,chatgpt|low,120,0.96875,0.875
model_key+shift_tier,claude|high,120,0.9604166666666667,0.8416666666666667
model_key+shift_tier,claude|low,120,0.9854166666666667,0.9416666666666667
model_key+shift_tier,gemini_flash|high,120,0.9604166666666667,0.8416666666666667
model_key+shift_tier,gemini_flash|low,120,0.9979166666666667,0.9916666666666667
