analysis_version,group_type,group_value,matches,total,match_rate,response_label_provenance
human_scenario_majority,overall,all,716,1000,0.716,dual LLM coding with manual adjudication
human_scenario_majority,foundation,Care/Harm,201,300,0.67,dual LLM coding with manual adjudication
human_scenario_majority,foundation,Loyalty/Betrayal,200,200,1,dual LLM coding with manual adjudication
human_scenario_majority,foundation,Authority/Subversion,0,100,0,dual LLM coding with manual adjudication
human_scenario_majority,foundation,Fairness/Cheating,199,200,0.995,dual LLM coding with manual adjudication
human_scenario_majority,foundation,Sanctity/Degradation,116,200,0.58,dual LLM coding with manual adjudication
human_scenario_majority,scenario,S01,100,100,1,dual LLM coding with manual adjudication
human_scenario_majority,scenario,S06,100,100,1,dual LLM coding with manual adjudication
human_scenario_majority,scenario,S11,1,100,0.01,dual LLM coding with manual adjudication
human_scenario_majority,scenario,S16,100,100,1,dual LLM coding with manual adjudication
human_scenario_majority,scenario,S21,100,100,1,dual LLM coding with manual adjudication
human_scenario_majority,scenario,S26,100,100,1,dual LLM coding with manual adjudication
human_scenario_majority,scenario,S28,99,100,0.99,dual LLM coding with manual adjudication
human_scenario_majority,scenario,S29,100,100,1,dual LLM coding with manual adjudication
human_scenario_majority,scenario,S30,0,100,0,dual LLM coding with manual adjudication
human_scenario_majority,scenario,S34,16,100,0.16,dual LLM coding with manual adjudication
human_scenario_majority,model,chatgpt,178,250,0.712,dual LLM coding with manual adjudication
human_scenario_majority,model,claude,178,250,0.712,dual LLM coding with manual adjudication
human_scenario_majority,model,gemini_flash,179,250,0.716,dual LLM coding with manual adjudication
human_scenario_majority,model,gemini_pro,181,250,0.724,dual LLM coding with manual adjudication
human_scenario_majority,language,ar,113,160,0.70625,dual LLM coding with manual adjudication
human_scenario_majority,language,bn,113,160,0.70625,dual LLM coding with manual adjudication
human_scenario_majority,language,en,28,40,0.7,dual LLM coding with manual adjudication
human_scenario_majority,language,es,113,160,0.70625,dual LLM coding with manual adjudication
human_scenario_majority,language,hi,117,160,0.73125,dual LLM coding with manual adjudication
human_scenario_majority,language,ja,116,160,0.725,dual LLM coding with manual adjudication
human_scenario_majority,language,ta,116,160,0.725,dual LLM coding with manual adjudication
