group_type,group_value,total_rating_work_units,outputs_requiring_workunit_retry_attemptCount_gt_1,malformed_after_retries_or_error,missing_null_ratings_final
overall,all,5000,28,0,0
model,chatgpt,1250,0,0,0
model,claude,1250,1,0,0
model,gemini_flash,1250,25,0,0
model,gemini_pro,1250,2,0,0
language,ar,800,1,0,0
language,bn,800,0,0,0
language,en,200,25,0,0
language,es,800,0,0,0
language,hi,800,0,0,0
language,ja,800,0,0,0
language,ta,800,2,0,0
condition_type,adapted_reason_en,1200,0,0,0
condition_type,adapted_reason_l2,1200,1,0,0
condition_type,en_en,200,25,0,0
condition_type,translation_reason_en,1200,1,0,0
condition_type,translation_reason_l2,1200,1,0,0
