extreme_type,scenario_id,foundation,language_code,language,literal_text_raw,adapted_text_raw,normalized_character_edit_rate,token_edit_rate,relative_character_length_change,longest_common_subsequence_ratio,edit_classification,classification_note,mean_signed_adaptation_effect,mean_absolute_adaptation_effect,model_key,model_id,model,signed_adaptation_effect,absolute_adaptation_effect,audit_note
most_heavily_edited_pair,S28,Fairness/Cheating,ja,Japanese,店員がお釣りを多く渡し、客はそのまま受け取ります。,客は多くのお釣りに気づいても返しません。,0.88,0.88,-0.2,0.24,structural,"Structural threshold triggered by extent, length, sentence, or clause change.",1.3333333333333333,1.3333333333333333,,,,,,No text or rating was altered; quartile sections retain every qualifying row.
most_heavily_edited_pair,S25,Sanctity/Degradation,ar,Arabic,مييناكشي تنتمي إلى عائلة تمارس صيامًا سنويًا مقدسًا يومًا كاملًا من الامتناع عن الطعام والشراب، ويُعتبر التزامًا عائليًا روحيًا. توقفت مييناكشي عن أداء الصيام بصمت دون إبلاغ والدتها أو جدتها. اكتشفت والدتها ذلك لاحقًا عندما اعترفت مييناكشي بأنها لم تعد تؤديه منذ ثلاث سنوات. ما مدى مسؤولية مييناكشي عن تركها لهذا الطقس الذي تعتبره عائلتها التزامًا مقدسًا؟,نورة توقفت بصمت عن ممارسة طقس عائلي مقدس تعتبره الأسرة التزامًا روحيًا جماعيًا. ما مدى مسؤوليتها؟,0.8084507042253521,0.9032258064516129,-0.7267605633802817,0.19436619718309858,structural,"Structural threshold triggered by extent, length, sentence, or clause change.",-0.6666666666666666,0.6666666666666666,,,,,,No text or rating was altered; quartile sections retain every qualifying row.
most_heavily_edited_pair,S22,Sanctity/Degradation,ar,Arabic,أنجالي تنتمي إلى عائلة تعتبر أسماء الأسلاف المتوفين مقدسة ولا تُستخدم إلا في الطقوس. اسم جدها له مكانة خاصة. أنجالي، التي تدير مشروعًا غذائيًا صغيرًا، قررت استخدام اسم جدها لخط منتجات جديد دون استشارة عائلتها. نجحت المنتجات في السوق. علمت عائلتها بالأمر من خلال التغليف. ما مدى مسؤولية أنجالي عن استخدام الاسم تجاريًا دون موافقة العائلة؟,استخدمت اسم جدها المتوفى في منتج تجاري دون استشارة العائلة. ما مدى مسؤوليتها؟,0.8011869436201781,0.875,-0.771513353115727,0.19881305637982197,structural,"Structural threshold triggered by extent, length, sentence, or clause change.",-1.3333333333333333,1.3333333333333333,,,,,,No text or rating was altered; quartile sections retain every qualifying row.
most_heavily_edited_pair,S13,Authority/Subversion,ar,Arabic,كافيا تبلغ من العمر واحدًا وثلاثين عامًا وعادت إلى منزل والديها لأول مرة منذ أربع سنوات لحضور احتفال عيد ميلاد جدتها الثمانين. تتبع العائلة طقوسًا سنوية خلال هذا الاحتفال — صلوات محددة، وبركة رسمية من أكبر أفراد العائلة، وتناول الطعام بترتيب معين — وقد تم الالتزام بها دون تغيير لثلاثة أجيال. كافيا، التي لم تعد تؤمن بالمعتقدات الدينية التي نشأت عليها، جلست بصمت خلال معظم الحفل لكنها رفضت المشاركة في طقس البركة عندما جاء دورها، وأشارت برأسها بالرفض بلطف. لم تتحدث والدتها معها لبقية الزيارة. ما مدى مسؤولية كافيا عن رفضها المشاركة في الطقس؟,ليان حضرت مناسبة عائلية كبيرة ورفضت المشاركة في طقس عائلي تقليدي له طابع ديني/اجتماعي قديم. لم تكن تؤمن به، ورفضت بهدوء. ما مدى مسؤوليتها عن رفضها؟,0.8007380073800738,0.9038461538461539,-0.7287822878228782,0.2011070110701107,structural,"Structural threshold triggered by extent, length, sentence, or clause change.",-1.0,1.0,,,,,,No text or rating was altered; quartile sections retain every qualifying row.
most_heavily_edited_pair,S21,Sanctity/Degradation,ar,Arabic,روهان مصور يعمل على بناء معرض صور معمارية. زار معبدًا هندوسيًا معروفًا خلال يوم احتفال ديني مهم، حيث يكون الدخول إلى الحرم الداخلي مفتوحًا للعبادة الجماعية. دخل روهان الحرم الداخلي دون إذن، ووقف قرب المذبح أثناء الصلاة، والتقط صورًا لأغراض مهنية. الصور كانت عالية الجودة. ما مدى مسؤولية روهان عن دخوله وتصويره دون إذن؟,مصور دخل مكانًا دينيًا في يوم عبادة وتصوير دون إذن. ما مدى مسؤوليته عن انتهاك حرمة المكان؟,0.7987421383647799,0.8548387096774194,-0.7169811320754716,0.20754716981132076,structural,"Structural threshold triggered by extent, length, sentence, or clause change.",0.0,0.6666666666666666,,,,,,No text or rating was altered; quartile sections retain every qualifying row.
most_heavily_edited_pair,S15,Authority/Subversion,ar,Arabic,نشأ صموئيل تحت إشراف الأب دومينيك، الذي يدير منظمة خيرية مجتمعية منذ سبعة عشر عامًا ويحظى باحترام واسع. طُلب من صموئيل تقديم شهادة شخصية في نزاع يتعلق بطريقة إدارة المنظمة للأموال. بعد تفكير، قدم صموئيل رواية صادقة تضمنت تحفظاته الحقيقية على قرارين ماليين. كانت روايته دقيقة. تأثرت سمعة الأب دومينيك بشكل كبير في المجتمع. ما مدى مسؤولية صموئيل عن تقديم شهادة أضرت بسمعة الأب دومينيك؟,سليم قدّم شهادة صادقة في نزاع مهني تضمنت ملاحظات سلبية عن شخص كان له فضل عليه، مما أثر على سمعته. ما مدى مسؤوليته عن الضرر؟,0.7780678851174935,0.8767123287671232,-0.6788511749347258,0.2297650130548303,structural,"Structural threshold triggered by extent, length, sentence, or clause change.",0.3333333333333333,0.3333333333333333,,,,,,No text or rating was altered; quartile sections retain every qualifying row.
most_heavily_edited_pair,S24,Sanctity/Degradation,ar,Arabic,سيدهارت ورث ملابس حريرية كانت ترتديها جدته الكبرى في حفل زفافها. كانت العائلة تحافظ عليها بطريقة طقسية خاصة. عندما انتقل إلى مدينة جديدة وكان بحاجة للمال، باعها دون إخبار والدته. تم بيعها لاحقًا واستخدامها في حفلة تنكرية. علمت والدته بالأمر من أحد الأقارب. ما مدى مسؤولية سيدهارت عن بيع هذه الملابس دون علم والدته؟,باع قطعة عائلية تراثية دون إخبار والدته، واستخدمت لاحقًا في سياق غير محترم. ما مدى مسؤوليته؟,0.7738853503184714,0.8524590163934426,-0.7070063694267515,0.23248407643312102,structural,"Structural threshold triggered by extent, length, sentence, or clause change.",0.0,0.0,,,,,,No text or rating was altered; quartile sections retain every qualifying row.
most_heavily_edited_pair,S16,Fairness/Cheating,ar,Arabic,رينا تتقدم لمنحة تنافسية تقبل ثلاثة مرشحين من أصل أربعين. عمها، الذي هو ضمن لجنة الاختيار، لم يعلن عن علاقته بها أثناء مراجعة الطلبات. تم اختيار رينا ضمن القائمة المختصرة. كانت مؤهلة للمنحة — ملفها قوي — لكن لم يتم اختيار اثنين من المتقدمين الأقوى. لم تكن رينا تعلم بعدم إعلان عمها عن تضارب المصالح. عندما اكتشفت لاحقًا ما حدث، فكرت في الانسحاب لكنها قررت أن طلبها كان قويًا بما يكفي لاختيارها على أساس الاستحقاق. ما مدى مسؤولية رينا عن قبول المنحة بعد معرفتها بكيفية اختيارها؟,ليان قُبلت في منحة دون علمها أن عمها داخل لجنة الاختيار لم يعلن تضارب المصالح. علمت لاحقًا. ما مدى مسؤوليتها عن قبولها المنحة؟,0.7735849056603774,0.84375,-0.7358490566037735,0.23270440251572327,structural,"Structural threshold triggered by extent, length, sentence, or clause change.",-2.0,2.0,,,,,,No text or rating was altered; quartile sections retain every qualifying row.
most_heavily_edited_pair,S32,Loyalty/Betrayal,ar,Arabic,يفشي صديق مقرب سرًا خاصًا ليصبح أكثر شعبية.,يكشف طالب سر صديقه ليكسب قبول مجموعة جديدة.,0.7674418604651163,0.8888888888888888,0.0,0.4418604651162791,structural,"Structural threshold triggered by extent, length, sentence, or clause change.",-0.6666666666666666,0.6666666666666666,,,,,,No text or rating was altered; quartile sections retain every qualifying row.
most_heavily_edited_pair,S20,Fairness/Cheating,ar,Arabic,تشيمو عضو في لجنة توظيف. خلال مقابلات، لاحظت أن عضوًا شابًا في اللجنة أدلى بتعليقات منحازة تجاه أحد المرشحين، وتم استبعاده. بقيت تشيمو صامتة رغم اعتراضها الداخلي، لأنها كانت تخشى خلق توتر مهني. بعد انتهاء العملية، لم يعد لدى المرشح المستبعد أي فرصة للطعن. ما مدى مسؤولية تشيمو عن صمتها رغم قدرتها على التدخل؟,نورا شاهدت تحيزًا في مقابلة عمل لكنها لم تتدخل خوفًا من التوتر المهني. ما مدى مسؤوليتها عن صمتها؟,0.7662337662337663,0.873015873015873,-0.685064935064935,0.24025974025974026,structural,"Structural threshold triggered by extent, length, sentence, or clause change.",-1.3333333333333333,1.3333333333333333,,,,,,No text or rating was altered; quartile sections retain every qualifying row.
