model_key,designed_foundation,Care/Harm,Loyalty/Betrayal,Authority/Subversion,Fairness/Cheating,Sanctity/Degradation
chatgpt,Care/Harm,50,0,0,0,0
chatgpt,Loyalty/Betrayal,0,50,0,0,0
chatgpt,Authority/Subversion,26,21,3,0,0
chatgpt,Fairness/Cheating,0,0,0,50,0
chatgpt,Sanctity/Degradation,23,0,0,0,27
claude,Care/Harm,50,0,0,0,0
claude,Loyalty/Betrayal,0,50,0,0,0
claude,Authority/Subversion,25,21,4,0,0
claude,Fairness/Cheating,0,0,0,50,0
claude,Sanctity/Degradation,22,0,0,0,28
gemini_flash,Care/Harm,50,0,0,0,0
gemini_flash,Loyalty/Betrayal,0,50,0,0,0
gemini_flash,Authority/Subversion,25,23,2,0,0
gemini_flash,Fairness/Cheating,1,0,0,49,0
gemini_flash,Sanctity/Degradation,20,0,0,0,30
gemini_pro,Care/Harm,50,0,0,0,0
gemini_pro,Loyalty/Betrayal,0,50,0,0,0
gemini_pro,Authority/Subversion,25,21,4,0,0
gemini_pro,Fairness/Cheating,0,0,0,50,0
gemini_pro,Sanctity/Degradation,19,0,0,0,31
all,Care/Harm,200,0,0,0,0
all,Loyalty/Betrayal,0,200,0,0,0
all,Authority/Subversion,101,86,13,0,0
all,Fairness/Cheating,1,0,0,199,0
all,Sanctity/Degradation,84,0,0,0,116
