analysis_version,group_type,group_value,matches,total,match_rate,response_label_provenance
intended,overall,all,728,1000,0.728,dual LLM coding with manual adjudication
intended,foundation,Care/Harm,200,200,1,dual LLM coding with manual adjudication
intended,foundation,Loyalty/Betrayal,200,200,1,dual LLM coding with manual adjudication
intended,foundation,Authority/Subversion,13,200,0.065,dual LLM coding with manual adjudication
intended,foundation,Fairness/Cheating,199,200,0.995,dual LLM coding with manual adjudication
intended,foundation,Sanctity/Degradation,116,200,0.58,dual LLM coding with manual adjudication
intended,scenario,S01,100,100,1,dual LLM coding with manual adjudication
intended,scenario,S06,100,100,1,dual LLM coding with manual adjudication
intended,scenario,S11,13,100,0.13,dual LLM coding with manual adjudication
intended,scenario,S16,100,100,1,dual LLM coding with manual adjudication
intended,scenario,S21,100,100,1,dual LLM coding with manual adjudication
intended,scenario,S26,100,100,1,dual LLM coding with manual adjudication
intended,scenario,S28,99,100,0.99,dual LLM coding with manual adjudication
intended,scenario,S29,100,100,1,dual LLM coding with manual adjudication
intended,scenario,S30,0,100,0,dual LLM coding with manual adjudication
intended,scenario,S34,16,100,0.16,dual LLM coding with manual adjudication
intended,model,chatgpt,180,250,0.72,dual LLM coding with manual adjudication
intended,model,claude,182,250,0.728,dual LLM coding with manual adjudication
intended,model,gemini_flash,181,250,0.724,dual LLM coding with manual adjudication
intended,model,gemini_pro,185,250,0.74,dual LLM coding with manual adjudication
intended,language,ar,116,160,0.725,dual LLM coding with manual adjudication
intended,language,bn,114,160,0.7125,dual LLM coding with manual adjudication
intended,language,en,28,40,0.7,dual LLM coding with manual adjudication
intended,language,es,114,160,0.7125,dual LLM coding with manual adjudication
intended,language,hi,118,160,0.7375,dual LLM coding with manual adjudication
intended,language,ja,119,160,0.74375,dual LLM coding with manual adjudication
intended,language,ta,119,160,0.74375,dual LLM coding with manual adjudication
