work_unit_id,scenario_id,foundation,shift_tier,model_key,model_id,input_language,scenario_version,expected_questions,question_ids,answer_key,temperature,max_tokens,reasoning_effort,full_prompt,run_status,raw_response,parsed_answers,correct_count_0_4,actor_correct,action_correct,affected_correct,consequence_correct,prompt_tokens,completion_tokens,total_tokens,cost_usd,error_note
S02__hi__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,4,"S02_Q1,S02_Q2,S02_Q3,S02_Q4","D,A,B,C",0,24,,"डेविड एक पार्क में टहल रहा था जब उसने देखा कि एक छोटा बच्चा पास के एक उथले सजावटी तालाब में गिर गया और संघर्ष करने लगा। तालाब एक मीटर से भी कम गहरा था। डेविड शारीरिक रूप से सक्षम था, रास्ता खाली था और आस-पास कोई नहीं था। उसने एक पल रुककर देखा, यह सोचकर कि मीटिंग से पहले कपड़े गीले हो जाएँगे, और आगे चला गया। दो मिनट बाद एक माली ने बच्चे को निकाला — वह डरा हुआ और सहमा हुआ था। डेविड को नहीं पता था कि बच्चे को इतनी जल्दी कोई मिल जाएगा।
डेविड बच्चे को ख़तरे में डालने के लिए कितना दोषी है?

1. एक पार्क तालाब के किनारे की घटना से संबंधित परिदृश्य में, केंद्रीय कार्रवाई किसने की?
A. माली
B. बच्चा
C. एक अभिभावक
D. राहगीर जिसने संघर्षरत बच्चे को देखा

2. पार्क तालाब के किनारे एक घटना से संबंधित परिदृश्य में, क्या केंद्रीय कार्रवाई की गई?
A. वह चला गया क्योंकि वह नहीं चाहता था कि उसके कपड़े गीले हों
B. वह तुरंत तालाब में प्रवेश कर गया
C. उन्होंने जाने से पहले माली को बुलाया
D. वह बच्चे को एक क्लिनिक में ले गया

3. एक पार्क तालाब के किनारे हुई घटना से संबंधित परिदृश्य में, कौन या क्या सीधे प्रभावित हुआ था?
A. माली के उपकरण
B. उथले तालाब में संघर्ष कर रहा बच्चा
C. बैठक आयोजक
D. एक नजदीकी परिवार

4. पार्क तालाब के किनारे एक घटना से संबंधित परिदृश्य में, क्या परिणाम या परिणाम स्पष्ट रूप से कहा गया है?
A. बच्चा किसी के आने से पहले ही बाहर निकल गया
B. राहगीर अपनी बैठक से चूक गया
C. एक माली को दो मिनट बाद बच्चा मिला, वह हिल गया था और डरा हुआ था
D. तालाब को स्थायी रूप से बंद कर दिया गया

केवल विकल्प अक्षरों का उपयोग करके सभी चार प्रश्नों के उत्तर दें। अल्पविराम से अलग किए गए ठीक चार अक्षर लौटाएं, उदाहरण के लिए: ए, बी, सी, डी। स्पष्टीकरण न जोड़ें.",pending,,,,,,,,,,,,
S02__hi__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,literal,4,"S02_Q1,S02_Q2,S02_Q3,S02_Q4","D,A,B,C",0,24,,"डेविड एक पार्क में टहल रहा था जब उसने देखा कि एक छोटा बच्चा पास के एक उथले सजावटी तालाब में गिर गया और संघर्ष करने लगा। तालाब एक मीटर से भी कम गहरा था। डेविड शारीरिक रूप से सक्षम था, रास्ता खाली था और आस-पास कोई नहीं था। उसने एक पल रुककर देखा, यह सोचकर कि मीटिंग से पहले कपड़े गीले हो जाएँगे, और आगे चला गया। दो मिनट बाद एक माली ने बच्चे को निकाला — वह डरा हुआ और सहमा हुआ था। डेविड को नहीं पता था कि बच्चे को इतनी जल्दी कोई मिल जाएगा।
डेविड बच्चे को ख़तरे में डालने के लिए कितना दोषी है?

1. एक पार्क तालाब के किनारे की घटना से संबंधित परिदृश्य में, केंद्रीय कार्रवाई किसने की?
A. माली
B. बच्चा
C. एक अभिभावक
D. राहगीर जिसने संघर्षरत बच्चे को देखा

2. पार्क तालाब के किनारे एक घटना से संबंधित परिदृश्य में, क्या केंद्रीय कार्रवाई की गई?
A. वह चला गया क्योंकि वह नहीं चाहता था कि उसके कपड़े गीले हों
B. वह तुरंत तालाब में प्रवेश कर गया
C. उन्होंने जाने से पहले माली को बुलाया
D. वह बच्चे को एक क्लिनिक में ले गया

3. एक पार्क तालाब के किनारे हुई घटना से संबंधित परिदृश्य में, कौन या क्या सीधे प्रभावित हुआ था?
A. माली के उपकरण
B. उथले तालाब में संघर्ष कर रहा बच्चा
C. बैठक आयोजक
D. एक नजदीकी परिवार

4. पार्क तालाब के किनारे एक घटना से संबंधित परिदृश्य में, क्या परिणाम या परिणाम स्पष्ट रूप से कहा गया है?
A. बच्चा किसी के आने से पहले ही बाहर निकल गया
B. राहगीर अपनी बैठक से चूक गया
C. एक माली को दो मिनट बाद बच्चा मिला, वह हिल गया था और डरा हुआ था
D. तालाब को स्थायी रूप से बंद कर दिया गया

केवल विकल्प अक्षरों का उपयोग करके सभी चार प्रश्नों के उत्तर दें। अल्पविराम से अलग किए गए ठीक चार अक्षर लौटाएं, उदाहरण के लिए: ए, बी, सी, डी। स्पष्टीकरण न जोड़ें.",pending,,,,,,,,,,,,
S02__hi__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,literal,4,"S02_Q1,S02_Q2,S02_Q3,S02_Q4","D,A,B,C",0,24,minimal,"डेविड एक पार्क में टहल रहा था जब उसने देखा कि एक छोटा बच्चा पास के एक उथले सजावटी तालाब में गिर गया और संघर्ष करने लगा। तालाब एक मीटर से भी कम गहरा था। डेविड शारीरिक रूप से सक्षम था, रास्ता खाली था और आस-पास कोई नहीं था। उसने एक पल रुककर देखा, यह सोचकर कि मीटिंग से पहले कपड़े गीले हो जाएँगे, और आगे चला गया। दो मिनट बाद एक माली ने बच्चे को निकाला — वह डरा हुआ और सहमा हुआ था। डेविड को नहीं पता था कि बच्चे को इतनी जल्दी कोई मिल जाएगा।
डेविड बच्चे को ख़तरे में डालने के लिए कितना दोषी है?

1. एक पार्क तालाब के किनारे की घटना से संबंधित परिदृश्य में, केंद्रीय कार्रवाई किसने की?
A. माली
B. बच्चा
C. एक अभिभावक
D. राहगीर जिसने संघर्षरत बच्चे को देखा

2. पार्क तालाब के किनारे एक घटना से संबंधित परिदृश्य में, क्या केंद्रीय कार्रवाई की गई?
A. वह चला गया क्योंकि वह नहीं चाहता था कि उसके कपड़े गीले हों
B. वह तुरंत तालाब में प्रवेश कर गया
C. उन्होंने जाने से पहले माली को बुलाया
D. वह बच्चे को एक क्लिनिक में ले गया

3. एक पार्क तालाब के किनारे हुई घटना से संबंधित परिदृश्य में, कौन या क्या सीधे प्रभावित हुआ था?
A. माली के उपकरण
B. उथले तालाब में संघर्ष कर रहा बच्चा
C. बैठक आयोजक
D. एक नजदीकी परिवार

4. पार्क तालाब के किनारे एक घटना से संबंधित परिदृश्य में, क्या परिणाम या परिणाम स्पष्ट रूप से कहा गया है?
A. बच्चा किसी के आने से पहले ही बाहर निकल गया
B. राहगीर अपनी बैठक से चूक गया
C. एक माली को दो मिनट बाद बच्चा मिला, वह हिल गया था और डरा हुआ था
D. तालाब को स्थायी रूप से बंद कर दिया गया

केवल विकल्प अक्षरों का उपयोग करके सभी चार प्रश्नों के उत्तर दें। अल्पविराम से अलग किए गए ठीक चार अक्षर लौटाएं, उदाहरण के लिए: ए, बी, सी, डी। स्पष्टीकरण न जोड़ें.",pending,,,,,,,,,,,,
S02__hi__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,4,"S02_Q1,S02_Q2,S02_Q3,S02_Q4","D,A,B,C",0,24,,"संजय एक शाम मोहल्ले के पास बने एक छोटे तालाब के किनारे से गुज़र रहा था जब उसने देखा कि एक छोटा बच्चा तालाब में गिर गया और हाथ-पाँव मारने लगा। तालाब उथला था — घुटनों तक भी नहीं। संजय तैरना जानता था, कोई और पास नहीं था और रास्ता खाली था। उसने एक पल रुककर देखा, यह सोचकर कि वह साफ़ कपड़े पहनकर निकला है और पंचायत की बैठक में जाना है, और आगे बढ़ गया। कुछ देर बाद एक राहगीर ने बच्चे को निकाला — वह डरा हुआ और सहमा हुआ था। संजय को नहीं पता था कि कोई इतनी जल्दी आ जाएगा।
संजय बच्चे को ख़तरे में छोड़ने के लिए कितना दोषी है?

1. एक पार्क तालाब के किनारे की घटना से संबंधित परिदृश्य में, केंद्रीय कार्रवाई किसने की?
A. माली
B. बच्चा
C. एक अभिभावक
D. राहगीर जिसने संघर्षरत बच्चे को देखा

2. पार्क तालाब के किनारे एक घटना से संबंधित परिदृश्य में, क्या केंद्रीय कार्रवाई की गई?
A. वह चला गया क्योंकि वह नहीं चाहता था कि उसके कपड़े गीले हों
B. वह तुरंत तालाब में प्रवेश कर गया
C. उन्होंने जाने से पहले माली को बुलाया
D. वह बच्चे को एक क्लिनिक में ले गया

3. एक पार्क तालाब के किनारे हुई घटना से संबंधित परिदृश्य में, कौन या क्या सीधे प्रभावित हुआ था?
A. माली के उपकरण
B. उथले तालाब में संघर्ष कर रहा बच्चा
C. बैठक आयोजक
D. एक नजदीकी परिवार

4. पार्क तालाब के किनारे एक घटना से संबंधित परिदृश्य में, क्या परिणाम या परिणाम स्पष्ट रूप से कहा गया है?
A. बच्चा किसी के आने से पहले ही बाहर निकल गया
B. राहगीर अपनी बैठक से चूक गया
C. एक माली को दो मिनट बाद बच्चा मिला, वह हिल गया था और डरा हुआ था
D. तालाब को स्थायी रूप से बंद कर दिया गया

केवल विकल्प अक्षरों का उपयोग करके सभी चार प्रश्नों के उत्तर दें। अल्पविराम से अलग किए गए ठीक चार अक्षर लौटाएं, उदाहरण के लिए: ए, बी, सी, डी। स्पष्टीकरण न जोड़ें.",pending,,,,,,,,,,,,
S02__hi__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,4,"S02_Q1,S02_Q2,S02_Q3,S02_Q4","D,A,B,C",0,24,,"संजय एक शाम मोहल्ले के पास बने एक छोटे तालाब के किनारे से गुज़र रहा था जब उसने देखा कि एक छोटा बच्चा तालाब में गिर गया और हाथ-पाँव मारने लगा। तालाब उथला था — घुटनों तक भी नहीं। संजय तैरना जानता था, कोई और पास नहीं था और रास्ता खाली था। उसने एक पल रुककर देखा, यह सोचकर कि वह साफ़ कपड़े पहनकर निकला है और पंचायत की बैठक में जाना है, और आगे बढ़ गया। कुछ देर बाद एक राहगीर ने बच्चे को निकाला — वह डरा हुआ और सहमा हुआ था। संजय को नहीं पता था कि कोई इतनी जल्दी आ जाएगा।
संजय बच्चे को ख़तरे में छोड़ने के लिए कितना दोषी है?

1. एक पार्क तालाब के किनारे की घटना से संबंधित परिदृश्य में, केंद्रीय कार्रवाई किसने की?
A. माली
B. बच्चा
C. एक अभिभावक
D. राहगीर जिसने संघर्षरत बच्चे को देखा

2. पार्क तालाब के किनारे एक घटना से संबंधित परिदृश्य में, क्या केंद्रीय कार्रवाई की गई?
A. वह चला गया क्योंकि वह नहीं चाहता था कि उसके कपड़े गीले हों
B. वह तुरंत तालाब में प्रवेश कर गया
C. उन्होंने जाने से पहले माली को बुलाया
D. वह बच्चे को एक क्लिनिक में ले गया

3. एक पार्क तालाब के किनारे हुई घटना से संबंधित परिदृश्य में, कौन या क्या सीधे प्रभावित हुआ था?
A. माली के उपकरण
B. उथले तालाब में संघर्ष कर रहा बच्चा
C. बैठक आयोजक
D. एक नजदीकी परिवार

4. पार्क तालाब के किनारे एक घटना से संबंधित परिदृश्य में, क्या परिणाम या परिणाम स्पष्ट रूप से कहा गया है?
A. बच्चा किसी के आने से पहले ही बाहर निकल गया
B. राहगीर अपनी बैठक से चूक गया
C. एक माली को दो मिनट बाद बच्चा मिला, वह हिल गया था और डरा हुआ था
D. तालाब को स्थायी रूप से बंद कर दिया गया

केवल विकल्प अक्षरों का उपयोग करके सभी चार प्रश्नों के उत्तर दें। अल्पविराम से अलग किए गए ठीक चार अक्षर लौटाएं, उदाहरण के लिए: ए, बी, सी, डी। स्पष्टीकरण न जोड़ें.",pending,,,,,,,,,,,,
S02__hi__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,4,"S02_Q1,S02_Q2,S02_Q3,S02_Q4","D,A,B,C",0,24,minimal,"संजय एक शाम मोहल्ले के पास बने एक छोटे तालाब के किनारे से गुज़र रहा था जब उसने देखा कि एक छोटा बच्चा तालाब में गिर गया और हाथ-पाँव मारने लगा। तालाब उथला था — घुटनों तक भी नहीं। संजय तैरना जानता था, कोई और पास नहीं था और रास्ता खाली था। उसने एक पल रुककर देखा, यह सोचकर कि वह साफ़ कपड़े पहनकर निकला है और पंचायत की बैठक में जाना है, और आगे बढ़ गया। कुछ देर बाद एक राहगीर ने बच्चे को निकाला — वह डरा हुआ और सहमा हुआ था। संजय को नहीं पता था कि कोई इतनी जल्दी आ जाएगा।
संजय बच्चे को ख़तरे में छोड़ने के लिए कितना दोषी है?

1. एक पार्क तालाब के किनारे की घटना से संबंधित परिदृश्य में, केंद्रीय कार्रवाई किसने की?
A. माली
B. बच्चा
C. एक अभिभावक
D. राहगीर जिसने संघर्षरत बच्चे को देखा

2. पार्क तालाब के किनारे एक घटना से संबंधित परिदृश्य में, क्या केंद्रीय कार्रवाई की गई?
A. वह चला गया क्योंकि वह नहीं चाहता था कि उसके कपड़े गीले हों
B. वह तुरंत तालाब में प्रवेश कर गया
C. उन्होंने जाने से पहले माली को बुलाया
D. वह बच्चे को एक क्लिनिक में ले गया

3. एक पार्क तालाब के किनारे हुई घटना से संबंधित परिदृश्य में, कौन या क्या सीधे प्रभावित हुआ था?
A. माली के उपकरण
B. उथले तालाब में संघर्ष कर रहा बच्चा
C. बैठक आयोजक
D. एक नजदीकी परिवार

4. पार्क तालाब के किनारे एक घटना से संबंधित परिदृश्य में, क्या परिणाम या परिणाम स्पष्ट रूप से कहा गया है?
A. बच्चा किसी के आने से पहले ही बाहर निकल गया
B. राहगीर अपनी बैठक से चूक गया
C. एक माली को दो मिनट बाद बच्चा मिला, वह हिल गया था और डरा हुआ था
D. तालाब को स्थायी रूप से बंद कर दिया गया

केवल विकल्प अक्षरों का उपयोग करके सभी चार प्रश्नों के उत्तर दें। अल्पविराम से अलग किए गए ठीक चार अक्षर लौटाएं, उदाहरण के लिए: ए, बी, सी, डी। स्पष्टीकरण न जोड़ें.",pending,,,,,,,,,,,,
S02__bn__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,4,"S02_Q1,S02_Q2,S02_Q3,S02_Q4","D,A,B,C",0,24,,"ডেভিড পার্কে হাঁটছিল যখন সে দেখল একটি ছোট শিশু কাছের একটি অগভীর সাজসজ্জার পুকুরে পড়ে গেছে এবং ছটফট করছে। পুকুরটি এক মিটারেরও কম গভীর ছিল। ডেভিড শারীরিকভাবে সক্ষম ছিল, রাস্তাটি ফাঁকা ছিল এবং আশেপাশে কেউ ছিল না। সে একটু থেমে দেখল, ভাবল যে একটি গুরুত্বপূর্ণ মিটিংয়ের আগে কাপড় ভেজানো ঠিক হবে না, এবং চলে গেল। দুই মিনিট পরে একজন মালী শিশুটিকে উদ্ধার করল — সে ভয় পেয়ে কাঁদছিল। ডেভিড জানত না যে শিশুটিকে এত তাড়াতাড়ি কেউ খুঁজে পাবে।
শিশুটিকে ঝুঁকিতে ফেলার জন্য ডেভিড কতটা দোষী?

1. একটি পার্ক পুকুরের পাশে একটি ঘটনা সম্পর্কিত দৃশ্যে, কে কেন্দ্রীয় পদক্ষেপটি সম্পাদন করেছিল?
A. মালী
B. শিশুটি
C. একজন অভিভাবক
D. পথচারী যে সংগ্রামী শিশুটিকে দেখেছে

2. একটি পার্ক পুকুরের পাশে একটি ঘটনা সংক্রান্ত পরিস্থিতিতে, কোন কেন্দ্রীয় পদক্ষেপ নেওয়া হয়েছিল?
A. তিনি হেঁটে গেলেন কারণ তিনি তার কাপড় ভিজে যেতে চান না
B. সঙ্গে সঙ্গে পুকুরে ঢুকে পড়লেন
C. যাওয়ার আগে মালীকে ডাকলেন
D. তিনি শিশুটিকে একটি ক্লিনিকে নিয়ে যান

3. একটি পার্ক পুকুরের পাশে একটি ঘটনা সম্পর্কিত দৃশ্যে, কে বা কি সরাসরি প্রভাবিত হয়েছিল?
A. মালীর সরঞ্জাম
B. অগভীর পুকুরে লড়াই করছে শিশুটি
C. বৈঠকের আয়োজক মো
D. কাছের একটা পরিবার

4. একটি পার্ক পুকুরের পাশে একটি ঘটনা সম্পর্কিত দৃশ্যে, কী পরিণতি বা ফলাফল স্পষ্টভাবে বলা হয়েছে?
A. কেউ আসার আগেই শিশুটি উঠে যায়
B. পথিক তার মিটিং মিস
C. একজন মালী দুই মিনিট পরে শিশুটিকে দেখতে পান, কাঁপতে থাকেন এবং ভীত হয়ে পড়েন
D. পুকুরটি চিরতরে বন্ধ হয়ে যায়

শুধুমাত্র বিকল্প অক্ষর ব্যবহার করে চারটি প্রশ্নের উত্তর দিন। কমা দ্বারা পৃথক করা ঠিক চারটি অক্ষর ফেরত দিন, উদাহরণস্বরূপ: A, B, C, D। ব্যাখ্যা যোগ করবেন না.",pending,,,,,,,,,,,,
S02__bn__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,literal,4,"S02_Q1,S02_Q2,S02_Q3,S02_Q4","D,A,B,C",0,24,,"ডেভিড পার্কে হাঁটছিল যখন সে দেখল একটি ছোট শিশু কাছের একটি অগভীর সাজসজ্জার পুকুরে পড়ে গেছে এবং ছটফট করছে। পুকুরটি এক মিটারেরও কম গভীর ছিল। ডেভিড শারীরিকভাবে সক্ষম ছিল, রাস্তাটি ফাঁকা ছিল এবং আশেপাশে কেউ ছিল না। সে একটু থেমে দেখল, ভাবল যে একটি গুরুত্বপূর্ণ মিটিংয়ের আগে কাপড় ভেজানো ঠিক হবে না, এবং চলে গেল। দুই মিনিট পরে একজন মালী শিশুটিকে উদ্ধার করল — সে ভয় পেয়ে কাঁদছিল। ডেভিড জানত না যে শিশুটিকে এত তাড়াতাড়ি কেউ খুঁজে পাবে।
শিশুটিকে ঝুঁকিতে ফেলার জন্য ডেভিড কতটা দোষী?

1. একটি পার্ক পুকুরের পাশে একটি ঘটনা সম্পর্কিত দৃশ্যে, কে কেন্দ্রীয় পদক্ষেপটি সম্পাদন করেছিল?
A. মালী
B. শিশুটি
C. একজন অভিভাবক
D. পথচারী যে সংগ্রামী শিশুটিকে দেখেছে

2. একটি পার্ক পুকুরের পাশে একটি ঘটনা সংক্রান্ত পরিস্থিতিতে, কোন কেন্দ্রীয় পদক্ষেপ নেওয়া হয়েছিল?
A. তিনি হেঁটে গেলেন কারণ তিনি তার কাপড় ভিজে যেতে চান না
B. সঙ্গে সঙ্গে পুকুরে ঢুকে পড়লেন
C. যাওয়ার আগে মালীকে ডাকলেন
D. তিনি শিশুটিকে একটি ক্লিনিকে নিয়ে যান

3. একটি পার্ক পুকুরের পাশে একটি ঘটনা সম্পর্কিত দৃশ্যে, কে বা কি সরাসরি প্রভাবিত হয়েছিল?
A. মালীর সরঞ্জাম
B. অগভীর পুকুরে লড়াই করছে শিশুটি
C. বৈঠকের আয়োজক মো
D. কাছের একটা পরিবার

4. একটি পার্ক পুকুরের পাশে একটি ঘটনা সম্পর্কিত দৃশ্যে, কী পরিণতি বা ফলাফল স্পষ্টভাবে বলা হয়েছে?
A. কেউ আসার আগেই শিশুটি উঠে যায়
B. পথিক তার মিটিং মিস
C. একজন মালী দুই মিনিট পরে শিশুটিকে দেখতে পান, কাঁপতে থাকেন এবং ভীত হয়ে পড়েন
D. পুকুরটি চিরতরে বন্ধ হয়ে যায়

শুধুমাত্র বিকল্প অক্ষর ব্যবহার করে চারটি প্রশ্নের উত্তর দিন। কমা দ্বারা পৃথক করা ঠিক চারটি অক্ষর ফেরত দিন, উদাহরণস্বরূপ: A, B, C, D। ব্যাখ্যা যোগ করবেন না.",pending,,,,,,,,,,,,
S02__bn__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,literal,4,"S02_Q1,S02_Q2,S02_Q3,S02_Q4","D,A,B,C",0,24,minimal,"ডেভিড পার্কে হাঁটছিল যখন সে দেখল একটি ছোট শিশু কাছের একটি অগভীর সাজসজ্জার পুকুরে পড়ে গেছে এবং ছটফট করছে। পুকুরটি এক মিটারেরও কম গভীর ছিল। ডেভিড শারীরিকভাবে সক্ষম ছিল, রাস্তাটি ফাঁকা ছিল এবং আশেপাশে কেউ ছিল না। সে একটু থেমে দেখল, ভাবল যে একটি গুরুত্বপূর্ণ মিটিংয়ের আগে কাপড় ভেজানো ঠিক হবে না, এবং চলে গেল। দুই মিনিট পরে একজন মালী শিশুটিকে উদ্ধার করল — সে ভয় পেয়ে কাঁদছিল। ডেভিড জানত না যে শিশুটিকে এত তাড়াতাড়ি কেউ খুঁজে পাবে।
শিশুটিকে ঝুঁকিতে ফেলার জন্য ডেভিড কতটা দোষী?

1. একটি পার্ক পুকুরের পাশে একটি ঘটনা সম্পর্কিত দৃশ্যে, কে কেন্দ্রীয় পদক্ষেপটি সম্পাদন করেছিল?
A. মালী
B. শিশুটি
C. একজন অভিভাবক
D. পথচারী যে সংগ্রামী শিশুটিকে দেখেছে

2. একটি পার্ক পুকুরের পাশে একটি ঘটনা সংক্রান্ত পরিস্থিতিতে, কোন কেন্দ্রীয় পদক্ষেপ নেওয়া হয়েছিল?
A. তিনি হেঁটে গেলেন কারণ তিনি তার কাপড় ভিজে যেতে চান না
B. সঙ্গে সঙ্গে পুকুরে ঢুকে পড়লেন
C. যাওয়ার আগে মালীকে ডাকলেন
D. তিনি শিশুটিকে একটি ক্লিনিকে নিয়ে যান

3. একটি পার্ক পুকুরের পাশে একটি ঘটনা সম্পর্কিত দৃশ্যে, কে বা কি সরাসরি প্রভাবিত হয়েছিল?
A. মালীর সরঞ্জাম
B. অগভীর পুকুরে লড়াই করছে শিশুটি
C. বৈঠকের আয়োজক মো
D. কাছের একটা পরিবার

4. একটি পার্ক পুকুরের পাশে একটি ঘটনা সম্পর্কিত দৃশ্যে, কী পরিণতি বা ফলাফল স্পষ্টভাবে বলা হয়েছে?
A. কেউ আসার আগেই শিশুটি উঠে যায়
B. পথিক তার মিটিং মিস
C. একজন মালী দুই মিনিট পরে শিশুটিকে দেখতে পান, কাঁপতে থাকেন এবং ভীত হয়ে পড়েন
D. পুকুরটি চিরতরে বন্ধ হয়ে যায়

শুধুমাত্র বিকল্প অক্ষর ব্যবহার করে চারটি প্রশ্নের উত্তর দিন। কমা দ্বারা পৃথক করা ঠিক চারটি অক্ষর ফেরত দিন, উদাহরণস্বরূপ: A, B, C, D। ব্যাখ্যা যোগ করবেন না.",pending,,,,,,,,,,,,
S02__bn__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,4,"S02_Q1,S02_Q2,S02_Q3,S02_Q4","D,A,B,C",0,24,,"সৌমেন এক বিকেলে রবীন্দ্র সরোবরের পাশে হাঁটছিল। সে দেখতে পেল একটি ছোট ছেলে পা পিছলে জলাশয়ে পড়ে গেছে এবং উঠে আসার চেষ্টা করছে। জল খুব গভীর ছিল না।
সৌমেন সুস্থ-সবল ছিল, ছেলেটিকে সাহায্য করতে তার কোনো শারীরিক অসুবিধা হতো না এবং আশেপাশে আর কেউ ছিল না।
সে এক মুহূর্ত দাঁড়িয়ে ভাবল যে তার কাপড় ভিজে গেলে সন্ধ্যায় একটি গুরুত্বপূর্ণ মিটিংয়ে যেতে অসুবিধা হবে। তারপর সে হেঁটে চলে গেল।
দুই মিনিট পরে একজন নিরাপত্তারক্ষী এসে ছেলেটিকে তুলে আনে। ছেলেটি ভয় পেয়েছিল কিন্তু নিরাপদ ছিল।
সৌমেন জানত না যে এত দ্রুত কেউ এসে সাহায্য করবে।
ছেলেটিকে বিপদের মধ্যে ফেলে রেখে যাওয়ার জন্য সৌমেন কতটা দোষী?

1. একটি পার্ক পুকুরের পাশে একটি ঘটনা সম্পর্কিত দৃশ্যে, কে কেন্দ্রীয় পদক্ষেপটি সম্পাদন করেছিল?
A. মালী
B. শিশুটি
C. একজন অভিভাবক
D. পথচারী যে সংগ্রামী শিশুটিকে দেখেছে

2. একটি পার্ক পুকুরের পাশে একটি ঘটনা সংক্রান্ত পরিস্থিতিতে, কোন কেন্দ্রীয় পদক্ষেপ নেওয়া হয়েছিল?
A. তিনি হেঁটে গেলেন কারণ তিনি তার কাপড় ভিজে যেতে চান না
B. সঙ্গে সঙ্গে পুকুরে ঢুকে পড়লেন
C. যাওয়ার আগে মালীকে ডাকলেন
D. তিনি শিশুটিকে একটি ক্লিনিকে নিয়ে যান

3. একটি পার্ক পুকুরের পাশে একটি ঘটনা সম্পর্কিত দৃশ্যে, কে বা কি সরাসরি প্রভাবিত হয়েছিল?
A. মালীর সরঞ্জাম
B. অগভীর পুকুরে লড়াই করছে শিশুটি
C. বৈঠকের আয়োজক মো
D. কাছের একটা পরিবার

4. একটি পার্ক পুকুরের পাশে একটি ঘটনা সম্পর্কিত দৃশ্যে, কী পরিণতি বা ফলাফল স্পষ্টভাবে বলা হয়েছে?
A. কেউ আসার আগেই শিশুটি উঠে যায়
B. পথিক তার মিটিং মিস
C. একজন মালী দুই মিনিট পরে শিশুটিকে দেখতে পান, কাঁপতে থাকেন এবং ভীত হয়ে পড়েন
D. পুকুরটি চিরতরে বন্ধ হয়ে যায়

শুধুমাত্র বিকল্প অক্ষর ব্যবহার করে চারটি প্রশ্নের উত্তর দিন। কমা দ্বারা পৃথক করা ঠিক চারটি অক্ষর ফেরত দিন, উদাহরণস্বরূপ: A, B, C, D। ব্যাখ্যা যোগ করবেন না.",pending,,,,,,,,,,,,
