responseId,runId,modelKey,scenarioId,conditionId,inputLang,reasoningLang,scenarioVersion,code,status,codedAt
full_1782215308316_vrq93w__chatgpt__S01__en_en__qualitative,full_1782215308316_vrq93w,chatgpt,S01,en_en,en,en,en,Care/Harm,coded,2026-06-29T14:59:47.965Z
full_1782215308316_vrq93w__chatgpt__S01__hi_adapted_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S01,hi_adapted_reason_en,hi,en,adapted,Care/Harm,coded,2026-06-29T15:03:04.534Z
full_1782215308316_vrq93w__chatgpt__S01__hi_adapted_reason_hi__qualitative,full_1782215308316_vrq93w,chatgpt,S01,hi_adapted_reason_hi,hi,hi,adapted,Care/Harm,coded,2026-06-29T15:05:02.038Z
full_1782215308316_vrq93w__chatgpt__S01__hi_translation_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S01,hi_translation_reason_en,hi,en,translation,Care/Harm,coded,2026-06-29T15:01:02.019Z
full_1782215308316_vrq93w__chatgpt__S01__hi_translation_reason_hi__qualitative,full_1782215308316_vrq93w,chatgpt,S01,hi_translation_reason_hi,hi,hi,translation,Care/Harm,coded,2026-06-29T15:02:08.099Z
full_1782215308316_vrq93w__chatgpt__S06__en_en__qualitative,full_1782215308316_vrq93w,chatgpt,S06,en_en,en,en,en,Loyalty/Betrayal,coded,2026-06-29T14:59:59.637Z
full_1782215308316_vrq93w__chatgpt__S06__hi_adapted_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S06,hi_adapted_reason_en,hi,en,adapted,Loyalty/Betrayal,coded,2026-06-29T15:03:18.217Z
full_1782215308316_vrq93w__chatgpt__S06__hi_adapted_reason_hi__qualitative,full_1782215308316_vrq93w,chatgpt,S06,hi_adapted_reason_hi,hi,hi,adapted,Loyalty/Betrayal,coded,2026-06-29T15:10:13.997Z
full_1782215308316_vrq93w__chatgpt__S06__hi_translation_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S06,hi_translation_reason_en,hi,en,translation,Loyalty/Betrayal,coded,2026-06-29T15:01:15.001Z
full_1782215308316_vrq93w__chatgpt__S06__hi_translation_reason_hi__qualitative,full_1782215308316_vrq93w,chatgpt,S06,hi_translation_reason_hi,hi,hi,translation,Loyalty/Betrayal,coded,2026-06-29T15:02:16.801Z
full_1782215308316_vrq93w__chatgpt__S06__ta_translation_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S06,ta_translation_reason_en,ta,en,translation,Loyalty/Betrayal,coded,2026-06-29T15:10:35.573Z
full_1782215308316_vrq93w__chatgpt__S11__ar_adapted_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S11,ar_adapted_reason_en,ar,en,adapted,Care/Harm,coded,2026-06-29T15:10:47.520Z
full_1782215308316_vrq93w__chatgpt__S11__bn_translation_reason_bn__qualitative,full_1782215308316_vrq93w,chatgpt,S11,bn_translation_reason_bn,bn,bn,translation,Authority/Subversion,coded,2026-06-29T15:11:05.962Z
full_1782215308316_vrq93w__chatgpt__S11__en_en__qualitative,full_1782215308316_vrq93w,chatgpt,S11,en_en,en,en,en,Care/Harm,coded,2026-06-29T15:00:25.790Z
full_1782215308316_vrq93w__chatgpt__S11__hi_adapted_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S11,hi_adapted_reason_en,hi,en,adapted,Care/Harm,coded,2026-06-29T15:03:39.943Z
full_1782215308316_vrq93w__chatgpt__S11__hi_translation_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S11,hi_translation_reason_en,hi,en,translation,Care/Harm,coded,2026-06-29T15:01:25.295Z
full_1782215308316_vrq93w__chatgpt__S11__hi_translation_reason_hi__qualitative,full_1782215308316_vrq93w,chatgpt,S11,hi_translation_reason_hi,hi,hi,translation,Care/Harm,coded,2026-06-29T15:02:24.600Z
full_1782215308316_vrq93w__chatgpt__S11__ja_adapted_reason_ja__qualitative,full_1782215308316_vrq93w,chatgpt,S11,ja_adapted_reason_ja,ja,ja,adapted,Care/Harm,coded,2026-06-29T15:11:24.255Z
full_1782215308316_vrq93w__chatgpt__S16__ar_adapted_reason_ar__qualitative,full_1782215308316_vrq93w,chatgpt,S16,ar_adapted_reason_ar,ar,ar,adapted,Fairness/Cheating,coded,2026-06-29T15:11:35.041Z
full_1782215308316_vrq93w__chatgpt__S16__bn_adapted_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S16,bn_adapted_reason_en,bn,en,adapted,Fairness/Cheating,coded,2026-06-29T15:11:44.651Z
full_1782215308316_vrq93w__chatgpt__S16__en_en__qualitative,full_1782215308316_vrq93w,chatgpt,S16,en_en,en,en,en,Fairness/Cheating,coded,2026-06-29T15:00:37.094Z
full_1782215308316_vrq93w__chatgpt__S16__es_adapted_reason_es__qualitative,full_1782215308316_vrq93w,chatgpt,S16,es_adapted_reason_es,es,es,adapted,Fairness/Cheating,coded,2026-06-29T15:11:57.618Z
full_1782215308316_vrq93w__chatgpt__S16__es_translation_reason_es__qualitative,full_1782215308316_vrq93w,chatgpt,S16,es_translation_reason_es,es,es,translation,Fairness/Cheating,coded,2026-06-29T15:12:07.515Z
full_1782215308316_vrq93w__chatgpt__S16__hi_adapted_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S16,hi_adapted_reason_en,hi,en,adapted,Fairness/Cheating,coded,2026-06-29T15:03:58.130Z
full_1782215308316_vrq93w__chatgpt__S16__hi_translation_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S16,hi_translation_reason_en,hi,en,translation,Fairness/Cheating,coded,2026-06-29T15:01:35.804Z
full_1782215308316_vrq93w__chatgpt__S16__hi_translation_reason_hi__qualitative,full_1782215308316_vrq93w,chatgpt,S16,hi_translation_reason_hi,hi,hi,translation,Fairness/Cheating,coded,2026-06-29T15:02:35.801Z
full_1782215308316_vrq93w__chatgpt__S16__ja_adapted_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S16,ja_adapted_reason_en,ja,en,adapted,Fairness/Cheating,coded,2026-06-29T15:12:20.570Z
full_1782215308316_vrq93w__chatgpt__S21__ar_adapted_reason_ar__qualitative,full_1782215308316_vrq93w,chatgpt,S21,ar_adapted_reason_ar,ar,ar,adapted,Sanctity/Degradation,coded,2026-06-29T15:12:33.729Z
full_1782215308316_vrq93w__chatgpt__S21__ar_translation_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S21,ar_translation_reason_en,ar,en,translation,Sanctity/Degradation,coded,2026-06-29T15:12:48.396Z
full_1782215308316_vrq93w__chatgpt__S21__bn_adapted_reason_bn__qualitative,full_1782215308316_vrq93w,chatgpt,S21,bn_adapted_reason_bn,bn,bn,adapted,Sanctity/Degradation,coded,2026-06-29T15:13:01.029Z
full_1782215308316_vrq93w__chatgpt__S21__en_en__qualitative,full_1782215308316_vrq93w,chatgpt,S21,en_en,en,en,en,Sanctity/Degradation,coded,2026-06-29T15:00:50.308Z
full_1782215308316_vrq93w__chatgpt__S21__hi_adapted_reason_en__qualitative,full_1782215308316_vrq93w,chatgpt,S21,hi_adapted_reason_en,hi,en,adapted,Sanctity/Degradation,coded,2026-06-29T15:04:22.876Z
