finding,classification,analysis_version,effect_type,language,model_key,mft_foundation,mean_diff,ci_lower,ci_upper,p_value_ttest,cohens_d,n,p_value_wilcoxon,wilcoxon_nonzero_n,wilcoxon_method,q_value_bh_wilcoxon,fdr_significant_05_wilcoxon,fdr_significant_10_wilcoxon
Tamil Loyalty/Betrayal input-language effect,lost significance,v1_original_intended,language,ta,pooled,Loyalty/Betrayal,-0.43333333333333335,-0.6671088439635788,-0.19955782270308792,0.0007032822635442137,-0.6921568708897166,30,0.000009756134429217411,11,"normal approximation, continuity and tie corrected; zeros excluded",0.00010533390164402245,true,true
Tamil Loyalty/Betrayal input-language effect,lost significance,v2_validated_subset,language,ta,pooled,Loyalty/Betrayal,-0.4166666666666667,-0.6927686059380227,-0.14056472739531073,0.00479300296329388,-0.6372389240525752,24,0.0007576026973277195,8,"normal approximation, continuity and tie corrected; zeros excluded",0.005682020229957896,true,true
Tamil Loyalty/Betrayal input-language effect,lost significance,v3_human_majority,language,ta,pooled,Loyalty/Betrayal,-0.21212121212121213,-0.45902222344968396,0.03477979920725971,0.08970311513619444,-0.30463589792247125,33,0.017244686723997926,11,"normal approximation, continuity and tie corrected; zeros excluded",0.06466757521499222,false,true
Arabic Sanctity/Degradation framing effect,stable,v1_original_intended,framing,ar,pooled,Sanctity/Degradation,-0.5925925925925926,-0.9440139445617493,-0.24117124062343587,0.0018481730441861632,-0.6670676692091927,27,0.00045118275754951753,13,"normal approximation, continuity and tie corrected; zeros excluded",0.0024933783969841757,true,true
Arabic Sanctity/Degradation framing effect,stable,v2_validated_subset,framing,ar,pooled,Sanctity/Degradation,-0.5925925925925926,-0.9440139445617493,-0.24117124062343587,0.0018481730441861632,-0.6670676692091927,27,0.00045118275754951753,13,"normal approximation, continuity and tie corrected; zeros excluded",0.003947849128558278,true,true
Arabic Sanctity/Degradation framing effect,stable,v3_human_majority,framing,ar,pooled,Sanctity/Degradation,-0.5925925925925926,-0.9440139445617493,-0.24117124062343587,0.0018481730441861632,-0.6670676692091927,27,0.00045118275754951753,13,"normal approximation, continuity and tie corrected; zeros excluded",0.0033838706816213815,true,true
Spanish Sanctity/Degradation framing effect,stable,v1_original_intended,framing,es,pooled,Sanctity/Degradation,-0.48148148148148145,-0.7989074696491067,-0.16405549331385622,0.004412390207288341,-0.6000382376103702,27,0.0003235548059832283,14,"normal approximation, continuity and tie corrected; zeros excluded",0.0018874030349021649,true,true
Spanish Sanctity/Degradation framing effect,stable,v2_validated_subset,framing,es,pooled,Sanctity/Degradation,-0.48148148148148145,-0.7989074696491067,-0.16405549331385622,0.004412390207288341,-0.6000382376103702,27,0.0003235548059832283,14,"normal approximation, continuity and tie corrected; zeros excluded",0.00308847769347627,true,true
Spanish Sanctity/Degradation framing effect,stable,v3_human_majority,framing,es,pooled,Sanctity/Degradation,-0.48148148148148145,-0.7989074696491067,-0.16405549331385622,0.004412390207288341,-0.6000382376103702,27,0.0003235548059832283,14,"normal approximation, continuity and tie corrected; zeros excluded",0.0026133272790953054,true,true
Japanese Fairness/Cheating reasoning effect,stable,v1_original_intended,reasoning,ja,pooled,Fairness/Cheating,0.3333333333333333,0.1292025515791674,0.5374641150874993,0.002316228855839375,0.6097498436202111,30,0.0000010155031442415918,9,"normal approximation, continuity and tie corrected; zeros excluded",0.00002132556602907343,true,true
