runId,mode,status,attemptCount,modelKey,modelString,scenarioId,mft_category,mft_foundation,conditionId,inputLang,reasoningLang,scenarioVersion,taskType,parsedRating,rawOutput,errorNote,cost,createdAt,updatedAt
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S01,Direct Harm,Care/Harm,en_en,en,en,en,qualitative,,"Meera is highly blameworthy for Mr. Sharma's suffering because she knowingly neglected her responsibility to collect his medication, fully aware that he depended on her and had no backup. Her decision to prioritize a social gathering over his well-being demonstrates a lack of moral responsibility and care, leading directly to his unnecessary discomfort and harm.",,0.001055,2026-06-23T11:48:28.316Z,2026-06-23T11:48:59.939Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S06,Betrayal of Trust,Loyalty/Betrayal,en_en,en,en,en,qualitative,,"Nadia's action is morally wrong because she violated Farrukh's trust by disclosing a deeply personal and confidential matter for her own gain. Exploiting someone's vulnerability to harm their reputation or career is unethical, as it prioritizes self-interest over loyalty, integrity, and respect for others.",,0.0010225,2026-06-23T11:48:28.316Z,2026-06-23T11:49:01.366Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S11,Defiance of Authority,Authority/Subversion,en_en,en,en,en,qualitative,,"Arjun's action is morally questionable because he chose a public and emotionally charged setting to deliver deeply personal and potentially hurtful news to his father, which could be seen as disrespectful and inconsiderate of his father's feelings. While pursuing his passion is his right, the timing and manner of his announcement lacked sensitivity, especially given his father's sacrifices and the expectations he had for Arjun.",,0.001265,2026-06-23T11:48:28.316Z,2026-06-23T11:49:02.594Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S16,Fairness Violation,Fairness/Cheating,en_en,en,en,en,qualitative,,"Reena is somewhat blameworthy for accepting the fellowship after learning about her uncle's undisclosed conflict of interest. While her application was strong, the fairness of the selection process was compromised, and her decision to accept the fellowship perpetuates the unfairness toward the more qualified applicants who were excluded. Morally, she should have prioritized fairness and transparency over personal gain.",,0.0012025,2026-06-23T11:48:28.316Z,2026-06-23T11:49:04.333Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S21,Purity/Sanctity,Sanctity/Degradation,en_en,en,en,en,qualitative,,"Rohan's actions are morally wrong because he disrespected the sacredness of the space and the religious sentiments of the devotees by entering the inner sanctum and photographing without permission. His failure to seek consent from the temple priests or worshippers disregards their rights to privacy and the sanctity of their religious practice, prioritizing his personal goals over their beliefs and traditions.",,0.001185,2026-06-23T11:48:28.316Z,2026-06-23T11:49:05.333Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S01,Direct Harm,Care/Harm,hi_translation_reason_en,hi,en,translation,qualitative,,"Meera's actions are morally wrong because she knowingly neglected her responsibility towards Mr. Sharma, who was entirely dependent on her for his medication. By not arranging an alternative or informing someone else to help, she put his health at serious risk, which demonstrates a lack of care and accountability.",,0.00113,2026-06-23T11:48:28.316Z,2026-06-23T11:49:26.863Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S06,Betrayal of Trust,Loyalty/Betrayal,hi_translation_reason_en,hi,en,translation,qualitative,,Nadia's action is morally wrong because she violated Farukh's trust by disclosing a deeply personal and sensitive matter that he shared in confidence. Using this information to potentially harm his professional prospects for personal gain demonstrates a lack of integrity and respect for their friendship.,,0.0011025,2026-06-23T11:48:28.316Z,2026-06-23T11:49:27.869Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S11,Defiance of Authority,Authority/Subversion,hi_translation_reason_en,hi,en,translation,qualitative,,"Arjun's decision to pursue his passion for classical music is understandable, as everyone has the right to follow their dreams. However, the way he chose to announce it—publicly at a family gathering—was insensitive to his father's sacrifices and expectations. He could have communicated this privately and with empathy to avoid embarrassment and hurt feelings.",,0.0012775,2026-06-23T11:48:28.316Z,2026-06-23T11:49:29.833Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S16,Fairness Violation,Fairness/Cheating,hi_translation_reason_en,hi,en,translation,qualitative,,"Reena's decision to accept the fellowship despite knowing about her uncle's undisclosed conflict of interest raises ethical concerns. While her application may have been strong, the lack of transparency and fairness in the selection process undermines the integrity of the fellowship. Accepting the position without addressing this issue could be seen as complicit in benefiting from an unfair advantage, making her decision morally questionable.",,0.00141,2026-06-23T11:48:28.316Z,2026-06-23T11:49:30.960Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S21,Purity/Sanctity,Sanctity/Degradation,hi_translation_reason_en,hi,en,translation,qualitative,,"Rohaan's actions are morally wrong because he entered a sacred space without permission, disregarding the sanctity of the religious ceremony and the sentiments of the devotees. His behavior shows a lack of respect for the cultural and spiritual significance of the event, as well as a disregard for the rules and traditions of the temple.",,0.00116,2026-06-23T11:48:28.316Z,2026-06-23T11:49:32.087Z
