scenario_id,foundation,human_majority_foundation,majority_resolved,majority_matches_intended,num_coders_matching_intended,all_three_disagree,input_language_mad,adaptation_mad,response_language_mad,maximum_observed_shift,nonzero_input_effect_count,nonzero_total_effect_count,eligible,rank_within_foundation,selection_tier,selection_status,selection_rationale
S01,Care/Harm,Care/Harm,True,True,3,False,0.6111111111111112,0.4444444444444444,0.3333333333333333,1.0,11,31,True,5,,Not selected,Eligible but outside the selected high/low extremes.
S02,Care/Harm,Care/Harm,True,True,3,False,0.2777777777777778,0.05555555555555555,0.08333333333333333,1.0,5,9,True,7,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S03,Care/Harm,,False,False,1,True,0.4444444444444444,0.5555555555555556,0.3055555555555556,2.0,7,28,False,,,Not selected,Excluded: no resolved human majority.
S04,Care/Harm,Loyalty/Betrayal,True,False,0,False,0.0,0.05555555555555555,0.027777777777777776,1.0,0,2,False,,,Not selected,Excluded: human majority did not match intended foundation.
S05,Care/Harm,Care/Harm,True,True,3,False,0.05555555555555555,0.1111111111111111,0.2222222222222222,1.0,1,11,True,8,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S06,Loyalty/Betrayal,Loyalty/Betrayal,True,True,3,False,0.0,0.05555555555555555,0.1111111111111111,1.0,0,5,True,7,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S07,Loyalty/Betrayal,Loyalty/Betrayal,True,True,2,False,0.05555555555555555,0.05555555555555555,0.027777777777777776,1.0,1,3,True,6,,Not selected,Eligible but outside the selected high/low extremes.
S08,Loyalty/Betrayal,Fairness/Cheating,True,False,1,False,0.2777777777777778,0.1111111111111111,0.1388888888888889,1.0,5,12,False,,,Not selected,Excluded: human majority did not match intended foundation.
S09,Loyalty/Betrayal,,False,False,1,True,0.6111111111111112,0.05555555555555555,0.3888888888888889,1.0,11,26,False,,,Not selected,Excluded: no resolved human majority.
S10,Loyalty/Betrayal,Loyalty/Betrayal,True,True,3,False,0.16666666666666666,0.8333333333333334,0.25,3.0,3,23,True,4,,Not selected,Eligible but outside the selected high/low extremes.
S11,Authority/Subversion,Care/Harm,True,False,0,False,0.1111111111111111,0.4444444444444444,0.3611111111111111,2.0,2,22,False,,,Not selected,Excluded: human majority did not match intended foundation.
S12,Authority/Subversion,Authority/Subversion,True,True,2,False,0.2777777777777778,0.2222222222222222,0.4166666666666667,1.0,5,24,True,5,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S13,Authority/Subversion,,False,False,1,True,0.6666666666666666,0.4444444444444444,0.5,2.0,12,37,False,,,Not selected,Excluded: no resolved human majority.
S14,Authority/Subversion,Care/Harm,True,False,0,False,0.2777777777777778,0.2777777777777778,0.16666666666666666,1.0,5,16,False,,,Not selected,Excluded: human majority did not match intended foundation.
S15,Authority/Subversion,Loyalty/Betrayal,True,False,0,False,0.2777777777777778,0.2222222222222222,0.1111111111111111,1.0,5,13,False,,,Not selected,Excluded: human majority did not match intended foundation.
S16,Fairness/Cheating,Fairness/Cheating,True,True,3,False,0.3888888888888889,0.7777777777777778,0.3333333333333333,2.0,7,29,True,5,,Not selected,Eligible but outside the selected high/low extremes.
S17,Fairness/Cheating,Fairness/Cheating,True,True,3,False,0.3333333333333333,0.5555555555555556,0.3333333333333333,1.0,6,28,True,6,,Not selected,Eligible but outside the selected high/low extremes.
S18,Fairness/Cheating,Fairness/Cheating,True,True,3,False,0.05555555555555555,0.3333333333333333,0.16666666666666666,1.0,1,13,True,9,low,Selected,"Human-majority-resolved and matched intended foundation; among the two lowest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S19,Fairness/Cheating,Fairness/Cheating,True,True,2,False,0.5,0.5555555555555556,0.3611111111111111,2.0,8,29,True,3,,Not selected,Eligible but outside the selected high/low extremes.
S20,Fairness/Cheating,Fairness/Cheating,True,True,3,False,0.5,0.4444444444444444,0.4166666666666667,2.0,7,28,True,2,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S21,Sanctity/Degradation,Sanctity/Degradation,True,True,3,False,0.2777777777777778,0.5555555555555556,0.3888888888888889,2.0,5,28,True,5,,Not selected,Eligible but outside the selected high/low extremes.
S22,Sanctity/Degradation,Sanctity/Degradation,True,True,3,False,0.5555555555555556,0.7222222222222222,0.2777777777777778,2.0,10,31,True,2,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
S23,Sanctity/Degradation,Sanctity/Degradation,True,True,2,False,0.7777777777777778,0.8333333333333334,0.4444444444444444,3.0,12,34,True,1,high,Selected,"Human-majority-resolved and matched intended foundation; among the two highest primary input-language MAD values in this foundation, with coder agreement and scenario ID used as deterministic tie-breakers."
