effect_type,language,model_key,mft_foundation,mean_diff,ci_lower,ci_upper,p_value_ttest,p_value_wilcoxon,wilcoxon_method,wilcoxon_nonzero_n,cohens_d,n,q_value_bh_wilcoxon,fdr_significant_05_wilcoxon,fdr_significant_10_wilcoxon
language,hi,pooled,Authority/Subversion,0.6333333333333333,0.18773681120103647,1.0789298554656301,0.009314136259149564,0.0013418800127933395,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,15,0.5086112916652457,30,0.006709400063966697,true,true
language,bn,pooled,Authority/Subversion,0.4,0.14092933551750347,0.6590706644824966,0.005150605165275879,0.00003942330779072023,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,14,0.5525062514530825,30,0.0003184190244635096,true,true
language,ta,pooled,Authority/Subversion,0.13333333333333333,-0.12799999999999997,0.3946666666666666,0.3255819883298672,1,normal approximation unavailable; variance is zero,16,0.18257418583505539,30,1,false,false
language,es,pooled,Authority/Subversion,0.36666666666666664,0.10959217353450645,0.6237411597988268,0.009095904127413679,9.163181575733148e-7,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,11,0.5103967334713586,30,0.00002132556602907343,true,true
language,ja,pooled,Authority/Subversion,0.3,0.08673722431175929,0.5132627756882406,0.009981299458980075,1,normal approximation unavailable; variance is zero,13,0.5033865892655734,30,1,false,false
language,ar,pooled,Authority/Subversion,0.43333333333333335,0.15641310608271092,0.7102535605839557,0.004648510749234003,0.0018735128572680004,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,11,0.5599675523000586,30,0.008941765909688183,true,true
language,all,pooled,Authority/Subversion,0.37777777777777777,0.2570169005809714,0.49853865497458416,5.422230664464678e-9,0,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,80,0.4570144872999839,180,0,true,true
framing,hi,pooled,Authority/Subversion,-0.3333333333333333,-0.7570892089806143,0.0904225423139477,0.133972515871563,0.1129100117643751,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,16,-0.2814870737309186,30,0.2469906507345705,false,false
framing,bn,pooled,Authority/Subversion,0.06666666666666667,-0.2295155284773131,0.3628488618106464,0.6623617732618725,0.4932427255716627,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,14,0.08054623361424615,30,0.7720588235294118,false,false
framing,ta,pooled,Authority/Subversion,0.13333333333333333,-0.09168351575908221,0.3583501824257489,0.25495195404538173,0.05890658881127564,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,9,0.21204065721006796,30,0.1438416703531149,false,false
framing,es,pooled,Authority/Subversion,-0.4666666666666667,-0.7598520002813332,-0.17348133305200014,0.0040697030147966995,0.00009964405201312587,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,17,-0.5695868886695797,30,0.0007052054560139354,true,true
framing,ja,pooled,Authority/Subversion,-0.16666666666666666,-0.506581914160696,0.1732485808273627,0.3444851289441089,0.24118991997245698,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,12,-0.17545815065905712,30,0.4366369240880687,false,false
framing,ar,pooled,Authority/Subversion,-0.03333333333333333,-0.5436029788259014,0.4769363121592347,0.8990035642695218,0.7289283141262839,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,19,-0.023376229110609225,30,1,false,false
framing,all,pooled,Authority/Subversion,-0.13333333333333333,-0.28177105736041125,0.015104390693744585,0.08002087939724678,0.02508581321061598,normal approximation two-sided signed-rank test with continuity and tie correction; zero differences excluded,87,-0.1312243011786201,180,0.06753872787473533,false,true
