work_unit_id,model_key,input_language,raw_response,parsed_answers,normalization_type
S02__ja__literal__chatgpt,chatgpt,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S02__ja__literal__claude,claude,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S02__ja__adapted__claude,claude,ja,D、A、B、C,"D,A,B,C",locale_specific_comma
S02__ar__literal__chatgpt,chatgpt,ar,A، A، B، C,"A,A,B,C",locale_specific_comma
S02__ar__literal__claude,claude,ar,D، A، B، C,"D,A,B,C",locale_specific_comma
S02__ar__adapted__claude,claude,ar,A، A، B، C,"A,A,B,C",locale_specific_comma
S05__ja__literal__chatgpt,chatgpt,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S05__ja__adapted__chatgpt,chatgpt,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S05__ar__literal__chatgpt,chatgpt,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S05__ar__adapted__chatgpt,chatgpt,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S05__ar__literal__claude,claude,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S05__ja__literal__claude,claude,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S05__ar__adapted__claude,claude,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S05__ja__adapted__claude,claude,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S06__ja__literal__chatgpt,chatgpt,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S06__ja__adapted__chatgpt,chatgpt,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S06__ar__adapted__chatgpt,chatgpt,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S06__ja__literal__claude,claude,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S06__ar__literal__claude,claude,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S06__ja__adapted__claude,claude,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S06__ar__adapted__claude,claude,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S12__ja__literal__chatgpt,chatgpt,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S12__ja__adapted__chatgpt,chatgpt,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S12__ar__literal__chatgpt,chatgpt,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S12__ja__literal__claude,claude,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S12__ar__literal__claude,claude,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S12__ar__adapted__chatgpt,chatgpt,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S12__ja__adapted__claude,claude,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S12__ar__adapted__claude,claude,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S18__ja__literal__chatgpt,chatgpt,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S18__ar__adapted__chatgpt,chatgpt,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S18__ja__literal__claude,claude,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S18__ar__literal__claude,claude,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S18__ar__literal__chatgpt,chatgpt,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S18__ja__adapted__claude,claude,ja,C、D、A、B,"C,D,A,B",locale_specific_comma
S18__ar__adapted__claude,claude,ar,C، D، A، B,"C,D,A,B",locale_specific_comma
S20__ja__literal__chatgpt,chatgpt,ja,A、C、D、A,"A,C,D,A",locale_specific_comma
S20__hi__literal__chatgpt,chatgpt,hi,"ए, सी, डी, ए","A,C,D,A",localized_option_name
S20__ja__literal__claude,claude,ja,A、C、D、A,"A,C,D,A",locale_specific_comma
S20__ja__adapted__chatgpt,chatgpt,ja,A、C、D、A,"A,C,D,A",locale_specific_comma
S20__ja__adapted__claude,claude,ja,A、C、D、A,"A,C,D,A",locale_specific_comma
S20__ar__adapted__chatgpt,chatgpt,ar,B، C، D، A,"B,C,D,A",locale_specific_comma
S20__ar__literal__claude,claude,ar,A، C، D، A,"A,C,D,A",locale_specific_comma
S20__ar__adapted__claude,claude,ar,A، C، D، A,"A,C,D,A",locale_specific_comma
S20__ar__literal__chatgpt,chatgpt,ar,A، C، D، A,"A,C,D,A",locale_specific_comma
S22__ja__literal__chatgpt,chatgpt,ja,D、C、D、A,"D,C,D,A",locale_specific_comma
S22__ja__adapted__chatgpt,chatgpt,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S22__ja__literal__claude,claude,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S22__ja__adapted__claude,claude,ja,B、C、D、A,"B,C,D,A",locale_specific_comma
S22__ar__literal__claude,claude,ar,B، C، D، A,"B,C,D,A",locale_specific_comma
