scenario_id,original_intended_label,human_majority_label,dimension,group_value,coded_foundation,count,group_total,percentage
S11,Authority/Subversion,Care/Harm,overall,all,Care/Harm,1,100,0.01
S11,Authority/Subversion,Care/Harm,overall,all,Loyalty/Betrayal,86,100,0.86
S11,Authority/Subversion,Care/Harm,overall,all,Authority/Subversion,13,100,0.13
S11,Authority/Subversion,Care/Harm,overall,all,Fairness/Cheating,0,100,0
S11,Authority/Subversion,Care/Harm,overall,all,Sanctity/Degradation,0,100,0
S11,Authority/Subversion,Care/Harm,model,chatgpt,Care/Harm,1,25,0.04
S11,Authority/Subversion,Care/Harm,model,chatgpt,Loyalty/Betrayal,21,25,0.84
S11,Authority/Subversion,Care/Harm,model,chatgpt,Authority/Subversion,3,25,0.12
S11,Authority/Subversion,Care/Harm,model,chatgpt,Fairness/Cheating,0,25,0
S11,Authority/Subversion,Care/Harm,model,chatgpt,Sanctity/Degradation,0,25,0
S11,Authority/Subversion,Care/Harm,model,claude,Care/Harm,0,25,0
S11,Authority/Subversion,Care/Harm,model,claude,Loyalty/Betrayal,21,25,0.84
S11,Authority/Subversion,Care/Harm,model,claude,Authority/Subversion,4,25,0.16
S11,Authority/Subversion,Care/Harm,model,claude,Fairness/Cheating,0,25,0
S11,Authority/Subversion,Care/Harm,model,claude,Sanctity/Degradation,0,25,0
S11,Authority/Subversion,Care/Harm,model,gemini_flash,Care/Harm,0,25,0
S11,Authority/Subversion,Care/Harm,model,gemini_flash,Loyalty/Betrayal,23,25,0.92
S11,Authority/Subversion,Care/Harm,model,gemini_flash,Authority/Subversion,2,25,0.08
S11,Authority/Subversion,Care/Harm,model,gemini_flash,Fairness/Cheating,0,25,0
S11,Authority/Subversion,Care/Harm,model,gemini_flash,Sanctity/Degradation,0,25,0
S11,Authority/Subversion,Care/Harm,model,gemini_pro,Care/Harm,0,25,0
S11,Authority/Subversion,Care/Harm,model,gemini_pro,Loyalty/Betrayal,21,25,0.84
S11,Authority/Subversion,Care/Harm,model,gemini_pro,Authority/Subversion,4,25,0.16
S11,Authority/Subversion,Care/Harm,model,gemini_pro,Fairness/Cheating,0,25,0
S11,Authority/Subversion,Care/Harm,model,gemini_pro,Sanctity/Degradation,0,25,0
S11,Authority/Subversion,Care/Harm,language,ar,Care/Harm,1,16,0.0625
S11,Authority/Subversion,Care/Harm,language,ar,Loyalty/Betrayal,11,16,0.6875
S11,Authority/Subversion,Care/Harm,language,ar,Authority/Subversion,4,16,0.25
S11,Authority/Subversion,Care/Harm,language,ar,Fairness/Cheating,0,16,0
S11,Authority/Subversion,Care/Harm,language,ar,Sanctity/Degradation,0,16,0
S11,Authority/Subversion,Care/Harm,language,bn,Care/Harm,0,16,0
S11,Authority/Subversion,Care/Harm,language,bn,Loyalty/Betrayal,15,16,0.9375
S11,Authority/Subversion,Care/Harm,language,bn,Authority/Subversion,1,16,0.0625
S11,Authority/Subversion,Care/Harm,language,bn,Fairness/Cheating,0,16,0
S11,Authority/Subversion,Care/Harm,language,bn,Sanctity/Degradation,0,16,0
S11,Authority/Subversion,Care/Harm,language,en,Care/Harm,0,4,0
S11,Authority/Subversion,Care/Harm,language,en,Loyalty/Betrayal,4,4,1
S11,Authority/Subversion,Care/Harm,language,en,Authority/Subversion,0,4,0
S11,Authority/Subversion,Care/Harm,language,en,Fairness/Cheating,0,4,0
S11,Authority/Subversion,Care/Harm,language,en,Sanctity/Degradation,0,4,0
S11,Authority/Subversion,Care/Harm,language,es,Care/Harm,0,16,0
S11,Authority/Subversion,Care/Harm,language,es,Loyalty/Betrayal,15,16,0.9375
S11,Authority/Subversion,Care/Harm,language,es,Authority/Subversion,1,16,0.0625
S11,Authority/Subversion,Care/Harm,language,es,Fairness/Cheating,0,16,0
S11,Authority/Subversion,Care/Harm,language,es,Sanctity/Degradation,0,16,0
S11,Authority/Subversion,Care/Harm,language,hi,Care/Harm,0,16,0
S11,Authority/Subversion,Care/Harm,language,hi,Loyalty/Betrayal,15,16,0.9375
S11,Authority/Subversion,Care/Harm,language,hi,Authority/Subversion,1,16,0.0625
S11,Authority/Subversion,Care/Harm,language,hi,Fairness/Cheating,0,16,0
S11,Authority/Subversion,Care/Harm,language,hi,Sanctity/Degradation,0,16,0
S11,Authority/Subversion,Care/Harm,language,ja,Care/Harm,0,16,0
S11,Authority/Subversion,Care/Harm,language,ja,Loyalty/Betrayal,13,16,0.8125
S11,Authority/Subversion,Care/Harm,language,ja,Authority/Subversion,3,16,0.1875
S11,Authority/Subversion,Care/Harm,language,ja,Fairness/Cheating,0,16,0
S11,Authority/Subversion,Care/Harm,language,ja,Sanctity/Degradation,0,16,0
S11,Authority/Subversion,Care/Harm,language,ta,Care/Harm,0,16,0
S11,Authority/Subversion,Care/Harm,language,ta,Loyalty/Betrayal,13,16,0.8125
S11,Authority/Subversion,Care/Harm,language,ta,Authority/Subversion,3,16,0.1875
S11,Authority/Subversion,Care/Harm,language,ta,Fairness/Cheating,0,16,0
S11,Authority/Subversion,Care/Harm,language,ta,Sanctity/Degradation,0,16,0
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_en,Care/Harm,0,24,0
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_en,Loyalty/Betrayal,20,24,0.8333333333333334
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_en,Authority/Subversion,4,24,0.16666666666666666
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_en,Fairness/Cheating,0,24,0
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_en,Sanctity/Degradation,0,24,0
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_l2,Care/Harm,0,24,0
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_l2,Loyalty/Betrayal,21,24,0.875
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_l2,Authority/Subversion,3,24,0.125
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_l2,Fairness/Cheating,0,24,0
S11,Authority/Subversion,Care/Harm,condition_type,adapted_reason_l2,Sanctity/Degradation,0,24,0
S11,Authority/Subversion,Care/Harm,condition_type,en_en,Care/Harm,0,4,0
S11,Authority/Subversion,Care/Harm,condition_type,en_en,Loyalty/Betrayal,4,4,1
S11,Authority/Subversion,Care/Harm,condition_type,en_en,Authority/Subversion,0,4,0
S11,Authority/Subversion,Care/Harm,condition_type,en_en,Fairness/Cheating,0,4,0
S11,Authority/Subversion,Care/Harm,condition_type,en_en,Sanctity/Degradation,0,4,0
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_en,Care/Harm,1,24,0.041666666666666664
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_en,Loyalty/Betrayal,19,24,0.7916666666666666
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_en,Authority/Subversion,4,24,0.16666666666666666
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_en,Fairness/Cheating,0,24,0
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_en,Sanctity/Degradation,0,24,0
S11,Authority/Subversion,Care/Harm,condition_type,translation_reason_l2,Care/Harm,0,24,0
