row_type,contrast,aggregation_level,model_key,input_language,control_id,left_condition,right_condition,left_rating,right_rating,paired_difference,n,mean_paired_difference,median_paired_difference,standard_deviation,minimum,maximum,ci_lower,ci_upper
individual,input_language,individual,chatgpt,hi,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,chatgpt,hi,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,chatgpt,hi,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,chatgpt,hi,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,chatgpt,hi,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,chatgpt,bn,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,chatgpt,bn,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,chatgpt,bn,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,chatgpt,bn,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,chatgpt,bn,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,input_language,individual,chatgpt,ta,C01,literal_response_en,en_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_primary,individual,chatgpt,ta,C01,adapted_response_en,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,cultural_adaptation_secondary,individual,chatgpt,ta,C01,adapted_response_same_language,literal_response_same_language,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_primary,individual,chatgpt,ta,C01,literal_response_same_language,literal_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
individual,response_language_secondary,individual,chatgpt,ta,C01,adapted_response_same_language,adapted_response_en,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,,
