effect_type,language,model_key,mft_foundation,mean_diff,ci_lower,ci_upper,p_value,cohens_d,n,q_value_bh,fdr_significant_05,fdr_significant_10
language,hi,pooled,Authority/Subversion,0.6333333333333333,0.18773681120103647,1.0789298554656301,0.009314136259149564,0.5086112916652457,30,0.05752848865945319,false,true
language,bn,pooled,Authority/Subversion,0.4,0.14092933551750347,0.6590706644824966,0.005150605165275879,0.5525062514530825,30,0.03862953873956909,true,true
language,ta,pooled,Authority/Subversion,0.13333333333333333,-0.12799999999999997,0.3946666666666666,0.3255819883298672,0.18257418583505539,30,0.4748070663143896,false,false
language,es,pooled,Authority/Subversion,0.36666666666666664,0.10959217353450645,0.6237411597988268,0.009095904127413679,0.5103967334713586,30,0.05752848865945319,false,true
language,ja,pooled,Authority/Subversion,0.3,0.08673722431175929,0.5132627756882406,0.009981299458980075,0.5033865892655734,30,0.05822424684405044,false,true
language,ar,pooled,Authority/Subversion,0.43333333333333335,0.15641310608271092,0.7102535605839557,0.004648510749234003,0.5599675523000586,30,0.03862953873956909,true,true
language,all,pooled,Authority/Subversion,0.37777777777777777,0.2570169005809714,0.49853865497458416,5.422230664464678e-9,0.4570144872999839,180,5.693342197687912e-7,true,true
framing,hi,pooled,Authority/Subversion,-0.3333333333333333,-0.7570892089806143,0.0904225423139477,0.133972515871563,-0.2814870737309186,30,0.3033781420409903,false,false
framing,bn,pooled,Authority/Subversion,0.06666666666666667,-0.2295155284773131,0.3628488618106464,0.6623617732618725,0.08054623361424615,30,0.7652586778448931,false,false
framing,ta,pooled,Authority/Subversion,0.13333333333333333,-0.09168351575908221,0.3583501824257489,0.25495195404538173,0.21204065721006796,30,0.446165919579418,false,false
framing,es,pooled,Authority/Subversion,-0.4666666666666667,-0.7598520002813332,-0.17348133305200014,0.0040697030147966995,-0.5695868886695797,30,0.03862953873956909,true,true
framing,ja,pooled,Authority/Subversion,-0.16666666666666666,-0.506581914160696,0.1732485808273627,0.3444851289441089,-0.17545815065905712,30,0.4954923087552252,false,false
framing,ar,pooled,Authority/Subversion,-0.03333333333333333,-0.5436029788259014,0.4769363121592347,0.8990035642695218,-0.023376229110609225,30,0.9439537424829979,false,false
framing,all,pooled,Authority/Subversion,-0.13333333333333333,-0.28177105736041125,0.015104390693744585,0.08002087939724678,-0.1312243011786201,180,0.2211103246502871,false,false
reasoning,hi,pooled,Authority/Subversion,-0.3333333333333333,-0.6204311112760001,-0.04623555539066643,0.03043626010456646,-0.41547448491940825,30,0.1091735133570561,false,false
reasoning,bn,pooled,Authority/Subversion,-0.16666666666666666,-0.37854460449030713,0.04521127115697385,0.133972515871563,-0.2814870737309186,30,0.3033781420409903,false,false
reasoning,ta,pooled,Authority/Subversion,-0.06666666666666667,-0.33135773939990854,0.19802440606657523,0.6252664335934286,-0.09012907022553758,30,0.7546319026127587,false,false
reasoning,es,pooled,Authority/Subversion,-0.3,-0.5512837842557395,-0.04871621574426044,0.026376200251361892,-0.4272206485148892,30,0.1025741120886296,false,false
reasoning,ja,pooled,Authority/Subversion,0.13333333333333333,-0.1745447337883104,0.4412114004549771,0.4029335146866564,0.1549727819554064,30,0.5424105005397297,false,false
reasoning,ar,pooled,Authority/Subversion,-0.3,-0.533049942849315,-0.06695005715068506,0.017372355451692245,-0.4606464174952623,30,0.07720685987884252,false,true
reasoning,all,pooled,Authority/Subversion,-0.17222222222222222,-0.2801303441123108,-0.06431410033213365,0.002053693010339641,-0.23316044402222688,180,0.02798138646491588,true,true
language,hi,pooled,Care/Harm,-0.12121212121212122,-0.3072631030972551,0.06483886067301264,0.21081224482059824,-0.2222865505553752,33,0.3973693766234638,false,false
language,bn,pooled,Care/Harm,-0.42424242424242425,-0.9069894800869298,0.05850463160208125,0.0946386386185929,-0.29984275764082213,33,0.2459740559155469,false,false
language,ta,pooled,Care/Harm,-0.5757575757575758,-1.101779690673939,-0.04973546084121261,0.03961774082571101,-0.37345197404294994,33,0.1299957120843643,false,false
language,es,pooled,Care/Harm,-0.24242424242424243,-0.7175757575757578,0.23272727272727284,0.3248127139812418,-0.1740776559556978,33,0.4748070663143896,false,false
language,ja,pooled,Care/Harm,-0.2727272727272727,-0.7720869177692191,0.22663237231467376,0.2924194137644276,-0.18634349141534917,33,0.4622039246117047,false,false
language,ar,pooled,Care/Harm,-0.21212121212121213,-0.6928086598519354,0.2685662356095112,0.39351902957503393,-0.15056374901273803,33,0.5366168585114099,false,false
language,all,pooled,Care/Harm,-0.30808080808080807,-0.4932672365825828,-0.12289437957903332,0.001309507656196418,-0.2317282409927855,198,0.02798138646491588,true,true
framing,hi,pooled,Care/Harm,0.030303030303030304,-0.21815964424345272,0.27876570484951335,0.8125945339053031,0.04161251892882395,33,0.8710952105535754,false,false
