scenario_id,language,model,edit_classification,absolute_adaptation_effect,classification_n
S01,Hindi,GPT-4o,structural,0.0,792
S01,Hindi,Claude Sonnet 4.6,structural,0.0,792
S01,Hindi,Gemini 3.5 Flash,structural,0.0,792
S01,Bengali,GPT-4o,structural,1.0,792
S01,Bengali,Claude Sonnet 4.6,structural,1.0,792
S01,Bengali,Gemini 3.5 Flash,structural,0.0,792
S01,Tamil,GPT-4o,structural,1.0,792
S01,Tamil,Claude Sonnet 4.6,structural,0.0,792
S01,Tamil,Gemini 3.5 Flash,structural,0.0,792
S01,Spanish,GPT-4o,structural,0.0,792
S01,Spanish,Claude Sonnet 4.6,structural,1.0,792
S01,Spanish,Gemini 3.5 Flash,structural,1.0,792
S01,Japanese,GPT-4o,mixed,0.0,96
S01,Japanese,Claude Sonnet 4.6,mixed,1.0,96
S01,Japanese,Gemini 3.5 Flash,mixed,1.0,96
S01,Arabic,GPT-4o,mixed,0.0,96
S01,Arabic,Claude Sonnet 4.6,mixed,0.0,96
S01,Arabic,Gemini 3.5 Flash,mixed,1.0,96
S02,Hindi,GPT-4o,structural,0.0,792
S02,Hindi,Claude Sonnet 4.6,structural,0.0,792
S02,Hindi,Gemini 3.5 Flash,structural,0.0,792
S02,Bengali,GPT-4o,structural,1.0,792
S02,Bengali,Claude Sonnet 4.6,structural,0.0,792
S02,Bengali,Gemini 3.5 Flash,structural,0.0,792
S02,Tamil,GPT-4o,structural,0.0,792
S02,Tamil,Claude Sonnet 4.6,structural,0.0,792
S02,Tamil,Gemini 3.5 Flash,structural,0.0,792
S02,Spanish,GPT-4o,uncertain,0.0,9
S02,Spanish,Claude Sonnet 4.6,uncertain,0.0,9
S02,Spanish,Gemini 3.5 Flash,uncertain,0.0,9
S02,Japanese,GPT-4o,structural,0.0,792
S02,Japanese,Claude Sonnet 4.6,structural,0.0,792
S02,Japanese,Gemini 3.5 Flash,structural,0.0,792
S02,Arabic,GPT-4o,structural,0.0,792
S02,Arabic,Claude Sonnet 4.6,structural,0.0,792
S02,Arabic,Gemini 3.5 Flash,structural,0.0,792
S03,Hindi,GPT-4o,mixed,1.0,96
S03,Hindi,Claude Sonnet 4.6,mixed,1.0,96
S03,Hindi,Gemini 3.5 Flash,mixed,0.0,96
S03,Bengali,GPT-4o,structural,0.0,792
S03,Bengali,Claude Sonnet 4.6,structural,0.0,792
S03,Bengali,Gemini 3.5 Flash,structural,1.0,792
S03,Tamil,GPT-4o,structural,1.0,792
S03,Tamil,Claude Sonnet 4.6,structural,0.0,792
S03,Tamil,Gemini 3.5 Flash,structural,0.0,792
S03,Spanish,GPT-4o,mixed,0.0,96
S03,Spanish,Claude Sonnet 4.6,mixed,1.0,96
S03,Spanish,Gemini 3.5 Flash,mixed,0.0,96
S03,Japanese,GPT-4o,structural,1.0,792
S03,Japanese,Claude Sonnet 4.6,structural,1.0,792
S03,Japanese,Gemini 3.5 Flash,structural,1.0,792
S03,Arabic,GPT-4o,structural,1.0,792
S03,Arabic,Claude Sonnet 4.6,structural,0.0,792
S03,Arabic,Gemini 3.5 Flash,structural,1.0,792
S04,Hindi,GPT-4o,structural,0.0,792
S04,Hindi,Claude Sonnet 4.6,structural,0.0,792
S04,Hindi,Gemini 3.5 Flash,structural,0.0,792
S04,Bengali,GPT-4o,structural,0.0,792
S04,Bengali,Claude Sonnet 4.6,structural,0.0,792
S04,Bengali,Gemini 3.5 Flash,structural,0.0,792
S04,Tamil,GPT-4o,structural,0.0,792
S04,Tamil,Claude Sonnet 4.6,structural,0.0,792
S04,Tamil,Gemini 3.5 Flash,structural,0.0,792
S04,Spanish,GPT-4o,mixed,0.0,96
S04,Spanish,Claude Sonnet 4.6,mixed,0.0,96
S04,Spanish,Gemini 3.5 Flash,mixed,0.0,96
S04,Japanese,GPT-4o,structural,0.0,792
S04,Japanese,Claude Sonnet 4.6,structural,0.0,792
S04,Japanese,Gemini 3.5 Flash,structural,1.0,792
S04,Arabic,GPT-4o,structural,0.0,792
S04,Arabic,Claude Sonnet 4.6,structural,0.0,792
S04,Arabic,Gemini 3.5 Flash,structural,0.0,792
S05,Hindi,GPT-4o,structural,0.0,792
S05,Hindi,Claude Sonnet 4.6,structural,0.0,792
S05,Hindi,Gemini 3.5 Flash,structural,0.0,792
S05,Bengali,GPT-4o,structural,1.0,792
S05,Bengali,Claude Sonnet 4.6,structural,0.0,792
S05,Bengali,Gemini 3.5 Flash,structural,0.0,792
S05,Tamil,GPT-4o,structural,0.0,792
S05,Tamil,Claude Sonnet 4.6,structural,0.0,792
S05,Tamil,Gemini 3.5 Flash,structural,0.0,792
S05,Spanish,GPT-4o,mixed,0.0,96
S05,Spanish,Claude Sonnet 4.6,mixed,0.0,96
S05,Spanish,Gemini 3.5 Flash,mixed,0.0,96
S05,Japanese,GPT-4o,structural,0.0,792
S05,Japanese,Claude Sonnet 4.6,structural,0.0,792
