analysis_version,model_key,reference_foundation,invoked_foundation,count,row_total,row_percentage
original_intended,all,Care/Harm,Care/Harm,200,200,1
original_intended,all,Care/Harm,Loyalty/Betrayal,0,200,0
original_intended,all,Care/Harm,Authority/Subversion,0,200,0
original_intended,all,Care/Harm,Fairness/Cheating,0,200,0
original_intended,all,Care/Harm,Sanctity/Degradation,0,200,0
original_intended,all,Loyalty/Betrayal,Care/Harm,0,200,0
original_intended,all,Loyalty/Betrayal,Loyalty/Betrayal,200,200,1
original_intended,all,Loyalty/Betrayal,Authority/Subversion,0,200,0
original_intended,all,Loyalty/Betrayal,Fairness/Cheating,0,200,0
original_intended,all,Loyalty/Betrayal,Sanctity/Degradation,0,200,0
original_intended,all,Authority/Subversion,Care/Harm,101,200,0.505
original_intended,all,Authority/Subversion,Loyalty/Betrayal,86,200,0.43
original_intended,all,Authority/Subversion,Authority/Subversion,13,200,0.065
original_intended,all,Authority/Subversion,Fairness/Cheating,0,200,0
original_intended,all,Authority/Subversion,Sanctity/Degradation,0,200,0
original_intended,all,Fairness/Cheating,Care/Harm,1,200,0.005
original_intended,all,Fairness/Cheating,Loyalty/Betrayal,0,200,0
original_intended,all,Fairness/Cheating,Authority/Subversion,0,200,0
original_intended,all,Fairness/Cheating,Fairness/Cheating,199,200,0.995
original_intended,all,Fairness/Cheating,Sanctity/Degradation,0,200,0
original_intended,all,Sanctity/Degradation,Care/Harm,84,200,0.42
original_intended,all,Sanctity/Degradation,Loyalty/Betrayal,0,200,0
original_intended,all,Sanctity/Degradation,Authority/Subversion,0,200,0
original_intended,all,Sanctity/Degradation,Fairness/Cheating,0,200,0
original_intended,all,Sanctity/Degradation,Sanctity/Degradation,116,200,0.58
original_intended,chatgpt,Care/Harm,Care/Harm,50,50,1
original_intended,chatgpt,Care/Harm,Loyalty/Betrayal,0,50,0
original_intended,chatgpt,Care/Harm,Authority/Subversion,0,50,0
original_intended,chatgpt,Care/Harm,Fairness/Cheating,0,50,0
original_intended,chatgpt,Care/Harm,Sanctity/Degradation,0,50,0
original_intended,chatgpt,Loyalty/Betrayal,Care/Harm,0,50,0
original_intended,chatgpt,Loyalty/Betrayal,Loyalty/Betrayal,50,50,1
original_intended,chatgpt,Loyalty/Betrayal,Authority/Subversion,0,50,0
original_intended,chatgpt,Loyalty/Betrayal,Fairness/Cheating,0,50,0
original_intended,chatgpt,Loyalty/Betrayal,Sanctity/Degradation,0,50,0
original_intended,chatgpt,Authority/Subversion,Care/Harm,26,50,0.52
original_intended,chatgpt,Authority/Subversion,Loyalty/Betrayal,21,50,0.42
original_intended,chatgpt,Authority/Subversion,Authority/Subversion,3,50,0.06
original_intended,chatgpt,Authority/Subversion,Fairness/Cheating,0,50,0
original_intended,chatgpt,Authority/Subversion,Sanctity/Degradation,0,50,0
original_intended,chatgpt,Fairness/Cheating,Care/Harm,0,50,0
original_intended,chatgpt,Fairness/Cheating,Loyalty/Betrayal,0,50,0
original_intended,chatgpt,Fairness/Cheating,Authority/Subversion,0,50,0
original_intended,chatgpt,Fairness/Cheating,Fairness/Cheating,50,50,1
original_intended,chatgpt,Fairness/Cheating,Sanctity/Degradation,0,50,0
original_intended,chatgpt,Sanctity/Degradation,Care/Harm,23,50,0.46
original_intended,chatgpt,Sanctity/Degradation,Loyalty/Betrayal,0,50,0
original_intended,chatgpt,Sanctity/Degradation,Authority/Subversion,0,50,0
original_intended,chatgpt,Sanctity/Degradation,Fairness/Cheating,0,50,0
original_intended,chatgpt,Sanctity/Degradation,Sanctity/Degradation,27,50,0.54
original_intended,claude,Care/Harm,Care/Harm,50,50,1
original_intended,claude,Care/Harm,Loyalty/Betrayal,0,50,0
original_intended,claude,Care/Harm,Authority/Subversion,0,50,0
original_intended,claude,Care/Harm,Fairness/Cheating,0,50,0
original_intended,claude,Care/Harm,Sanctity/Degradation,0,50,0
original_intended,claude,Loyalty/Betrayal,Care/Harm,0,50,0
original_intended,claude,Loyalty/Betrayal,Loyalty/Betrayal,50,50,1
original_intended,claude,Loyalty/Betrayal,Authority/Subversion,0,50,0
original_intended,claude,Loyalty/Betrayal,Fairness/Cheating,0,50,0
original_intended,claude,Loyalty/Betrayal,Sanctity/Degradation,0,50,0
original_intended,claude,Authority/Subversion,Care/Harm,25,50,0.5
original_intended,claude,Authority/Subversion,Loyalty/Betrayal,21,50,0.42
original_intended,claude,Authority/Subversion,Authority/Subversion,4,50,0.08
original_intended,claude,Authority/Subversion,Fairness/Cheating,0,50,0
original_intended,claude,Authority/Subversion,Sanctity/Degradation,0,50,0
original_intended,claude,Fairness/Cheating,Care/Harm,0,50,0
original_intended,claude,Fairness/Cheating,Loyalty/Betrayal,0,50,0
original_intended,claude,Fairness/Cheating,Authority/Subversion,0,50,0
original_intended,claude,Fairness/Cheating,Fairness/Cheating,50,50,1
original_intended,claude,Fairness/Cheating,Sanctity/Degradation,0,50,0
original_intended,claude,Sanctity/Degradation,Care/Harm,22,50,0.44
original_intended,claude,Sanctity/Degradation,Loyalty/Betrayal,0,50,0
original_intended,claude,Sanctity/Degradation,Authority/Subversion,0,50,0
original_intended,claude,Sanctity/Degradation,Fairness/Cheating,0,50,0
original_intended,claude,Sanctity/Degradation,Sanctity/Degradation,28,50,0.56
original_intended,gemini_flash,Care/Harm,Care/Harm,50,50,1
original_intended,gemini_flash,Care/Harm,Loyalty/Betrayal,0,50,0
original_intended,gemini_flash,Care/Harm,Authority/Subversion,0,50,0
original_intended,gemini_flash,Care/Harm,Fairness/Cheating,0,50,0
original_intended,gemini_flash,Care/Harm,Sanctity/Degradation,0,50,0
original_intended,gemini_flash,Loyalty/Betrayal,Care/Harm,0,50,0
original_intended,gemini_flash,Loyalty/Betrayal,Loyalty/Betrayal,50,50,1
original_intended,gemini_flash,Loyalty/Betrayal,Authority/Subversion,0,50,0
original_intended,gemini_flash,Loyalty/Betrayal,Fairness/Cheating,0,50,0
original_intended,gemini_flash,Loyalty/Betrayal,Sanctity/Degradation,0,50,0
original_intended,gemini_flash,Authority/Subversion,Care/Harm,25,50,0.5
original_intended,gemini_flash,Authority/Subversion,Loyalty/Betrayal,23,50,0.46
original_intended,gemini_flash,Authority/Subversion,Authority/Subversion,2,50,0.04
original_intended,gemini_flash,Authority/Subversion,Fairness/Cheating,0,50,0
original_intended,gemini_flash,Authority/Subversion,Sanctity/Degradation,0,50,0
original_intended,gemini_flash,Fairness/Cheating,Care/Harm,1,50,0.02
original_intended,gemini_flash,Fairness/Cheating,Loyalty/Betrayal,0,50,0
original_intended,gemini_flash,Fairness/Cheating,Authority/Subversion,0,50,0
original_intended,gemini_flash,Fairness/Cheating,Fairness/Cheating,49,50,0.98
original_intended,gemini_flash,Fairness/Cheating,Sanctity/Degradation,0,50,0
original_intended,gemini_flash,Sanctity/Degradation,Care/Harm,20,50,0.4
original_intended,gemini_flash,Sanctity/Degradation,Loyalty/Betrayal,0,50,0
original_intended,gemini_flash,Sanctity/Degradation,Authority/Subversion,0,50,0
original_intended,gemini_flash,Sanctity/Degradation,Fairness/Cheating,0,50,0
original_intended,gemini_flash,Sanctity/Degradation,Sanctity/Degradation,30,50,0.6
original_intended,gemini_pro,Care/Harm,Care/Harm,50,50,1
original_intended,gemini_pro,Care/Harm,Loyalty/Betrayal,0,50,0
original_intended,gemini_pro,Care/Harm,Authority/Subversion,0,50,0
original_intended,gemini_pro,Care/Harm,Fairness/Cheating,0,50,0
original_intended,gemini_pro,Care/Harm,Sanctity/Degradation,0,50,0
original_intended,gemini_pro,Loyalty/Betrayal,Care/Harm,0,50,0
original_intended,gemini_pro,Loyalty/Betrayal,Loyalty/Betrayal,50,50,1
original_intended,gemini_pro,Loyalty/Betrayal,Authority/Subversion,0,50,0
original_intended,gemini_pro,Loyalty/Betrayal,Fairness/Cheating,0,50,0
original_intended,gemini_pro,Loyalty/Betrayal,Sanctity/Degradation,0,50,0
original_intended,gemini_pro,Authority/Subversion,Care/Harm,25,50,0.5
original_intended,gemini_pro,Authority/Subversion,Loyalty/Betrayal,21,50,0.42
original_intended,gemini_pro,Authority/Subversion,Authority/Subversion,4,50,0.08
original_intended,gemini_pro,Authority/Subversion,Fairness/Cheating,0,50,0
original_intended,gemini_pro,Authority/Subversion,Sanctity/Degradation,0,50,0
original_intended,gemini_pro,Fairness/Cheating,Care/Harm,0,50,0
original_intended,gemini_pro,Fairness/Cheating,Loyalty/Betrayal,0,50,0
original_intended,gemini_pro,Fairness/Cheating,Authority/Subversion,0,50,0
original_intended,gemini_pro,Fairness/Cheating,Fairness/Cheating,50,50,1
original_intended,gemini_pro,Fairness/Cheating,Sanctity/Degradation,0,50,0
original_intended,gemini_pro,Sanctity/Degradation,Care/Harm,19,50,0.38
original_intended,gemini_pro,Sanctity/Degradation,Loyalty/Betrayal,0,50,0
original_intended,gemini_pro,Sanctity/Degradation,Authority/Subversion,0,50,0
original_intended,gemini_pro,Sanctity/Degradation,Fairness/Cheating,0,50,0
original_intended,gemini_pro,Sanctity/Degradation,Sanctity/Degradation,31,50,0.62
