effect_type,language,model_key,mft_foundation,mean_diff,ci_lower,ci_upper,p_value,cohens_d,n
language,hi,chatgpt,all,0.34,0.05660458719308814,0.6233954128069119,0.02276394142940319,0.33255016679029503,50
language,bn,chatgpt,all,0.2,-0.03758787847867995,0.43758787847867997,0.10535690639195039,0.23333333333333334,50
language,ta,chatgpt,all,-0.08,-0.3754762934653134,0.21547629346531338,0.5980454775175574,-0.07504787743864565,50
language,es,chatgpt,all,0.16,-0.07332586654719622,0.39332586654719626,0.18512475587061838,0.19007638532459656,50
language,ja,chatgpt,all,0.16,-0.09268351746799788,0.4126835174679979,0.22048580214437496,0.17551495942602235,50
language,ar,chatgpt,all,0.26,-0.01325475293213102,0.533254752932131,0.06818618525242481,0.2637404193896408,50
language,all,chatgpt,all,0.17333333333333334,0.06560403994461762,0.28106262672204907,0.0017767468621474602,0.18207223428538183,300
framing,hi,chatgpt,all,-0.32,-0.579298746622501,-0.06070125337749899,0.019330112430929747,-0.3420744441976546,50
framing,bn,chatgpt,all,-0.16,-0.4475151474270529,0.12751514742705292,0.2807284780368273,-0.15425182886154712,50
framing,ta,chatgpt,all,-0.22,-0.571017720350412,0.13101772035041195,0.2251539975587451,-0.17372595534109278,50
framing,es,chatgpt,all,-0.28,-0.5712,0.011199999999999988,0.06542032302251632,-0.2665248636780064,50
framing,ja,chatgpt,all,0.14,-0.07695935103147777,0.3569593510314778,0.2119422251514751,0.17886309102154122,50
framing,ar,chatgpt,all,-0.26,-0.5951121603284488,0.07511216032844881,0.1347662148765325,-0.21505732011603998,50
framing,all,chatgpt,all,-0.18333333333333332,-0.3034549303408356,-0.06321173632583103,0.003008076818040495,-0.17270932280050216,300
reasoning,hi,chatgpt,all,0.04,-0.1765976915851136,0.2565976915851136,0.7189372398065832,0.05118906968889915,50
reasoning,bn,chatgpt,all,-0.02,-0.1626626790719984,0.12266267907199842,0.784645093578968,-0.03885891671573581,50
reasoning,ta,chatgpt,all,0.34,0.09201419395457328,0.5879858060454268,0.009812011138838006,0.3800346209301968,50
reasoning,es,chatgpt,all,-0.14,-0.3640699890659166,0.08406998906591659,0.22657437446862083,-0.1731870488916828,50
reasoning,ja,chatgpt,all,0.3,0.11217028989001765,0.48782971010998233,0.0029398156750055637,0.44271887242357305,50
reasoning,ar,chatgpt,all,0.16,-0.05220970760075991,0.3722097076007599,0.14586510463189284,0.2089901438413812,50
reasoning,all,chatgpt,all,0.11333333333333333,0.02697237900039315,0.1996942876662735,0.010589663276112438,0.1485031525955146,300
language,hi,claude,all,-0.1,-0.29600000000000004,0.09600000000000003,0.3222234063354157,-0.14142135623730948,50
language,bn,claude,all,-0.26,-0.4895999999999999,-0.030400000000000066,0.031111977801038693,-0.3138864248193943,50
