scenario_id,mft_category,mft_foundation,moral_structure_en,text_en,text_hi_b,text_hi_c,text_bn_b,text_bn_c,text_ta_b,text_ta_c,text_es_b,text_es_c,text_ja_b,text_ja_c,text_ar_b,text_ar_c
S26,Direct Harm,Care/Harm,Extension source S01: Care,"For nearly a year, Emma has been helping her elderly neighbor, Mr. Harris, by picking up his blood pressure medicine every Thursday. Mr. Harris lives alone and has no close family nearby. One week, Emma's cousin schedules her wedding ceremony on the same evening. Emma realizes she will not have enough time to do both. She decides to attend the wedding without telling anyone that Mr. Harris will miss his medicine. By the following afternoon, Mr. Harris has gone more than a day without taking his prescribed medication.","लगभग एक वर्ष से एमा हर गुरुवार अपने बुज़ुर्ग पड़ोसी श्री हैरिस के लिए रक्तचाप की दवा लेकर आती रही है। श्री हैरिस अकेले रहते हैं और उनका कोई निकट संबंधी आसपास नहीं रहता। एक सप्ताह एमा की चचेरी बहन की शादी उसी शाम तय हो जाती है। एमा समझ जाती है कि वह दोनों काम नहीं कर पाएगी। वह किसी को बताए बिना शादी में जाने का निर्णय लेती है, जिसके कारण श्री हैरिस अपनी दवा नहीं ले पाते। अगले दिन दोपहर तक वे एक दिन से अधिक समय तक अपनी निर्धारित दवा नहीं ले पाए होते हैं।",लगभग एक साल से रिया हर गुरुवार अपनी कॉलोनी में अकेले रहने वाले शर्मा अंकल के लिए सरकारी अस्पताल से उनकी ब्लड प्रेशर की दवा लेकर आती है। शर्मा अंकल का कोई करीबी रिश्तेदार शहर में नहीं रहता। उसी दिन रिया के चचेरे भाई की शादी की रस्में होती हैं। रिया समझ जाती है कि दोनों जगह जाना संभव नहीं होगा। वह बिना किसी को बताए शादी में चली जाती है और सोचती है कि अगले दिन दवा दे देगी। अगले दिन दोपहर तक शर्मा अंकल अपनी ज़रूरी दवा लिए बिना एक दिन से अधिक समय बिता चुके होते हैं।,প্রায় এক বছর ধরে এমা প্রতি বৃহস্পতিবার তাঁর বৃদ্ধ প্রতিবেশী মি. হ্যারিসের রক্তচাপের ওষুধ নিয়ে আসছেন।,প্রায় এক বছর ধরে রিমা তাঁদের পাড়ার একা থাকা সেন কাকুর জন্য প্রতি বৃহস্পতিবার সরকারি হাসপাতাল থেকে রক্তচাপের ওষুধ নিয়ে আসে।,கிட்டத்தட்ட ஒரு வருடமாக எம்மா ஒவ்வொரு வியாழக்கிழமையும் தனது வயதான அயலவருக்கான இரத்த அழுத்த மருந்தை வாங்கி வருகிறார்.,கிட்டத்தட்ட ஒரு வருடமாக காவ்யா தனது தெருவில் தனியாக வசிக்கும் ராமசாமி தாத்தாவுக்கு அரசு மருத்துவமனையிலிருந்து இரத்த அழுத்த மருந்தை வாங்கி வந்து கொடுத்து வருகிறார்.,"Durante casi un año, Emma ha recogido todos los jueves el medicamento para la presión arterial de su vecino anciano.","Durante casi un año, Lucía ha recogido cada jueves la medicación para la tensión de don Manuel, un vecino mayor que vive solo en su barrio.",エマは約1年間、毎週木曜日に高齢の隣人の血圧の薬を届けていました。,約1年間、美咲は毎週木曜日に、一人暮らしをしている近所の佐藤さんの血圧の薬を届けていました。,منذ ما يقرب من عام، كانت إيما تحضر كل يوم خميس دواء ضغط الدم لجارها المسن.,منذ نحو عام، اعتادت سارة إحضار دواء ضغط الدم كل خميس للحاج أحمد الذي يعيش وحده.
S27,Direct Harm,Care/Harm,Extension source S02: Care,A teenager records a classmate being bullied instead of helping. The video is shared online while the victim receives no immediate support.,एक किशोर मदद करने के बजाय अपने सहपाठी के साथ हो रही बदमाशी का वीडियो रिकॉर्ड करता है। वीडियो ऑनलाइन साझा कर दिया जाता है जबकि पीड़ित को तुरंत कोई सहायता नहीं मिलती।,एक छात्र अपने स्कूल में एक बच्चे को परेशान होते देख मदद करने के बजाय वीडियो बनाकर सोशल मीडिया पर डाल देता है। पीड़ित को तुरंत किसी शिक्षक या मित्र से सहायता नहीं मिलती।,এক কিশোর সাহায্য না করে সহপাঠীকে নিগৃহীত হওয়ার ভিডিও ধারণ করে।,একজন ছাত্র সহপাঠীকে হেনস্থা হতে দেখে সাহায্য না করে ভিডিওটি সামাজিক মাধ্যমে ছড়িয়ে দেয়।,ஒரு மாணவன் உதவுவதற்கு பதிலாக நண்பர் துன்புறுத்தப்படுவதை பதிவு செய்கிறான்.,ஒரு பள்ளி மாணவன் துன்புறுத்தலை தடுக்காமல் வீடியோ எடுத்து சமூக ஊடகத்தில் பகிர்கிறான்.,Un adolescente graba el acoso a un compañero en lugar de ayudarlo.,Un estudiante graba el acoso y lo publica en redes sociales en vez de intervenir.,10代の生徒はいじめを止めずに動画を撮影します。,生徒はいじめを止めず、その様子をSNSへ投稿します。,يقوم مراهق بتصوير زميله الذي يتعرض للتنمر بدلًا من مساعدته.,يقوم طالب بتصوير حادثة تنمر ونشرها على وسائل التواصل بدلًا من التدخل.
S28,Fairness Violation,Fairness/Cheating,Extension source S03: Fairness,"A cashier accidentally gives a customer extra change, and the customer notices the mistake but keeps the money.",कैशियर गलती से ग्राहक को अधिक पैसे लौटा देता है और ग्राहक पैसे रख लेता है।,दुकानदार गलती से ज़्यादा छुट्टे दे देता है और ग्राहक चुपचाप घर चला जाता है।,"ক্যাশিয়ার ভুল করে বেশি টাকা ফেরত দেয়, ক্রেতা তা রেখে দেয়।",দোকানদার বেশি খুচরো দিলে ক্রেতা তা ফেরত না দিয়ে চলে যায়।,காசாளர் தவறுதலாக அதிக பணம் திருப்பித் தருகிறார்; வாடிக்கையாளர் அதை வைத்துக்கொள்கிறார்.,"கடைக்காரர் அதிக சில்லறை கொடுக்க, வாடிக்கையாளர் அமைதியாக வைத்துக்கொள்கிறார்.",Un cajero devuelve dinero de más y el cliente se lo queda.,Un tendero da cambio de más y el cliente decide no decir nada.,店員がお釣りを多く渡し、客はそのまま受け取ります。,客は多くのお釣りに気づいても返しません。,يعطي أمين الصندوق مبلغًا زائدًا من المال ويحتفظ به الزبون.,يعطي البائع باقيًا أكثر من اللازم ويقرر الزبون عدم إعادته.
S29,Betrayal of Trust,Loyalty/Betrayal,Extension source S04: Loyalty,A player secretly shares the team's strategy with a rival before an important match.,एक खिलाड़ी चुपके से अपनी टीम की रणनीति प्रतिद्वंद्वी को बता देता है।,एक खिलाड़ी अपने क्लब की रणनीति विरोधी टीम के दोस्त को बता देता है।,এক খেলোয়াড় গোপনে প্রতিপক্ষকে দলের পরিকল্পনা জানায়।,একজন খেলোয়াড় প্রতিদ্বন্দ্বী ক্লাবকে নিজের দলের কৌশল ফাঁস করে।,ஒரு வீரர் அணியின் திட்டத்தை எதிரணியிடம் சொல்கிறார்.,ஒரு கிளப் வீரர் தனது அணியின் யுக்தியை எதிரணி கிளப்பிற்கு கசக்குகிறார்.,Un jugador comparte en secreto la estrategia del equipo con el rival.,Un jugador filtra la estrategia de su club al equipo rival.,選手がチームの作戦をライバルに漏らします。,クラブの選手が自チームの作戦をライバルクラブへ漏らします。,يكشف لاعب خطة فريقه سرًا للمنافس.,يسرب لاعب خطة ناديه إلى النادي المنافس.
S30,Defiance of Authority,Authority/Subversion,Extension source S05: Authority,An employee ignores a mandatory safety rule to finish work faster.,एक कर्मचारी काम जल्दी खत्म करने के लिए अनिवार्य सुरक्षा नियम की अनदेखी करता है।,एक कर्मचारी फैक्ट्री के सुरक्षा नियमों को नज़रअंदाज़ कर जल्दी घर जाने की कोशिश करता है।,এক কর্মচারী দ্রুত কাজ শেষ করতে নিরাপত্তা নিয়ম মানে না।,একজন কর্মী কারখানার নিরাপত্তা বিধি এড়িয়ে দ্রুত বাড়ি যেতে চান।,ஒரு ஊழியர் வேலையை விரைவாக முடிக்க பாதுகாப்பு விதியை பின்பற்றவில்லை.,ஒரு தொழிற்சாலை ஊழியர் சீக்கிரம் வீட்டுக்கு செல்ல பாதுகாப்பு விதியை மீறுகிறார்.,Un empleado ignora una norma de seguridad para terminar antes.,Un trabajador incumple una norma de seguridad para salir antes del trabajo.,従業員は早く終えるため安全規則を無視します。,工場の従業員は早く帰るため安全規則を破ります。,يتجاهل موظف قاعدة سلامة إلزامية لإنهاء العمل بسرعة.,يتجاوز عامل في المصنع قواعد السلامة ليغادر العمل مبكرًا.
S31,Fairness Violation,Fairness/Cheating,Extension source S06: Fairness,A university student copies parts of a friend's assignment without permission and submits it as their own.,एक विश्वविद्यालय का छात्र अपने मित्र के असाइनमेंट के कुछ भाग बिना अनुमति के कॉपी करके अपने नाम से जमा कर देता है।,एक कॉलेज छात्र अपने दोस्त की प्रैक्टिकल फ़ाइल से उत्तर नकल करके अपने नाम से जमा कर देता है।,একজন বিশ্ববিদ্যালয়ের ছাত্র বন্ধুর অ্যাসাইনমেন্টের অংশ নকল করে নিজের নামে জমা দেয়।,একজন কলেজ ছাত্র বন্ধুর প্র্যাকটিক্যাল খাতা থেকে উত্তর নকল করে নিজের নামে জমা দেয়।,ஒரு பல்கலைக்கழக மாணவர் நண்பரின் பணியை நகலெடுத்து தன்னுடையதாக சமர்ப்பிக்கிறார்.,ஒரு கல்லூரி மாணவர் நண்பரின் பதிவு புத்தகத்தை நகலெடுத்து தனது பெயரில் சமர்ப்பிக்கிறார்.,Un estudiante universitario copia parte del trabajo de un amigo y lo entrega como propio.,Un estudiante copia el informe de un compañero y lo entrega con su nombre.,大学生が友人の課題の一部を無断で写して提出します。,学生は友人のレポートを写し、自分の名前で提出します。,ينسخ طالب جامعي جزءًا من واجب صديقه ويقدمه باسمه.,ينقل طالب تقرير زميله ويقدمه باسمه في الجامعة.
S32,Betrayal of Trust,Loyalty/Betrayal,Extension source S07: Loyalty,A close friend reveals a private secret to become more popular with a new group.,एक करीबी मित्र अधिक लोकप्रिय बनने के लिए निजी रहस्य बता देता है।,एक छात्र नए दोस्तों में घुलने-मिलने के लिए अपने सबसे अच्छे दोस्त की निजी बात सबको बता देता है।,একজন ঘনিষ্ঠ বন্ধু জনপ্রিয় হতে গোপন কথা ফাঁস করে।,নতুন বন্ধুদের কাছে গ্রহণযোগ্য হতে একজন ছাত্র তার বন্ধুর ব্যক্তিগত কথা ফাঁস করে।,ஒரு நெருங்கிய நண்பர் ரகசியத்தை வெளிப்படுத்துகிறார்.,புதிய நண்பர்களிடம் பிரபலமாக இருக்க ஒரு மாணவர் தனது நண்பரின் ரகசியத்தை சொல்கிறான்.,Un amigo cercano revela un secreto privado para ser más popular.,Un estudiante cuenta el secreto de su mejor amigo para encajar en un nuevo grupo.,親しい友人が人気を得るため秘密を漏らします。,新しい友人グループに受け入れられるため親友の秘密を話します。,يفشي صديق مقرب سرًا خاصًا ليصبح أكثر شعبية.,يكشف طالب سر صديقه ليكسب قبول مجموعة جديدة.
S33,Defiance of Authority,Authority/Subversion,Extension source S08: Authority,A laboratory assistant ignores instructions from the supervisor to save time.,एक प्रयोगशाला सहायक समय बचाने के लिए पर्यवेक्षक के निर्देशों की अनदेखी करता है।,एक लैब असिस्टेंट शिक्षक की सुरक्षा संबंधी हिदायतों को नज़रअंदाज़ कर प्रक्रिया पूरी करता है।,একজন ল্যাব সহকারী তত্ত্বাবধায়কের নির্দেশ মানে না।,একজন ল্যাব সহকারী শিক্ষকের নির্দেশ এড়িয়ে কাজ শেষ করে।,ஒரு ஆய்வக உதவியாளர் மேற்பார்வையாளரின் அறிவுறுத்தலை பின்பற்றவில்லை.,ஒரு லாப் உதவியாளர் ஆசிரியரின் பாதுகாப்பு அறிவுறுத்தலை மீறுகிறார்.,Un asistente de laboratorio ignora las instrucciones del supervisor.,Un asistente de laboratorio omite las indicaciones del profesor para terminar antes.,実験助手は指導者の指示を無視します。,実験助手は教員の安全指示を守りません。,يتجاهل مساعد المختبر تعليمات المشرف.,يتجاوز مساعد المختبر تعليمات الأستاذ لتوفير الوقت.
S34,Purity/Sanctity,Sanctity/Degradation,Extension source S09: Sanctity,Someone deliberately throws garbage into a clean river during a community event.,एक व्यक्ति सामुदायिक कार्यक्रम के दौरान जानबूझकर साफ़ नदी में कचरा फेंकता है।,एक व्यक्ति गंगा सफाई अभियान के दौरान जानबूझकर नदी में प्लास्टिक फेंक देता है।,একজন ব্যক্তি ইচ্ছাকৃতভাবে পরিষ্কার নদীতে আবর্জনা ফেলে।,নদী পরিষ্কার অভিযানের সময় একজন ব্যক্তি ইচ্ছে করে প্লাস্টিক নদীতে ফেলে।,ஒருவர் சுத்தமான நதியில் குப்பை எறிகிறார்.,ஆற்றை சுத்தப்படுத்தும் நிகழ்ச்சியிலேயே ஒருவர் பிளாஸ்டிக் குப்பையை ஆற்றில் வீசுகிறார்.,Una persona tira basura a un río limpio durante un evento comunitario.,"Durante una jornada de limpieza, una persona arroja plástico al río.",地域活動中にきれいな川へごみを捨てます。,清掃活動中にもかかわらず川へプラスチックごみを捨てます。,يرمي شخص القمامة في نهر نظيف أثناء فعالية مجتمعية.,يلقي شخص نفايات بلاستيكية في النهر أثناء حملة تنظيف.
S35,Direct Harm,Care/Harm,Extension source S10: Care,A doctor notices an exhausted colleague making a dangerous mistake but chooses not to intervene.,एक डॉक्टर अपने थके हुए सहकर्मी की खतरनाक गलती देखकर भी हस्तक्षेप नहीं करता।,एक सरकारी अस्पताल का डॉक्टर अपने थके हुए साथी डॉक्टर की गंभीर गलती देखकर भी चुप रहता है।,একজন চিকিৎসক সহকর্মীর বিপজ্জনক ভুল দেখেও কিছু বলেন না।,সরকারি হাসপাতালের একজন ডাক্তার সহকর্মীর গুরুতর ভুল দেখেও চুপ থাকেন।,ஒரு மருத்துவர் சக மருத்துவரின் ஆபத்தான தவறை கவனித்தும் தலையிடவில்லை.,அரசு மருத்துவமனையில் ஒரு மருத்துவர் சக மருத்துவரின் தவறை பார்த்தும் அமைதியாக இருக்கிறார்.,Un médico observa un error peligroso de un colega y no interviene.,Un médico de un hospital público ve un grave error de un compañero y guarda silencio.,医師は同僚の危険なミスに気づいても介入しません。,病院で同僚医師の重大なミスを見ても何もしません。,يلاحظ طبيب خطأً خطيرًا لزميله لكنه لا يتدخل.,يشاهد طبيب في مستشفى حكومي خطأً خطيرًا من زميله ويختار الصمت.
