input_language,model_key,correct_items,total_items,work_units_4_of_4,total_work_units,accuracy,4_of_4_proportion
ar,chatgpt,152,160,32,40,0.95,0.8
ar,claude,155,160,35,40,0.96875,0.875
ar,gemini_flash,156,160,36,40,0.975,0.9
bn,chatgpt,147,160,28,40,0.91875,0.7
bn,claude,154,160,34,40,0.9625,0.85
bn,gemini_flash,156,160,36,40,0.975,0.9
es,chatgpt,153,160,33,40,0.95625,0.825
es,claude,155,160,35,40,0.96875,0.875
es,gemini_flash,155,160,35,40,0.96875,0.875
hi,chatgpt,153,160,33,40,0.95625,0.825
hi,claude,159,160,39,40,0.99375,0.975
hi,gemini_flash,157,160,37,40,0.98125,0.925
ja,chatgpt,151,160,33,40,0.94375,0.825
ja,claude,156,160,36,40,0.975,0.9
ja,gemini_flash,158,160,38,40,0.9875,0.95
ta,chatgpt,145,160,27,40,0.90625,0.675
ta,claude,155,160,35,40,0.96875,0.875
ta,gemini_flash,158,160,38,40,0.9875,0.95
