question_id,incorrect_items,attempts,error_rate,scenario_id,foundation,shift_tier,question_type,question_en,option_A,option_B,option_C,option_D,correct_option,ambiguity_flag,ambiguity_note
S28_Q1,27,36,0.75,S28,Fairness/Cheating,high,Actor,"In the scenario concerning an error during a cash transaction, who performed the central action?",The customer who noticed the mistake,The cashier,A store manager,The next customer,A,Pending human review,
S20_Q1,21,36,0.5833333333333334,S20,Fairness/Cheating,high,Actor,"In the scenario concerning a disputed hiring decision, who performed the central action?",The junior panellist,The senior hiring-panel member,The passed-over candidate,The firm's receptionist,B,Pending human review,
S18_Q1,11,36,0.3055555555555556,S18,Fairness/Cheating,low,Actor,"In the scenario concerning credit for a university report, who performed the central action?",The co-author who wrote half the report,The course tutor,The student who was asked to handle formatting and submission,A library assistant,C,Pending human review,
S26_Q1,10,36,0.2777777777777778,S26,Care/Harm,high,Actor,"In the scenario concerning a conflict involving weekly assistance, who performed the central action?",The neighbor who usually collected the medicine,The elderly neighbor,The cousin holding the wedding,A pharmacist,A,Pending human review,
S26_Q2,10,36,0.2777777777777778,S26,Care/Harm,high,Main action,"In the scenario concerning a conflict involving weekly assistance, what central action was taken?",She postponed the wedding,She attended the wedding without arranging the medicine pickup,She delivered the medicine early,She asked the pharmacist to visit,B,Pending human review,
S43_Q1,6,36,0.16666666666666666,S43,Authority/Subversion,high,Actor,"In the scenario concerning an evacuation during an emergency, who performed the central action?",The incident commander,The firefighter who received the evacuation order,A journalist,A building owner,B,Pending human review,
S22_Q1,4,36,0.1111111111111111,S22,Sanctity/Degradation,high,Actor,"In the scenario concerning a family name used for a snack product, who performed the central action?",Her grandfather,The family member who ran the food business,Her parents,A retail customer,B,Pending human review,
S02_Q1,3,36,0.08333333333333333,S02,Care/Harm,low,Actor,"In the scenario concerning an incident beside a park pond, who performed the central action?",The gardener,The child,A parent,The passerby who saw the struggling child,D,Pending human review,
S48_Q1,3,36,0.08333333333333333,S48,Authority/Subversion,high,Actor,"In the scenario concerning an order during a police operation, who performed the central action?",The police officer who received the order,The senior officer,A civilian witness,A dispatcher,A,Pending human review,
S49_Q1,3,36,0.08333333333333333,S49,Sanctity/Degradation,low,Actor,"In the scenario concerning damage at a cemetery, who performed the central action?",The memorial owners,A groundskeeper,The people vandalizing the cemetery,A visitor reporting damage,C,Pending human review,
S12_Q1,2,36,0.05555555555555555,S12,Authority/Subversion,low,Actor,"In the scenario concerning a hospital protocol discussion, who performed the central action?",The supervising consultant,A nursing administrator,The junior doctor who compiled the delay data,An elderly patient,C,Pending human review,
S33_Q4,2,36,0.05555555555555555,S33,Authority/Subversion,low,Consequence/outcome,"In the scenario concerning instructions in a laboratory, what consequence or outcome is explicitly stated?",The work took longer because every instruction was followed,The supervisor cancelled the task,The instructions were bypassed in order to finish faster,The laboratory moved buildings,C,Pending human review,
S33_Q1,1,36,0.027777777777777776,S33,Authority/Subversion,low,Actor,"In the scenario concerning instructions in a laboratory, who performed the central action?",The supervisor,A visiting student,A patient,The laboratory assistant,D,Pending human review,
S40_Q2,1,36,0.027777777777777776,S40,Care/Harm,high,Main action,"In the scenario concerning a delayed bus route, what central action was taken?",The driver stopped and waited with the child,The child boarded another bus,The driver continued the route to remain on schedule,A passenger called the school,C,Pending human review,
S47_Q4,1,36,0.027777777777777776,S47,Loyalty/Betrayal,low,Consequence/outcome,"In the scenario concerning confidential plans at a company, what consequence or outcome is explicitly stated?",The plans remained inside the company,The employee donated the plans to a library,The competitor received the plans for the employee's personal gain,The competitor ceased operating,C,Pending human review,
S02_Q2,0,36,0.0,S02,Care/Harm,low,Main action,"In the scenario concerning an incident beside a park pond, what central action was taken?",He walked on because he did not want his clothes to get wet,He entered the pond immediately,He called the gardener before leaving,He carried the child to a clinic,A,Pending human review,
S02_Q3,0,36,0.0,S02,Care/Harm,low,Affected party/object,"In the scenario concerning an incident beside a park pond, who or what was directly affected?",The gardener's equipment,The child struggling in the shallow pond,The meeting organizer,A nearby family,B,Pending human review,
S02_Q4,0,36,0.0,S02,Care/Harm,low,Consequence/outcome,"In the scenario concerning an incident beside a park pond, what consequence or outcome is explicitly stated?",The child climbed out before anyone arrived,The passerby missed his meeting,"A gardener found the child two minutes later, shaken and frightened",The pond was permanently closed,C,Pending human review,
S05_Q1,0,36,0.0,S05,Care/Harm,low,Actor,"In the scenario concerning missed appointment support, who performed the central action?",The anxious sister,Her doctor,The brother who had promised to accompany his sister,A professional contact,C,Pending human review,
S05_Q2,0,36,0.0,S05,Care/Harm,low,Main action,"In the scenario concerning missed appointment support, what central action was taken?",He attended the appointment and missed lunch,He rescheduled the appointment himself,He asked the doctor to visit at home,He cancelled an hour before the appointment to attend a career lunch,D,Pending human review,
S05_Q3,0,36,0.0,S05,Care/Harm,low,Affected party/object,"In the scenario concerning missed appointment support, who or what was directly affected?",The younger sister who could not manage the appointment alone,The professional contacts,The hospital receptionist,Their parents,A,Pending human review,
S05_Q4,0,36,0.0,S05,Care/Harm,low,Consequence/outcome,"In the scenario concerning missed appointment support, what consequence or outcome is explicitly stated?",She attended alone and recovered,She cancelled the appointment and her condition later deteriorated,The lunch was postponed,The doctor ended her treatment,B,Pending human review,
S06_Q1,0,36,0.0,S06,Loyalty/Betrayal,low,Actor,"In the scenario concerning confidential information in a promotion competition, who performed the central action?",The employee with the prior dismissal,The department manager,The colleague competing for the same promotion,A former employer,C,Pending human review,
S06_Q2,0,36,0.0,S06,Loyalty/Betrayal,low,Main action,"In the scenario concerning confidential information in a promotion competition, what central action was taken?",She withdrew from the promotion contest,She defended him to the manager,She asked him to disclose it himself,She disclosed her colleague's confidential past dismissal to the manager,D,Pending human review,
S06_Q3,0,36,0.0,S06,Loyalty/Betrayal,low,Affected party/object,"In the scenario concerning confidential information in a promotion competition, who or what was directly affected?",The colleague who had shared the information in confidence,The department's customers,A new applicant,The former employer's accountant,A,Pending human review,
S06_Q4,0,36,0.0,S06,Loyalty/Betrayal,low,Consequence/outcome,"In the scenario concerning confidential information in a promotion competition, what consequence or outcome is explicitly stated?",Both colleagues were promoted,He did not receive the promotion,The manager ignored the information and resigned,The promotion process was cancelled,B,Pending human review,
S12_Q2,0,36,0.0,S12,Authority/Subversion,low,Main action,"In the scenario concerning a hospital protocol discussion, what central action was taken?",She destroyed the data,She discussed it privately and cancelled the meeting,She asked the supervisor to present it,She presented the data publicly without first discussing it with her supervisor,D,Pending human review,
S12_Q3,0,36,0.0,S12,Authority/Subversion,low,Affected party/object,"In the scenario concerning a hospital protocol discussion, who or what was directly affected?",The supervising consultant and his established intake protocol,The hospital cafeteria,A private pharmacy,A medical school applicant,A,Pending human review,
S12_Q4,0,36,0.0,S12,Authority/Subversion,low,Consequence/outcome,"In the scenario concerning a hospital protocol discussion, what consequence or outcome is explicitly stated?",The protocol was changed during the meeting,The supervisor did not speak to her directly for two weeks,She was immediately promoted,The hospital closed the ward,B,Pending human review,
S18_Q2,0,36,0.0,S18,Fairness/Cheating,low,Main action,"In the scenario concerning credit for a university report, what central action was taken?",He listed both students equally,He removed his own name,He asked the tutor to assign authorship,He listed himself as primary author and his co-author as a contributor,D,Pending human review,
S18_Q3,0,36,0.0,S18,Fairness/Cheating,low,Affected party/object,"In the scenario concerning credit for a university report, who or what was directly affected?",The co-author whose equal contribution was understated,The tutor's research team,A different class,The university library,A,Pending human review,
