runId,mode,status,attemptCount,modelKey,modelString,scenarioId,mft_category,mft_foundation,conditionId,inputLang,reasoningLang,scenarioVersion,taskType,parsedRating,rawOutput,errorNote,cost,createdAt,updatedAt
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S01,Direct Harm,Care/Harm,en_en,en,en,en,rating,7,7,,0.000485,2026-06-23T11:48:28.316Z,2026-06-23T11:48:37.469Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S02,Direct Harm,Care/Harm,en_en,en,en,en,rating,7,7,,0.0004825,2026-06-23T11:48:28.316Z,2026-06-23T11:48:38.939Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S03,Direct Harm,Care/Harm,en_en,en,en,en,rating,6,6,,0.000555,2026-06-23T11:48:28.316Z,2026-06-23T11:48:39.728Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S04,Direct Harm,Care/Harm,en_en,en,en,en,rating,7,7,,0.0004925,2026-06-23T11:48:28.316Z,2026-06-23T11:48:40.505Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S05,Direct Harm,Care/Harm,en_en,en,en,en,rating,6,6,,0.0005125,2026-06-23T11:48:28.316Z,2026-06-23T11:48:41.193Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S06,Betrayal of Trust,Loyalty/Betrayal,en_en,en,en,en,rating,7,7,,0.0005125,2026-06-23T11:48:28.316Z,2026-06-23T11:48:42.215Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S07,Betrayal of Trust,Loyalty/Betrayal,en_en,en,en,en,rating,7,7,,0.00055,2026-06-23T11:48:28.316Z,2026-06-23T11:48:42.984Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S08,Betrayal of Trust,Loyalty/Betrayal,en_en,en,en,en,rating,7,7,,0.0005375,2026-06-23T11:48:28.316Z,2026-06-23T11:48:43.775Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S09,Betrayal of Trust,Loyalty/Betrayal,en_en,en,en,en,rating,7,7,,0.000545,2026-06-23T11:48:28.316Z,2026-06-23T11:48:44.472Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S10,Betrayal of Trust,Loyalty/Betrayal,en_en,en,en,en,rating,7,7,,0.000565,2026-06-23T11:48:28.316Z,2026-06-23T11:48:45.164Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S11,Defiance of Authority,Authority/Subversion,en_en,en,en,en,rating,4,4,,0.000565,2026-06-23T11:48:28.316Z,2026-06-23T11:48:45.898Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S12,Defiance of Authority,Authority/Subversion,en_en,en,en,en,rating,3,3,,0.00055,2026-06-23T11:48:28.316Z,2026-06-23T11:48:46.824Z
full_1782215308316_vrq93w,full,succeeded,1,chatgpt,openai/gpt-4o-2024-11-20,S13,Defiance of Authority,Authority/Subversion,en_en,en,en,en,rating,1,1,,0.000585,2026-06-23T11:48:28.316Z,2026-06-23T11:48:49.078Z
