effect_type,language,model_key,mft_foundation,mean_diff,ci_lower,ci_upper,p_value,cohens_d,n
language,hi,chatgpt,all,0.34,0.05660458719308814,0.6233954128069119,0.02276394142940319,0.33255016679029503,50
language,bn,chatgpt,all,0.2,-0.03758787847867995,0.43758787847867997,0.10535690639195039,0.23333333333333334,50
language,ta,chatgpt,all,-0.08,-0.3754762934653134,0.21547629346531338,0.5980454775175574,-0.07504787743864565,50
language,es,chatgpt,all,0.16,-0.07332586654719622,0.39332586654719626,0.18512475587061838,0.19007638532459656,50
language,ja,chatgpt,all,0.16,-0.09268351746799788,0.4126835174679979,0.22048580214437496,0.17551495942602235,50
language,ar,chatgpt,all,0.26,-0.01325475293213102,0.533254752932131,0.06818618525242481,0.2637404193896408,50
language,hi,claude,all,-0.1,-0.29600000000000004,0.09600000000000003,0.3222234063354157,-0.14142135623730948,50
language,bn,claude,all,-0.26,-0.4895999999999999,-0.030400000000000066,0.031111977801038693,-0.3138864248193943,50
language,ta,claude,all,-0.4,-0.630893915034589,-0.16910608496541105,0.0013661833858567007,-0.4801960383990248,50
language,es,claude,all,-0.22,-0.4460208839908384,0.0060208839908383605,0.06228776421345894,-0.2698020100301868,50
language,ja,claude,all,-0.24,-0.47466606060527794,-0.005333939394722015,0.050553392552777465,-0.28348626896638734,50
language,ar,claude,all,-0.26,-0.527454968172214,0.007454968172214027,0.06260892018233344,-0.26945965382900716,50
language,hi,gemini_flash,all,0.18,-0.011467595169522088,0.3714675951695221,0.07144041669080292,0.2605843272661778,50
language,bn,gemini_flash,all,0.06,-0.22778769952866296,0.34778769952866295,0.684588299717761,0.05778965369522742,50
language,ta,gemini_flash,all,-0.14,-0.4086249429967366,0.12862494299673655,0.3120352797136903,-0.14446171572380445,50
language,es,gemini_flash,all,0,-0.27999999999999997,0.27999999999999997,1,0,50
language,ja,gemini_flash,all,-0.14,-0.4200559944011196,0.1400559944011196,0.3319958861935959,-0.13856521883954573,50
language,ar,gemini_flash,all,0.06,-0.22228666280927972,0.3422866628092797,0.6787919594310885,0.05891582453098054,50
