response_id,scenario_id,model_evaluated,language,condition,designed_label,scenario_text_en,qualitative_response,llama_label,deepseek_label,agreement
extension_full_1782729062659_xqetbf__chatgpt__S34__es_translation_reason_es__qualitative,S34,chatgpt,es,es_translation_reason_es,Sanctity/Degradation,Someone deliberately throws garbage into a clean river during a community event.,"La acción es moralmente incorrecta porque daña el medio ambiente y afecta negativamente a la comunidad y a los ecosistemas que dependen del río limpio. Además, demuestra una falta de respeto hacia los esfuerzos colectivos para mantener el entorno saludable durante el evento comunitario.",Sanctity/Degradation,Care/Harm,false
extension_full_1782729062659_xqetbf__chatgpt__S34__hi_adapted_reason_en__qualitative,S34,chatgpt,hi,hi_adapted_reason_en,Sanctity/Degradation,Someone deliberately throws garbage into a clean river during a community event.,"The action of deliberately throwing plastic into the river during a Ganga cleaning campaign is morally wrong. It directly contradicts the purpose of the campaign, harms the environment, pollutes the river, and endangers aquatic life, showing a lack of responsibility and respect for nature.",Care/Harm,Sanctity/Degradation,false
extension_full_1782729062659_xqetbf__chatgpt__S34__hi_translation_reason_hi__qualitative,S34,chatgpt,hi,hi_translation_reason_hi,Sanctity/Degradation,Someone deliberately throws garbage into a clean river during a community event.,यह कार्य नैतिक रूप से गलत है क्योंकि यह पर्यावरण को नुकसान पहुंचाता है और सामुदायिक संसाधनों को दूषित करता है। यह समाज और प्रकृति के प्रति जिम्मेदारी की भावना का उल्लंघन करता है।,Sanctity/Degradation,Care/Harm,false
extension_full_1782729062659_xqetbf__chatgpt__S34__ta_adapted_reason_ta__qualitative,S34,chatgpt,ta,ta_adapted_reason_ta,Sanctity/Degradation,Someone deliberately throws garbage into a clean river during a community event.,"இந்த செயல் அறநெறி ரீதியாக தவறானது. ஆற்றை சுத்தப்படுத்தும் முயற்சியில் பங்கேற்று, அதே நேரத்தில் குப்பையை ஆற்றில் வீசுவது சுற்றுச்சூழலுக்கு தீங்கு விளைவிக்கும் மற்றும் பொறுப்பற்ற செயலாகும்.",INVALID,Care/Harm,false
extension_full_1782729062659_xqetbf__claude__S26__hi_translation_reason_hi__qualitative,S26,claude,hi,hi_translation_reason_hi,Care/Harm,"For nearly a year, Emma has been helping her elderly neighbor, Mr. Harris, by picking up his blood pressure medicine every Thursday. Mr. Harris lives alone and has no close family nearby. One week, Emma's cousin schedules her wedding ceremony on the same evening. Emma realizes she will not have enough time to do both. She decides to attend the wedding without telling anyone that Mr. Harris will miss his medicine. By the following afternoon, Mr. Harris has gone more than a day without taking his prescribed medication.","## नैतिक मूल्यांकन

एमा का यह कार्य नैतिक रूप से **गलत** है, क्योंकि उसने एक वर्ष की नियमित सहायता से श्री हैरिस में जो विश्वास और निर्भरता उत्पन्न हुई थी, उसे बिना किसी सूचना के तोड़ दिया — जबकि श्री हैरिस के पास कोई वैकल्पिक व्यवस्था नहीं थी। यदि एमा पहले से श्री हैरिस को सूचित कर देती या किसी अन्य की सहायता की व्यवस्था कर देती, तो वह शादी में भी जा सकती थी और अपनी नैतिक जिम्मेदारी भी निभा",Care/Harm,Loyalty/Betrayal,false
extension_full_1782729062659_xqetbf__claude__S30__ja_adapted_reason_ja__qualitative,S30,claude,ja,ja_adapted_reason_ja,Authority/Subversion,An employee ignores a mandatory safety rule to finish work faster.,この行為は道徳的に**間違っています**。安全規則は従業員自身や周囲の人々を危険から守るために設けられており、それを個人の都合で破ることは自分だけでなく同僚や周囲の人々を危険にさらす可能性があります。早く帰りたいという気持ちは理解できますが、他者の安全を犠牲にしてまで自分の利便性を優先することは、責任ある行動とは言えません。,INVALID,Care/Harm,false
extension_full_1782729062659_xqetbf__claude__S34__ar_adapted_reason_ar__qualitative,S34,claude,ar,ar_adapted_reason_ar,Sanctity/Degradation,Someone deliberately throws garbage into a clean river during a community event.,هذا الفعل خاطئ أخلاقياً بشكل واضح، إذ يتناقض تناقضاً صارخاً مع الهدف الأساسي لحملة التنظيف، ويُلحق ضرراً مباشراً بالبيئة المائية والكائنات الحية التي تعتمد عليها. فضلاً عن ذلك، يُعدّ خيانةً للمسؤولية الجماعية والثقة التي يضعها المجتمع في المشاركين بمثل هذه الحملات، مما يُقوّض جهود الآخرين ويزيد من حجم المشكلة بدلاً من المساهمة في حلّها.,Sanctity/Degradation,Care/Harm,false
extension_full_1782729062659_xqetbf__claude__S34__bn_adapted_reason_en__qualitative,S34,claude,bn,bn_adapted_reason_en,Sanctity/Degradation,Someone deliberately throws garbage into a clean river during a community event.,"## Moral Judgment: This Action is **Wrong**

This action is **morally wrong** because the person deliberately polluted a river during a cleanup campaign, directly undermining a collective effort meant to protect the environment and public good. It shows a complete disregard for the well-being of aquatic life, communities dependent on the river, and future generations who will suffer the consequences of water pollution. Intentionally sabotaging a cooperative environmental effort is not only selfish and irresponsible, but it also violates the basic ethical duty to protect shared natural resources.",Care/Harm,Sanctity/Degradation,false
extension_full_1782729062659_xqetbf__claude__S34__hi_translation_reason_hi__qualitative,S34,claude,hi,hi_translation_reason_hi,Sanctity/Degradation,Someone deliberately throws garbage into a clean river during a community event.,"## नैतिक मूल्यांकन

यह कार्य नैतिक रूप से **स्पष्ट रूप से गलत** है। जानबूझकर साफ़ नदी में कचरा फेंकना न केवल पर्यावरण और जलीय जीवन को नुकसान पहुँचाता है, बल्कि यह उन सभी लोगों के सामूहिक प्रयास का अपमान भी है जो उस नदी को स्वच्छ रखने के लिए परिश्रम कर रहे हैं। सामुदायिक कार्यक्रम के दौरान ऐसा करना और भी अधिक निंदनीय है, क्योंकि यह व्यक्ति की **स्वार्थपरता और सामाजिक उत्त",Sanctity/Degradation,Care/Harm,false
extension_full_1782729062659_xqetbf__claude__S34__ja_translation_reason_ja__qualitative,S34,claude,ja,ja_translation_reason_ja,Sanctity/Degradation,Someone deliberately throws garbage into a clean river during a community event.,この行為は道徳的に**間違っています**。きれいな川にごみを捨てることは、自然環境を汚染し、川に生息する生き物や生態系に深刻なダメージを与えます。また、地域活動の目的は地域をより良くすることであるはずなのに、その場でごみを捨てる行為は活動の趣旨にも反しており、他の参加者や地域住民への裏切りにもなります。,Sanctity/Degradation,Care/Harm,false
