modelKey,scenarioId,conditionId,inputLang,reasoningLang,scenarioVersion,absoluteDifference,modelRating,referenceRating
chatgpt,S01,en_en,en,en,en,0,7,7
chatgpt,S02,en_en,en,en,en,0,7,7
chatgpt,S03,en_en,en,en,en,1,6,7
chatgpt,S04,en_en,en,en,en,0,7,7
chatgpt,S05,en_en,en,en,en,0,6,6
chatgpt,S06,en_en,en,en,en,0,7,7
chatgpt,S07,en_en,en,en,en,0,7,7
chatgpt,S08,en_en,en,en,en,0,7,7
chatgpt,S09,en_en,en,en,en,1,7,6
chatgpt,S10,en_en,en,en,en,0,7,7
chatgpt,S11,en_en,en,en,en,3,4,7
chatgpt,S12,en_en,en,en,en,2,3,5
chatgpt,S13,en_en,en,en,en,0,1,1
chatgpt,S14,en_en,en,en,en,2,4,6
chatgpt,S15,en_en,en,en,en,0,1,1
chatgpt,S16,en_en,en,en,en,2,3,5
chatgpt,S17,en_en,en,en,en,1,7,6
chatgpt,S18,en_en,en,en,en,0,7,7
chatgpt,S19,en_en,en,en,en,1,7,6
chatgpt,S20,en_en,en,en,en,0,6,6
chatgpt,S21,en_en,en,en,en,0,6,6
chatgpt,S22,en_en,en,en,en,1,5,6
chatgpt,S23,en_en,en,en,en,1,4,5
chatgpt,S24,en_en,en,en,en,0,6,6
chatgpt,S25,en_en,en,en,en,0,2,2
chatgpt,S01,hi_translation_reason_en,hi,en,translation,1,6,7
chatgpt,S02,hi_translation_reason_en,hi,en,translation,0,7,7
chatgpt,S03,hi_translation_reason_en,hi,en,translation,0,6,6
chatgpt,S04,hi_translation_reason_en,hi,en,translation,0,7,7
chatgpt,S05,hi_translation_reason_en,hi,en,translation,0,6,6
chatgpt,S06,hi_translation_reason_en,hi,en,translation,0,7,7
chatgpt,S07,hi_translation_reason_en,hi,en,translation,0,7,7
chatgpt,S08,hi_translation_reason_en,hi,en,translation,0,7,7
chatgpt,S09,hi_translation_reason_en,hi,en,translation,0,6,6
chatgpt,S10,hi_translation_reason_en,hi,en,translation,1,7,6
chatgpt,S11,hi_translation_reason_en,hi,en,translation,3,4,7
chatgpt,S12,hi_translation_reason_en,hi,en,translation,2,3,5
chatgpt,S13,hi_translation_reason_en,hi,en,translation,1,2,1
chatgpt,S14,hi_translation_reason_en,hi,en,translation,1,5,6
chatgpt,S15,hi_translation_reason_en,hi,en,translation,1,2,1
