work_unit_id,scenario_id,foundation,shift_tier,model_key,model_id,input_language,scenario_version,action_correct,actor_correct,affected_correct,consequence_correct,correct_count_0_4,scenario_all_4_correct,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd,rating_condition_id,english_baseline_rating,matched_condition_rating,absolute_rating_shift,comprehension_proportion,any_comprehension_error,shift_tier_manuscript
S02__hi__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,literal,1,1,1,1,4,1,"D, A, B, C",508,7,515,0.00134,hi_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__hi__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,literal,1,1,1,1,4,1,"D, A, B, C",1043,10,1053,0.003279,hi_translation_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S02__hi__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,literal,1,1,1,1,4,1,"D, A, B, C",437,7,444,0.0007185,hi_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__hi__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,hi,adapted,1,1,1,1,4,1,"D, A, B, C",518,7,525,0.001365,hi_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__hi__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,hi,adapted,1,1,1,1,4,1,"D, A, B, C",1063,10,1073,0.003339,hi_adapted_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S02__hi__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,hi,adapted,1,1,1,1,4,1,"D, A, B, C",450,7,457,0.000738,hi_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__bn__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,literal,1,1,1,1,4,1,"D, A, B, C",558,7,565,0.001465,bn_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__bn__literal__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,literal,1,1,1,1,4,1,"D, A, B, C",1298,10,1308,0.004044,bn_translation_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S02__bn__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,literal,1,1,1,1,4,1,"D, A, B, C",411,7,418,0.0006795,bn_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__bn__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,bn,adapted,1,1,1,1,4,1,"D, A, B, C",583,7,590,0.0015275,bn_adapted_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S02__bn__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,bn,adapted,1,1,1,1,4,1,"D, A, B, C",1396,10,1406,0.004338,bn_adapted_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S02__bn__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,bn,adapted,1,1,1,1,4,1,"D, A, B, C",429,7,436,0.0007065,bn_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__ta__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ta,literal,1,1,1,1,4,1,"D,A,B,C",662,4,666,0.001695,ta_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__ta__adapted__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,ta,adapted,1,1,1,1,4,1,"D,A,B,C",643,4,647,0.0016475,ta_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__es__literal__chatgpt,S02,Care/Harm,low,chatgpt,openai/gpt-4o-2024-11-20,es,literal,1,1,1,1,4,1,"D,A,B,C",438,4,442,0.001135,es_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__ta__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ta,literal,1,1,1,1,4,1,"D, A, B, C",477,7,484,0.0007785,ta_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__ta__adapted__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,ta,adapted,1,1,1,1,4,1,"D, A, B, C",479,7,486,0.0007815,ta_adapted_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
S02__ta__adapted__claude,S02,Care/Harm,low,claude,anthropic/claude-sonnet-4.6,ta,adapted,1,1,1,1,4,1,"D,A,B,C",1563,10,1573,0.004839,ta_adapted_reason_en,7.0,6.0,1.0,1.0,0,Lower-shift
S02__es__literal__gemini_flash,S02,Care/Harm,low,gemini_flash,google/gemini-3.5-flash,es,literal,1,1,1,1,4,1,"D, A, B, C",437,7,444,0.0007185,es_translation_reason_en,7.0,7.0,0.0,1.0,0,Lower-shift
