effect_type,language,model_key,mft_foundation,mean_diff,ci_lower,ci_upper,p_value,cohens_d,n,q_value_bh,fdr_significant_05,fdr_significant_10
reasoning,hi,chatgpt,all,0.04,-0.1765976915851136,0.2565976915851136,0.7189372398065832,0.05118906968889915,50,0.7700451560787331,false,false
reasoning,bn,chatgpt,all,-0.02,-0.1626626790719984,0.12266267907199842,0.784645093578968,-0.03885891671573581,50,0.7846450935789679,false,false
reasoning,ta,chatgpt,all,0.34,0.09201419395457328,0.5879858060454268,0.009812011138838006,0.3800346209301968,50,0.03294561908123869,true,true
reasoning,es,chatgpt,all,-0.14,-0.3640699890659166,0.08406998906591659,0.22657437446862083,-0.1731870488916828,50,0.3338990781642833,false,false
reasoning,ja,chatgpt,all,0.3,0.11217028989001765,0.48782971010998233,0.0029398156750055637,0.44271887242357305,50,0.02057870972503895,true,true
reasoning,ar,chatgpt,all,0.16,-0.05220970760075991,0.3722097076007599,0.14586510463189284,0.2089901438413812,50,0.240248407629,false,false
reasoning,all,chatgpt,all,0.11333333333333333,0.02697237900039315,0.1996942876662735,0.010589663276112438,0.1485031525955146,300,0.03294561908123869,true,true
reasoning,hi,claude,all,-0.04,-0.18773814673265668,0.10773814673265666,0.5980454775175574,-0.07504787743864566,50,0.696595319450879,false,false
reasoning,bn,claude,all,0.22,0.06879999999999997,0.37120000000000003,0.006346589698408289,0.40331275667677147,50,0.02961741859257202,true,true
reasoning,ta,claude,all,-0.1,-0.2507846145997661,0.050784614599766104,0.19972824020692492,-0.1838290060036116,50,0.3106883736552166,false,false
reasoning,es,claude,all,0.02,-0.0986618725623357,0.1386618725623357,0.7425435433616356,0.04671860509861999,50,0.7700451560787331,false,false
reasoning,ja,claude,all,0.14,0.014655036000643468,0.2653449639993566,0.033378803055111206,0.3095937715672162,50,0.08496422595846488,false,true
reasoning,ar,claude,all,0.2,0.07478019326001181,0.3252198067399882,0.0029398156750055637,0.4427188724235732,50,0.02057870972503895,true,true
reasoning,all,claude,all,0.07333333333333333,0.01613694195311268,0.13052972471355398,0.0124975775880114,0.1450869131583351,300,0.03499321724643192,true,true
reasoning,hi,gemini_flash,all,-0.16,-0.311924191622006,-0.008075808377993987,0.04431517472830948,-0.29192017967990463,50,0.09544806864558965,false,true
reasoning,bn,gemini_flash,all,-0.04,-0.19799544297225788,0.11799544297225786,0.6219601066525706,-0.07017565899639198,50,0.696595319450879,false,false
reasoning,ta,gemini_flash,all,-0.12,-0.2529926313748247,0.012992631374824704,0.08319895351076712,-0.2501063603536737,50,0.1663979070215342,false,false
reasoning,es,gemini_flash,all,-0.34,-0.5136000000000001,-0.16640000000000002,0.00035498487386376176,-0.54287552878193,50,0.004969788234092665,true,true
reasoning,ja,gemini_flash,all,0.2,0.014269011740097676,0.3857309882599024,0.03993623901668819,0.2984810028978547,50,0.09318455770560578,false,true
reasoning,ar,gemini_flash,all,-0.1,-0.2703173508483502,0.07031735084835014,0.25540242025546567,-0.16274669424134697,50,0.3405365603406209,false,false
reasoning,all,gemini_flash,all,-0.09333333333333334,-0.16177838316005372,-0.024888283506612943,0.007937249902328691,-0.1543086161981632,300,0.03174899960931477,true,true
reasoning,hi,pooled,all,-0.05333333333333334,-0.1545246526357446,0.04785798596907794,0.30326521033410936,-0.08434627579523132,150,0.3859739040615937,false,false
reasoning,bn,pooled,all,0.05333333333333334,-0.03517266498039293,0.1418393316470596,0.23944976698020715,0.09643539521140905,150,0.33522967377229,false,false
reasoning,ta,pooled,all,0.04,-0.07106021826260245,0.15106021826260244,0.4813380870341937,0.0576383991911252,150,0.5859768016068445,false,false
reasoning,es,pooled,all,-0.15333333333333332,-0.2577844195454327,-0.04888224712123397,0.00460095847697195,-0.23492760872127197,150,0.02576536747104292,true,true
reasoning,ja,pooled,all,0.21333333333333335,0.11595060920330182,0.3107160574633649,0.00003152010116491688,0.3505800850084202,150,0.0008825628326176727,true,true
reasoning,ar,pooled,all,0.08666666666666667,-0.01477912281142714,0.18811245614476046,0.09613842456415123,0.13671888528884973,150,0.179458392519749,false,false
reasoning,all,pooled,all,0.03111111111111111,-0.01063963593545584,0.07286185815767807,0.14449674755794728,0.04868398139859696,900,0.240248407629,false,false
