analysis,excluded_group,edit_metric,n,scenario_clusters,spearman_rho,two_sided_p_value
metric_sensitivity,,normalized_character_edit_rate,900,50,0.2018850150989112,9.890648973016519e-10
metric_sensitivity,,token_edit_rate,900,50,0.20019539129992703,1.370096488601324e-09
metric_sensitivity,,token_jaccard_dissimilarity,900,50,0.23851120182647448,4.1591332756267965e-13
metric_sensitivity,,absolute_relative_character_length_change,900,50,0.07526684790729049,0.02394123586818634
metric_sensitivity,,longest_common_subsequence_dissimilarity,900,50,0.19184971783907404,6.573802951371802e-09
leave_one_language_out,Hindi,normalized_character_edit_rate,750,50,0.19053467250406703,1.4599437691315442e-07
leave_one_language_out,Bengali,normalized_character_edit_rate,750,50,0.22155865226436497,8.574812951650003e-10
leave_one_language_out,Tamil,normalized_character_edit_rate,750,50,0.17677214911741138,1.1078600017847376e-06
leave_one_language_out,Spanish,normalized_character_edit_rate,750,50,0.21429711769311946,3.066840225662444e-09
leave_one_language_out,Japanese,normalized_character_edit_rate,750,50,0.2459491773997824,8.518864194082119e-12
leave_one_language_out,Arabic,normalized_character_edit_rate,750,50,0.1608480489595719,9.57694958353248e-06
leave_one_foundation_out,Care/Harm,normalized_character_edit_rate,702,39,0.21203218487162354,1.4076081463624502e-08
leave_one_foundation_out,Fairness/Cheating,normalized_character_edit_rate,720,40,0.1702358577498975,4.357877622264675e-06
leave_one_foundation_out,Loyalty/Betrayal,normalized_character_edit_rate,720,40,0.22826045651169752,5.783883135309895e-10
leave_one_foundation_out,Authority/Subversion,normalized_character_edit_rate,720,40,0.20373596531169066,3.4826709089838447e-08
leave_one_foundation_out,Sanctity/Degradation,normalized_character_edit_rate,738,41,0.19765702721546527,6.163908973084334e-08
leave_one_scenario_out,S01,normalized_character_edit_rate,882,49,0.20526972284051406,7.593836894288742e-10
leave_one_scenario_out,S02,normalized_character_edit_rate,882,49,0.19063529350551242,1.1569121984682847e-08
leave_one_scenario_out,S03,normalized_character_edit_rate,882,49,0.20447154330410938,8.857376772948358e-10
leave_one_scenario_out,S04,normalized_character_edit_rate,882,49,0.1976728715197794,3.2042575787415285e-09
leave_one_scenario_out,S05,normalized_character_edit_rate,882,49,0.1977853234849742,3.137975682950134e-09
leave_one_scenario_out,S06,normalized_character_edit_rate,882,49,0.1982128658265017,2.8979243579473706e-09
leave_one_scenario_out,S07,normalized_character_edit_rate,882,49,0.20361311219315584,1.0444624124641583e-09
