work_unit_id,scenario_id,model_key,correct_count_0_4,absolute_rating_shift,jittered_comprehension_score,model_n,total_n
S02__hi__literal__chatgpt,S02,chatgpt,4,0.0,3.9302821721394188,240,720
S02__hi__literal__claude,S02,claude,4,1.0,4.097134642546986,240,720
S02__hi__literal__gemini_flash,S02,gemini_flash,4,0.0,4.068451400818851,240,720
S02__hi__adapted__chatgpt,S02,chatgpt,4,0.0,3.9955752878908903,240,720
S02__hi__adapted__claude,S02,claude,4,1.0,3.9797387976806244,240,720
S02__hi__adapted__gemini_flash,S02,gemini_flash,4,0.0,3.968690947747923,240,720
S02__bn__literal__chatgpt,S02,chatgpt,4,0.0,4.034089672417214,240,720
S02__bn__literal__claude,S02,claude,4,1.0,3.9781489879801795,240,720
S02__bn__literal__gemini_flash,S02,gemini_flash,4,0.0,4.095494794258036,240,720
S02__bn__adapted__chatgpt,S02,chatgpt,4,1.0,4.052246645128695,240,720
S02__bn__adapted__claude,S02,claude,4,1.0,3.999576685014583,240,720
S02__bn__adapted__gemini_flash,S02,gemini_flash,4,0.0,3.9757575213778122,240,720
S02__ta__literal__chatgpt,S02,chatgpt,4,0.0,4.025416401832994,240,720
S02__ta__adapted__chatgpt,S02,chatgpt,4,0.0,4.015357473515925,240,720
S02__es__literal__chatgpt,S02,chatgpt,4,0.0,3.9001790659706286,240,720
S02__ta__literal__gemini_flash,S02,gemini_flash,4,0.0,3.9972099877285343,240,720
S02__ta__adapted__gemini_flash,S02,gemini_flash,4,0.0,4.033163464418504,240,720
S02__ta__adapted__claude,S02,claude,4,1.0,4.067791644251747,240,720
S02__es__literal__gemini_flash,S02,gemini_flash,4,0.0,3.965749589955752,240,720
S02__es__adapted__chatgpt,S02,chatgpt,4,0.0,3.942121987923749,240,720
S02__es__adapted__claude,S02,claude,4,1.0,3.9564451824107785,240,720
S02__es__literal__claude,S02,claude,4,1.0,4.088158943985033,240,720
S02__es__adapted__gemini_flash,S02,gemini_flash,4,0.0,4.061928219904056,240,720
S02__ta__literal__claude,S02,claude,4,1.0,4.009455475742122,240,720
S02__ja__literal__gemini_flash,S02,gemini_flash,4,0.0,4.0432005353049405,240,720
S02__ja__adapted__gemini_flash,S02,gemini_flash,4,0.0,3.9875731540115393,240,720
S02__ar__adapted__chatgpt,S02,chatgpt,3,0.0,2.9890113101544826,240,720
S02__ja__literal__chatgpt,S02,chatgpt,4,0.0,4.014316323236659,240,720
S05__hi__literal__chatgpt,S05,chatgpt,4,0.0,4.066617961777061,240,720
S02__ja__adapted__chatgpt,S02,chatgpt,4,0.0,4.077467788130471,240,720
