scenario_id,language,model,normalized_character_edit_rate,absolute_adaptation_effect,signed_adaptation_effect,total_n,model_n
S01,Hindi,GPT-4o,0.35062611806797855,0.0,0.0,900,300
S01,Hindi,Claude Sonnet 4.6,0.35062611806797855,0.0,0.0,900,300
S01,Hindi,Gemini 3.5 Flash,0.35062611806797855,0.0,0.0,900,300
S01,Bengali,GPT-4o,0.5595432300163132,1.0,1.0,900,300
S01,Bengali,Claude Sonnet 4.6,0.5595432300163132,1.0,1.0,900,300
S01,Bengali,Gemini 3.5 Flash,0.5595432300163132,0.0,0.0,900,300
S01,Tamil,GPT-4o,0.37989556135770236,1.0,-1.0,900,300
S01,Tamil,Claude Sonnet 4.6,0.37989556135770236,0.0,0.0,900,300
S01,Tamil,Gemini 3.5 Flash,0.37989556135770236,0.0,0.0,900,300
S01,Spanish,GPT-4o,0.08695652173913043,0.0,0.0,900,300
S01,Spanish,Claude Sonnet 4.6,0.08695652173913043,1.0,-1.0,900,300
S01,Spanish,Gemini 3.5 Flash,0.08695652173913043,1.0,-1.0,900,300
S01,Japanese,GPT-4o,0.376984126984127,0.0,0.0,900,300
S01,Japanese,Claude Sonnet 4.6,0.376984126984127,1.0,1.0,900,300
S01,Japanese,Gemini 3.5 Flash,0.376984126984127,1.0,-1.0,900,300
S01,Arabic,GPT-4o,0.289532293986637,0.0,0.0,900,300
S01,Arabic,Claude Sonnet 4.6,0.289532293986637,0.0,0.0,900,300
S01,Arabic,Gemini 3.5 Flash,0.289532293986637,1.0,-1.0,900,300
S02,Hindi,GPT-4o,0.45930232558139533,0.0,0.0,900,300
S02,Hindi,Claude Sonnet 4.6,0.45930232558139533,0.0,0.0,900,300
S02,Hindi,Gemini 3.5 Flash,0.45930232558139533,0.0,0.0,900,300
S02,Bengali,GPT-4o,0.5965811965811966,1.0,-1.0,900,300
S02,Bengali,Claude Sonnet 4.6,0.5965811965811966,0.0,0.0,900,300
S02,Bengali,Gemini 3.5 Flash,0.5965811965811966,0.0,0.0,900,300
S02,Tamil,GPT-4o,0.3949801849405548,0.0,0.0,900,300
S02,Tamil,Claude Sonnet 4.6,0.3949801849405548,0.0,0.0,900,300
S02,Tamil,Gemini 3.5 Flash,0.3949801849405548,0.0,0.0,900,300
S02,Spanish,GPT-4o,0.012658227848101266,0.0,0.0,900,300
S02,Spanish,Claude Sonnet 4.6,0.012658227848101266,0.0,0.0,900,300
S02,Spanish,Gemini 3.5 Flash,0.012658227848101266,0.0,0.0,900,300
S02,Japanese,GPT-4o,0.39849624060150374,0.0,0.0,900,300
S02,Japanese,Claude Sonnet 4.6,0.39849624060150374,0.0,0.0,900,300
S02,Japanese,Gemini 3.5 Flash,0.39849624060150374,0.0,0.0,900,300
S02,Arabic,GPT-4o,0.33985330073349634,0.0,0.0,900,300
S02,Arabic,Claude Sonnet 4.6,0.33985330073349634,0.0,0.0,900,300
S02,Arabic,Gemini 3.5 Flash,0.33985330073349634,0.0,0.0,900,300
S03,Hindi,GPT-4o,0.38461538461538464,1.0,-1.0,900,300
S03,Hindi,Claude Sonnet 4.6,0.38461538461538464,1.0,-1.0,900,300
S03,Hindi,Gemini 3.5 Flash,0.38461538461538464,0.0,0.0,900,300
S03,Bengali,GPT-4o,0.3176470588235294,0.0,0.0,900,300
S03,Bengali,Claude Sonnet 4.6,0.3176470588235294,0.0,0.0,900,300
S03,Bengali,Gemini 3.5 Flash,0.3176470588235294,1.0,-1.0,900,300
S03,Tamil,GPT-4o,0.32189349112426036,1.0,-1.0,900,300
S03,Tamil,Claude Sonnet 4.6,0.32189349112426036,0.0,0.0,900,300
S03,Tamil,Gemini 3.5 Flash,0.32189349112426036,0.0,0.0,900,300
S03,Spanish,GPT-4o,0.2675862068965517,0.0,0.0,900,300
S03,Spanish,Claude Sonnet 4.6,0.2675862068965517,1.0,-1.0,900,300
S03,Spanish,Gemini 3.5 Flash,0.2675862068965517,0.0,0.0,900,300
S03,Japanese,GPT-4o,0.5559006211180124,1.0,1.0,900,300
S03,Japanese,Claude Sonnet 4.6,0.5559006211180124,1.0,1.0,900,300
S03,Japanese,Gemini 3.5 Flash,0.5559006211180124,1.0,1.0,900,300
S03,Arabic,GPT-4o,0.5210420841683366,1.0,-1.0,900,300
S03,Arabic,Claude Sonnet 4.6,0.5210420841683366,0.0,0.0,900,300
S03,Arabic,Gemini 3.5 Flash,0.5210420841683366,1.0,1.0,900,300
S04,Hindi,GPT-4o,0.45266781411359724,0.0,0.0,900,300
S04,Hindi,Claude Sonnet 4.6,0.45266781411359724,0.0,0.0,900,300
S04,Hindi,Gemini 3.5 Flash,0.45266781411359724,0.0,0.0,900,300
S04,Bengali,GPT-4o,0.5121951219512195,0.0,0.0,900,300
S04,Bengali,Claude Sonnet 4.6,0.5121951219512195,0.0,0.0,900,300
S04,Bengali,Gemini 3.5 Flash,0.5121951219512195,0.0,0.0,900,300
S04,Tamil,GPT-4o,0.2847411444141689,0.0,0.0,900,300
S04,Tamil,Claude Sonnet 4.6,0.2847411444141689,0.0,0.0,900,300
S04,Tamil,Gemini 3.5 Flash,0.2847411444141689,0.0,0.0,900,300
S04,Spanish,GPT-4o,0.23792486583184258,0.0,0.0,900,300
S04,Spanish,Claude Sonnet 4.6,0.23792486583184258,0.0,0.0,900,300
S04,Spanish,Gemini 3.5 Flash,0.23792486583184258,0.0,0.0,900,300
S04,Japanese,GPT-4o,0.6526717557251909,0.0,0.0,900,300
S04,Japanese,Claude Sonnet 4.6,0.6526717557251909,0.0,0.0,900,300
S04,Japanese,Gemini 3.5 Flash,0.6526717557251909,1.0,-1.0,900,300
S04,Arabic,GPT-4o,0.6118251928020566,0.0,0.0,900,300
S04,Arabic,Claude Sonnet 4.6,0.6118251928020566,0.0,0.0,900,300
S04,Arabic,Gemini 3.5 Flash,0.6118251928020566,0.0,0.0,900,300
S05,Hindi,GPT-4o,0.44212218649517687,0.0,0.0,900,300
S05,Hindi,Claude Sonnet 4.6,0.44212218649517687,0.0,0.0,900,300
S05,Hindi,Gemini 3.5 Flash,0.44212218649517687,0.0,0.0,900,300
S05,Bengali,GPT-4o,0.5179558011049724,1.0,-1.0,900,300
S05,Bengali,Claude Sonnet 4.6,0.5179558011049724,0.0,0.0,900,300
S05,Bengali,Gemini 3.5 Flash,0.5179558011049724,0.0,0.0,900,300
S05,Tamil,GPT-4o,0.28773072747014117,0.0,0.0,900,300
S05,Tamil,Claude Sonnet 4.6,0.28773072747014117,0.0,0.0,900,300
S05,Tamil,Gemini 3.5 Flash,0.28773072747014117,0.0,0.0,900,300
S05,Spanish,GPT-4o,0.23065693430656933,0.0,0.0,900,300
S05,Spanish,Claude Sonnet 4.6,0.23065693430656933,0.0,0.0,900,300
S05,Spanish,Gemini 3.5 Flash,0.23065693430656933,0.0,0.0,900,300
S05,Japanese,GPT-4o,0.5987261146496815,0.0,0.0,900,300
S05,Japanese,Claude Sonnet 4.6,0.5987261146496815,0.0,0.0,900,300
S05,Japanese,Gemini 3.5 Flash,0.5987261146496815,0.0,0.0,900,300
S05,Arabic,GPT-4o,0.6035242290748899,0.0,0.0,900,300
S05,Arabic,Claude Sonnet 4.6,0.6035242290748899,0.0,0.0,900,300
S05,Arabic,Gemini 3.5 Flash,0.6035242290748899,1.0,-1.0,900,300
S06,Hindi,GPT-4o,0.2864583333333333,0.0,0.0,900,300
S06,Hindi,Claude Sonnet 4.6,0.2864583333333333,0.0,0.0,900,300
S06,Hindi,Gemini 3.5 Flash,0.2864583333333333,0.0,0.0,900,300
S06,Bengali,GPT-4o,0.5442404006677797,0.0,0.0,900,300
S06,Bengali,Claude Sonnet 4.6,0.5442404006677797,0.0,0.0,900,300
S06,Bengali,Gemini 3.5 Flash,0.5442404006677797,0.0,0.0,900,300
S06,Tamil,GPT-4o,0.21216041397153945,0.0,0.0,900,300
S06,Tamil,Claude Sonnet 4.6,0.21216041397153945,0.0,0.0,900,300
S06,Tamil,Gemini 3.5 Flash,0.21216041397153945,0.0,0.0,900,300
S06,Spanish,GPT-4o,0.26066350710900477,0.0,0.0,900,300
S06,Spanish,Claude Sonnet 4.6,0.26066350710900477,0.0,0.0,900,300
S06,Spanish,Gemini 3.5 Flash,0.26066350710900477,0.0,0.0,900,300
S06,Japanese,GPT-4o,0.6573426573426573,0.0,0.0,900,300
S06,Japanese,Claude Sonnet 4.6,0.6573426573426573,0.0,0.0,900,300
S06,Japanese,Gemini 3.5 Flash,0.6573426573426573,1.0,-1.0,900,300
S06,Arabic,GPT-4o,0.65311004784689,0.0,0.0,900,300
S06,Arabic,Claude Sonnet 4.6,0.65311004784689,0.0,0.0,900,300
S06,Arabic,Gemini 3.5 Flash,0.65311004784689,0.0,0.0,900,300
S07,Hindi,GPT-4o,0.37750385208012327,0.0,0.0,900,300
S07,Hindi,Claude Sonnet 4.6,0.37750385208012327,0.0,0.0,900,300
S07,Hindi,Gemini 3.5 Flash,0.37750385208012327,0.0,0.0,900,300
S07,Bengali,GPT-4o,0.5007052186177715,0.0,0.0,900,300
S07,Bengali,Claude Sonnet 4.6,0.5007052186177715,0.0,0.0,900,300
S07,Bengali,Gemini 3.5 Flash,0.5007052186177715,0.0,0.0,900,300
S07,Tamil,GPT-4o,0.39601769911504425,0.0,0.0,900,300
S07,Tamil,Claude Sonnet 4.6,0.39601769911504425,1.0,1.0,900,300
S07,Tamil,Gemini 3.5 Flash,0.39601769911504425,0.0,0.0,900,300
S07,Spanish,GPT-4o,0.38992042440318303,0.0,0.0,900,300
S07,Spanish,Claude Sonnet 4.6,0.38992042440318303,0.0,0.0,900,300
S07,Spanish,Gemini 3.5 Flash,0.38992042440318303,0.0,0.0,900,300
S07,Japanese,GPT-4o,0.711038961038961,0.0,0.0,900,300
S07,Japanese,Claude Sonnet 4.6,0.711038961038961,0.0,0.0,900,300
S07,Japanese,Gemini 3.5 Flash,0.711038961038961,0.0,0.0,900,300
S07,Arabic,GPT-4o,0.6397228637413395,0.0,0.0,900,300
S07,Arabic,Claude Sonnet 4.6,0.6397228637413395,0.0,0.0,900,300
S07,Arabic,Gemini 3.5 Flash,0.6397228637413395,0.0,0.0,900,300
S08,Hindi,GPT-4o,0.3111455108359133,0.0,0.0,900,300
S08,Hindi,Claude Sonnet 4.6,0.3111455108359133,1.0,1.0,900,300
S08,Hindi,Gemini 3.5 Flash,0.3111455108359133,0.0,0.0,900,300
S08,Bengali,GPT-4o,0.4789325842696629,0.0,0.0,900,300
S08,Bengali,Claude Sonnet 4.6,0.4789325842696629,0.0,0.0,900,300
S08,Bengali,Gemini 3.5 Flash,0.4789325842696629,0.0,0.0,900,300
S08,Tamil,GPT-4o,0.23493975903614459,0.0,0.0,900,300
S08,Tamil,Claude Sonnet 4.6,0.23493975903614459,0.0,0.0,900,300
S08,Tamil,Gemini 3.5 Flash,0.23493975903614459,0.0,0.0,900,300
S08,Spanish,GPT-4o,0.3985611510791367,0.0,0.0,900,300
S08,Spanish,Claude Sonnet 4.6,0.3985611510791367,0.0,0.0,900,300
S08,Spanish,Gemini 3.5 Flash,0.3985611510791367,0.0,0.0,900,300
S08,Japanese,GPT-4o,0.6560509554140127,0.0,0.0,900,300
S08,Japanese,Claude Sonnet 4.6,0.6560509554140127,0.0,0.0,900,300
S08,Japanese,Gemini 3.5 Flash,0.6560509554140127,0.0,0.0,900,300
S08,Arabic,GPT-4o,0.6470588235294118,0.0,0.0,900,300
S08,Arabic,Claude Sonnet 4.6,0.6470588235294118,1.0,1.0,900,300
S08,Arabic,Gemini 3.5 Flash,0.6470588235294118,0.0,0.0,900,300
S09,Hindi,GPT-4o,0.3238938053097345,0.0,0.0,900,300
S09,Hindi,Claude Sonnet 4.6,0.3238938053097345,0.0,0.0,900,300
S09,Hindi,Gemini 3.5 Flash,0.3238938053097345,0.0,0.0,900,300
S09,Bengali,GPT-4o,0.558599695585997,0.0,0.0,900,300
S09,Bengali,Claude Sonnet 4.6,0.558599695585997,0.0,0.0,900,300
S09,Bengali,Gemini 3.5 Flash,0.558599695585997,0.0,0.0,900,300
S09,Tamil,GPT-4o,0.17427884615384615,0.0,0.0,900,300
S09,Tamil,Claude Sonnet 4.6,0.17427884615384615,0.0,0.0,900,300
S09,Tamil,Gemini 3.5 Flash,0.17427884615384615,0.0,0.0,900,300
S09,Spanish,GPT-4o,0.47806354009077157,0.0,0.0,900,300
S09,Spanish,Claude Sonnet 4.6,0.47806354009077157,0.0,0.0,900,300
S09,Spanish,Gemini 3.5 Flash,0.47806354009077157,1.0,-1.0,900,300
S09,Japanese,GPT-4o,0.6273062730627307,0.0,0.0,900,300
S09,Japanese,Claude Sonnet 4.6,0.6273062730627307,0.0,0.0,900,300
S09,Japanese,Gemini 3.5 Flash,0.6273062730627307,0.0,0.0,900,300
S09,Arabic,GPT-4o,0.6762589928057554,0.0,0.0,900,300
S09,Arabic,Claude Sonnet 4.6,0.6762589928057554,0.0,0.0,900,300
S09,Arabic,Gemini 3.5 Flash,0.6762589928057554,0.0,0.0,900,300
S10,Hindi,GPT-4o,0.34050179211469533,1.0,-1.0,900,300
S10,Hindi,Claude Sonnet 4.6,0.34050179211469533,0.0,0.0,900,300
S10,Hindi,Gemini 3.5 Flash,0.34050179211469533,0.0,0.0,900,300
S10,Bengali,GPT-4o,0.6187050359712231,0.0,0.0,900,300
S10,Bengali,Claude Sonnet 4.6,0.6187050359712231,1.0,-1.0,900,300
