analysis,group,edit_metric,n,scenario_clusters,spearman_rho,two_sided_p_value,scenario_cluster_bootstrap_ci_lower_95,scenario_cluster_bootstrap_ci_upper_95,bootstrap_repetitions
pooled,Overall,normalized_character_edit_rate,900,50,0.2018850150989112,9.890648973016519e-10,0.12493007857845155,0.27296593984788015,10000
by_model,Claude Sonnet 4.6,normalized_character_edit_rate,300,50,0.2409469562289709,2.4624774634835287e-05,0.14045357858004312,0.3443958460940509,10000
by_model,GPT-4o,normalized_character_edit_rate,300,50,0.14625044250410524,0.011206008144470994,0.03465526307782104,0.25632337759702173,10000
by_model,Gemini 3.5 Flash,normalized_character_edit_rate,300,50,0.22330617818947937,9.579541251507962e-05,0.123415703053977,0.3229280288578461,10000
by_language,Arabic,normalized_character_edit_rate,150,50,0.3197614638793908,6.64255682580839e-05,0.15269543456951729,0.4742151348518905,10000
by_language,Bengali,normalized_character_edit_rate,150,50,0.0864756497004569,0.29269922759774614,-0.08759578960268953,0.25259124409949757,10000
by_language,Hindi,normalized_character_edit_rate,150,50,0.2551910390675084,0.0016235430571172782,0.10041573056512003,0.40074970768942203,10000
by_language,Japanese,normalized_character_edit_rate,150,50,0.027761018457848417,0.7359492602547453,-0.15755926215868912,0.20795953457771302,10000
by_language,Spanish,normalized_character_edit_rate,150,50,0.14850572665280404,0.06972833178032588,-0.04967115476361093,0.3250235391454233,10000
by_language,Tamil,normalized_character_edit_rate,150,50,0.34091898147638516,1.9629568613635338e-05,0.16285183469355988,0.4910489984946122,10000
by_foundation,Authority/Subversion,normalized_character_edit_rate,180,10,0.20768570083040014,0.005149119801238807,0.0592231355992753,0.34223883031203617,10000
by_foundation,Care/Harm,normalized_character_edit_rate,198,11,0.15412519928184285,0.030160739576164157,-0.03546178992773064,0.32225831935367033,10000
by_foundation,Fairness/Cheating,normalized_character_edit_rate,180,10,0.32828003021721613,6.8283121266878615e-06,0.26766616175990754,0.3999816321158687,10000
by_foundation,Loyalty/Betrayal,normalized_character_edit_rate,180,10,0.13189816428909343,0.07756534902697887,-0.05251325476943304,0.28788341747377943,10000
by_foundation,Sanctity/Degradation,normalized_character_edit_rate,162,9,0.23144645693896404,0.0030429494504357994,0.06966240338660282,0.3864922679359591,10000
