effect_type,language,model_key,mft_foundation,mean_diff,ci_lower,ci_upper,p_value,cohens_d,n
language,hi,chatgpt,all,0.34,0.05660458719308814,0.6233954128069119,0.02276394142940319,0.33255016679029503,50
language,bn,chatgpt,all,0.2,-0.03758787847867995,0.43758787847867997,0.10535690639195039,0.23333333333333334,50
language,ta,chatgpt,all,-0.08,-0.3754762934653134,0.21547629346531338,0.5980454775175574,-0.07504787743864565,50
language,es,chatgpt,all,0.16,-0.07332586654719622,0.39332586654719626,0.18512475587061838,0.19007638532459656,50
language,ja,chatgpt,all,0.16,-0.09268351746799788,0.4126835174679979,0.22048580214437496,0.17551495942602235,50
language,ar,chatgpt,all,0.26,-0.01325475293213102,0.533254752932131,0.06818618525242481,0.2637404193896408,50
language,all,chatgpt,all,0.17333333333333334,0.06560403994461762,0.28106262672204907,0.0017767468621474602,0.18207223428538183,300
language,hi,claude,all,-0.1,-0.29600000000000004,0.09600000000000003,0.3222234063354157,-0.14142135623730948,50
language,bn,claude,all,-0.26,-0.4895999999999999,-0.030400000000000066,0.031111977801038693,-0.3138864248193943,50
language,ta,claude,all,-0.4,-0.630893915034589,-0.16910608496541105,0.0013661833858567007,-0.4801960383990248,50
language,es,claude,all,-0.22,-0.4460208839908384,0.0060208839908383605,0.06228776421345894,-0.2698020100301868,50
language,ja,claude,all,-0.24,-0.47466606060527794,-0.005333939394722015,0.050553392552777465,-0.28348626896638734,50
language,ar,claude,all,-0.26,-0.527454968172214,0.007454968172214027,0.06260892018233344,-0.26945965382900716,50
language,all,claude,all,-0.24666666666666667,-0.3409916814465717,-0.15234165188676163,5.335162027719775e-7,-0.2959232084887801,300
language,hi,gemini_flash,all,0.18,-0.011467595169522088,0.3714675951695221,0.07144041669080292,0.2605843272661778,50
language,bn,gemini_flash,all,0.06,-0.22778769952866296,0.34778769952866295,0.684588299717761,0.05778965369522742,50
language,ta,gemini_flash,all,-0.14,-0.4086249429967366,0.12862494299673655,0.3120352797136903,-0.14446171572380445,50
language,es,gemini_flash,all,0,-0.27999999999999997,0.27999999999999997,1,0,50
language,ja,gemini_flash,all,-0.14,-0.4200559944011196,0.1400559944011196,0.3319958861935959,-0.13856521883954573,50
language,ar,gemini_flash,all,0.06,-0.22228666280927972,0.3422866628092797,0.6787919594310885,0.05891582453098054,50
language,all,gemini_flash,all,0.0033333333333333335,-0.1055840304648791,0.11225069713154576,0.9522082000480507,0.00346319597460498,300
language,hi,pooled,all,0.14,0.006260646830748728,0.2737393531692513,0.04194453196483594,0.16752485823901814,150
language,bn,pooled,all,0,-0.1483277102219501,0.1483277102219501,1,0,150
language,ta,pooled,all,-0.20666666666666667,-0.36101021405022626,-0.05232311928310704,0.009583061199566867,-0.21428530961466907,150
language,es,pooled,all,-0.02,-0.16417909320434063,0.12417909320434063,0.7860875187629963,-0.02219924210995334,150
language,ja,pooled,all,-0.07333333333333333,-0.22292647421936845,0.07625980755270179,0.3381950962321669,-0.07845130768490165,150
language,ar,pooled,all,0.02,-0.1410717882943505,0.18107178829435047,0.8080537175519042,0.01987105644712674,150
language,all,pooled,all,-0.023333333333333334,-0.08428701167576837,0.03762034500910169,0.4532724494633398,-0.025009884323636454,900
