group_by,model_key,n,mean_absolute_difference,largest_divergence_model,largest_specific_condition,language,condition_type
model_key,chatgpt,1250,0.6496,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,
model_key,claude,1250,0.4704,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,
model_key,gemini_flash,1250,0.4376,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,
model_key+language,chatgpt,50,0.86,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,en,
model_key+language,chatgpt,200,0.59,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,hi,
model_key+language,chatgpt,200,0.56,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,bn,
model_key+language,chatgpt,200,0.755,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,ta,
model_key+language,chatgpt,200,0.81,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,es,
model_key+language,chatgpt,200,0.555,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,ja,
model_key+language,chatgpt,200,0.575,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,ar,
model_key+language,claude,50,0.38,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,en,
model_key+language,claude,200,0.51,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,hi,
model_key+language,claude,200,0.48,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,bn,
model_key+language,claude,200,0.565,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,ta,
model_key+language,claude,200,0.42,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,es,
model_key+language,claude,200,0.43,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,ja,
model_key+language,claude,200,0.44,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,ar,
model_key+language,gemini_flash,50,0.5,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,en,
model_key+language,gemini_flash,200,0.41,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,hi,
model_key+language,gemini_flash,200,0.405,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,bn,
model_key+language,gemini_flash,200,0.435,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,ta,
model_key+language,gemini_flash,200,0.51,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,es,
model_key+language,gemini_flash,200,0.435,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,ja,
model_key+language,gemini_flash,200,0.415,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,ar,
model_key+condition_type,chatgpt,50,0.86,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,en_en
model_key+condition_type,chatgpt,300,0.7,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,translation_reason_en
model_key+condition_type,chatgpt,300,0.6,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,translation_reason_l2
model_key+condition_type,chatgpt,300,0.7033333333333334,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,adapted_reason_en
model_key+condition_type,chatgpt,300,0.56,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,adapted_reason_l2
model_key+condition_type,claude,50,0.38,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,en_en
model_key+condition_type,claude,300,0.52,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,translation_reason_en
model_key+condition_type,claude,300,0.46,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,translation_reason_l2
model_key+condition_type,claude,300,0.49,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,adapted_reason_en
model_key+condition_type,claude,300,0.4266666666666667,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,adapted_reason_l2
model_key+condition_type,gemini_flash,50,0.5,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,en_en
model_key+condition_type,gemini_flash,300,0.4633333333333333,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,translation_reason_en
model_key+condition_type,gemini_flash,300,0.43666666666666665,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,translation_reason_l2
model_key+condition_type,gemini_flash,300,0.43333333333333335,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,adapted_reason_en
model_key+condition_type,gemini_flash,300,0.4066666666666667,chatgpt,chatgpt/S32/ta_translation_reason_ta/5,,adapted_reason_l2
