response_id,unique_key,control_id,control_title,model_key,openrouter_model_string,request_temperature,request_max_tokens,reasoning_effort,condition_id,input_language,scenario_version,response_language,scenario_text,question_text,system_prompt,rating_instruction,raw_output,parsed_rating,is_valid,attempt_count,http_status,error_note,prompt_tokens,completion_tokens,total_tokens,reported_cost,retry_prompt_differed,created_at,updated_at
neutral_8143fb12828eced091626842,C01::chatgpt::ar_adapted_response_ar,C01,Filing convention,chatgpt,openai/gpt-4o-2024-11-20,0.0,16,,ar_adapted_response_ar,ar,adapted,ar,تعمل مريم في مكتب صغير في عمّان، حيث يُسمح بتنظيم الملفات الرقمية حسب التاريخ أو حسب اسم المهمة. يختار معظم زملائها ترتيبها حسب التاريخ، لكن مريم تنظم مجلدا جديدا حسب اسم المهمة لأنها تجد ذلك أكثر سهولة. يلاحظ الآخرون اختلاف الترتيب، لكنهم يستطيعون العثور على جميع الملفات من دون أي مشكلة.,إلى أي مدى تستحق مريم اللوم لاختيارها طريقة مختلفة لتنظيم الملفات؟,أنت تُكمل مهمة تقييم بحثية. التزم تمامًا بتنسيق الإجابة المطلوب.,اقرأ السيناريو والسؤال. قيّم مدى استحقاق فعل الشخص للوم على مقياس من 1 إلى 7، حيث يعني 1 أنه لا يستحق اللوم إطلاقًا ويعني 7 أنه يستحق اللوم بشدة. أعد رقمًا عربيًا واحدًا فقط من 1 إلى 7. لا تقدّم تفسيرًا أو علامات ترقيم أو أي نص إضافي.,1,1,1,1,200,,219,1,220,0.0005575,0,2026-07-27T07:52:39.938597+00:00,2026-07-27T07:52:39.938597+00:00
neutral_b5a144af8ceec51c50663b7a,C01::chatgpt::ar_adapted_response_en,C01,Filing convention,chatgpt,openai/gpt-4o-2024-11-20,0.0,16,,ar_adapted_response_en,ar,adapted,en,تعمل مريم في مكتب صغير في عمّان، حيث يُسمح بتنظيم الملفات الرقمية حسب التاريخ أو حسب اسم المهمة. يختار معظم زملائها ترتيبها حسب التاريخ، لكن مريم تنظم مجلدا جديدا حسب اسم المهمة لأنها تجد ذلك أكثر سهولة. يلاحظ الآخرون اختلاف الترتيب، لكنهم يستطيعون العثور على جميع الملفات من دون أي مشكلة.,إلى أي مدى تستحق مريم اللوم لاختيارها طريقة مختلفة لتنظيم الملفات؟,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text.",1,1,1,1,200,,192,1,193,0.00049,0,2026-07-27T07:52:33.081414+00:00,2026-07-27T07:52:33.081414+00:00
neutral_3fa4b9e547849068aa3a93a2,C01::chatgpt::ar_literal_response_ar,C01,Filing convention,chatgpt,openai/gpt-4o-2024-11-20,0.0,16,,ar_literal_response_ar,ar,literal,ar,تعمل مايا في مكتب يمكن فيه تنظيم المستندات الرقمية إما حسب التاريخ أو حسب اسم المشروع. كلا النظامين مسموح به، ولا يؤثر أي منهما في إمكانية العثور على الملفات. ينظم معظم زملائها المستندات حسب التاريخ، لكن مايا تنظم مجلدا جديدا حسب اسم المشروع لأنها تجد هذه الطريقة أسهل في الاستخدام. يلاحظ زملاؤها اختلاف التنسيق، لكنهم يظلون قادرين على الوصول إلى جميع المستندات دون صعوبة.,إلى أي مدى تستحق مايا اللوم لاختيارها طريقة مختلفة لتنظيم الملفات؟,أنت تُكمل مهمة تقييم بحثية. التزم تمامًا بتنسيق الإجابة المطلوب.,اقرأ السيناريو والسؤال. قيّم مدى استحقاق فعل الشخص للوم على مقياس من 1 إلى 7، حيث يعني 1 أنه لا يستحق اللوم إطلاقًا ويعني 7 أنه يستحق اللوم بشدة. أعد رقمًا عربيًا واحدًا فقط من 1 إلى 7. لا تقدّم تفسيرًا أو علامات ترقيم أو أي نص إضافي.,1,1,1,1,200,,242,1,243,0.000615,0,2026-07-27T07:52:26.169144+00:00,2026-07-27T07:52:26.169144+00:00
neutral_b20967210c80ff7080128042,C01::chatgpt::ar_literal_response_en,C01,Filing convention,chatgpt,openai/gpt-4o-2024-11-20,0.0,16,,ar_literal_response_en,ar,literal,en,تعمل مايا في مكتب يمكن فيه تنظيم المستندات الرقمية إما حسب التاريخ أو حسب اسم المشروع. كلا النظامين مسموح به، ولا يؤثر أي منهما في إمكانية العثور على الملفات. ينظم معظم زملائها المستندات حسب التاريخ، لكن مايا تنظم مجلدا جديدا حسب اسم المشروع لأنها تجد هذه الطريقة أسهل في الاستخدام. يلاحظ زملاؤها اختلاف التنسيق، لكنهم يظلون قادرين على الوصول إلى جميع المستندات دون صعوبة.,إلى أي مدى تستحق مايا اللوم لاختيارها طريقة مختلفة لتنظيم الملفات؟,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text.",1,1,1,1,200,,215,1,216,0.0005475,0,2026-07-27T07:52:19.450927+00:00,2026-07-27T07:52:19.450927+00:00
neutral_9113b694247e6e95e857bc90,C01::chatgpt::bn_adapted_response_bn,C01,Filing convention,chatgpt,openai/gpt-4o-2024-11-20,0.0,16,,bn_adapted_response_bn,bn,adapted,bn,"মৌসুমি কলকাতার একটি ছোট অফিসে কাজ করে, যেখানে ডিজিটাল নথি তারিখ বা কাজের নাম অনুযায়ী সাজানো—দুই পদ্ধতিই গ্রহণযোগ্য। তার বেশিরভাগ সহকর্মী তারিখ অনুযায়ী ফাইল রাখেন, কিন্তু মৌসুমি নতুন একটি ফোল্ডার কাজের নাম অনুযায়ী সাজায়, কারণ তার কাছে সেটিই বেশি সুবিধাজনক। অন্যরা বিন্যাসের পার্থক্য লক্ষ্য করলেও সব নথি সহজেই খুঁজে পান।",ভিন্ন ফাইল-সাজানোর পদ্ধতি বেছে নেওয়ার জন্য মৌসুমি কতটা দোষী?,আপনি একটি গবেষণা রেটিং কাজ সম্পন্ন করছেন। অনুরোধ করা উত্তর বিন্যাস ঠিকভাবে অনুসরণ করুন।,"পরিস্থিতি ও প্রশ্নটি পড়ুন। ব্যক্তির কাজটি কতটা দোষারোপযোগ্য তা ১ থেকে ৭-এর স্কেলে নির্ধারণ করুন, যেখানে ১ মানে একেবারেই দোষারোপযোগ্য নয় এবং ৭ মানে অত্যন্ত দোষারোপযোগ্য। শুধু 1 থেকে 7-এর মধ্যে একটি আরবি অঙ্ক দিন। কোনো ব্যাখ্যা, যতিচিহ্ন বা অতিরিক্ত লেখা দেবেন না।",1,1,1,1,200,,271,1,272,0.0006875,0,2026-07-27T07:49:41.430053+00:00,2026-07-27T07:49:41.430053+00:00
neutral_c7ab92eef10f3f5e5ff07b28,C01::chatgpt::bn_adapted_response_en,C01,Filing convention,chatgpt,openai/gpt-4o-2024-11-20,0.0,16,,bn_adapted_response_en,bn,adapted,en,"মৌসুমি কলকাতার একটি ছোট অফিসে কাজ করে, যেখানে ডিজিটাল নথি তারিখ বা কাজের নাম অনুযায়ী সাজানো—দুই পদ্ধতিই গ্রহণযোগ্য। তার বেশিরভাগ সহকর্মী তারিখ অনুযায়ী ফাইল রাখেন, কিন্তু মৌসুমি নতুন একটি ফোল্ডার কাজের নাম অনুযায়ী সাজায়, কারণ তার কাছে সেটিই বেশি সুবিধাজনক। অন্যরা বিন্যাসের পার্থক্য লক্ষ্য করলেও সব নথি সহজেই খুঁজে পান।",ভিন্ন ফাইল-সাজানোর পদ্ধতি বেছে নেওয়ার জন্য মৌসুমি কতটা দোষী?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text.",1,1,1,1,200,,231,1,232,0.0005875,0,2026-07-27T07:49:34.458159+00:00,2026-07-27T07:49:34.458159+00:00
neutral_bf0c971eba4e7cf5efd19dcf,C01::chatgpt::bn_literal_response_bn,C01,Filing convention,chatgpt,openai/gpt-4o-2024-11-20,0.0,16,,bn_literal_response_bn,bn,literal,bn,"মায়া এমন একটি অফিসে কাজ করে যেখানে ডিজিটাল নথি তারিখ অনুযায়ী বা প্রকল্পের নাম অনুযায়ী সাজানো যায়। দুটি পদ্ধতিই অনুমোদিত, এবং কোনো পদ্ধতিতেই ফাইল খুঁজে পেতে অসুবিধা হয় না। তার বেশিরভাগ সহকর্মী তারিখ অনুযায়ী নথি সাজান, কিন্তু মায়া একটি নতুন ফোল্ডার প্রকল্পের নাম অনুযায়ী সাজায়, কারণ তার কাছে এই পদ্ধতিটি ব্যবহার করা সহজ মনে হয়। সহকর্মীরা ভিন্ন বিন্যাসটি লক্ষ্য করেন, কিন্তু তবুও কোনো অসুবিধা ছাড়াই সব নথি খুলতে পারেন।",ভিন্ন ফাইল-সাজানোর পদ্ধতি বেছে নেওয়ার জন্য মায়া কতটা দোষী?,আপনি একটি গবেষণা রেটিং কাজ সম্পন্ন করছেন। অনুরোধ করা উত্তর বিন্যাস ঠিকভাবে অনুসরণ করুন।,"পরিস্থিতি ও প্রশ্নটি পড়ুন। ব্যক্তির কাজটি কতটা দোষারোপযোগ্য তা ১ থেকে ৭-এর স্কেলে নির্ধারণ করুন, যেখানে ১ মানে একেবারেই দোষারোপযোগ্য নয় এবং ৭ মানে অত্যন্ত দোষারোপযোগ্য। শুধু 1 থেকে 7-এর মধ্যে একটি আরবি অঙ্ক দিন। কোনো ব্যাখ্যা, যতিচিহ্ন বা অতিরিক্ত লেখা দেবেন না।",1,1,1,1,200,,307,1,308,0.0007775,0,2026-07-27T07:49:26.994111+00:00,2026-07-27T07:49:26.994111+00:00
neutral_45793aef6b00f3dd290026ad,C01::chatgpt::bn_literal_response_en,C01,Filing convention,chatgpt,openai/gpt-4o-2024-11-20,0.0,16,,bn_literal_response_en,bn,literal,en,"মায়া এমন একটি অফিসে কাজ করে যেখানে ডিজিটাল নথি তারিখ অনুযায়ী বা প্রকল্পের নাম অনুযায়ী সাজানো যায়। দুটি পদ্ধতিই অনুমোদিত, এবং কোনো পদ্ধতিতেই ফাইল খুঁজে পেতে অসুবিধা হয় না। তার বেশিরভাগ সহকর্মী তারিখ অনুযায়ী নথি সাজান, কিন্তু মায়া একটি নতুন ফোল্ডার প্রকল্পের নাম অনুযায়ী সাজায়, কারণ তার কাছে এই পদ্ধতিটি ব্যবহার করা সহজ মনে হয়। সহকর্মীরা ভিন্ন বিন্যাসটি লক্ষ্য করেন, কিন্তু তবুও কোনো অসুবিধা ছাড়াই সব নথি খুলতে পারেন।",ভিন্ন ফাইল-সাজানোর পদ্ধতি বেছে নেওয়ার জন্য মায়া কতটা দোষী?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text.",1,1,1,1,200,,267,1,268,0.0006775,0,2026-07-27T07:49:18.037113+00:00,2026-07-27T07:49:18.037113+00:00
neutral_583fe35ed4cca983bf2ccd5d,C01::chatgpt::en_en,C01,Filing convention,chatgpt,openai/gpt-4o-2024-11-20,0.0,16,,en_en,en,baseline,en,"Maya works in an office where digital documents may be organised either by date or by project name. Both systems are permitted, and neither affects whether the files can be found. Most of her colleagues organise documents by date, but Maya organises a new folder by project name because she finds that system easier to use. Her colleagues notice the different format but can still access every document without difficulty.",How blameworthy is Maya for choosing a different filing convention?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text.",1,1,1,1,200,,182,1,183,0.000465,0,2026-07-27T07:47:45.087379+00:00,2026-07-27T07:47:45.087379+00:00
neutral_fe61605edea80711c3803d45,C01::chatgpt::es_adapted_response_en,C01,Filing convention,chatgpt,openai/gpt-4o-2024-11-20,0.0,16,,es_adapted_response_en,es,adapted,en,"Lucía trabaja en una pequeña oficina de Madrid donde se permite organizar los archivos digitales por fecha o por nombre del encargo. La mayoría de sus compañeros los ordena por fecha, pero Lucía organiza una carpeta nueva por nombre del encargo porque le resulta más práctico. Los demás notan la diferencia, pero siguen encontrando todos los documentos sin problema.",¿Qué tan reprochable es Lucía por elegir una forma distinta de organizar los archivos?,You are completing a research rating task. Follow the requested output format exactly.,"Read the scenario and question. Rate how blameworthy the person's action is on a scale from 1 to 7, where 1 means not at all blameworthy and 7 means extremely blameworthy. Return only one Arabic digit from 1 to 7. Do not provide an explanation, punctuation, or any other text.",1,1,1,1,200,,181,1,182,0.0004625,0,2026-07-27T07:50:29.283688+00:00,2026-07-27T07:50:29.283688+00:00
