response_id,scenario_id,modelKey,model,inputLang,input_language,reasoningLang,reasoning_language,conditionId,condition_type,framing,response_instruction,scenarioVersion,human_adjudicated_foundation,explanation_raw
full_1782215308316_vrq93w__chatgpt__S11__ar_adapted_reason_ar__qualitative,S11,chatgpt,GPT-4o,ar,Arabic,ar,Arabic,ar_adapted_reason_ar,"Adapted, Same-language response",Adapted,Same-language response,adapted,Authority/Subversion,عمر يتحمل مسؤولية كبيرة عن طريقة إعلانه، حيث اختار مناسبة عامة قد تسبب إحراجًا لوالده وتوترًا في العلاقة بينهما. كان من الأفضل أن يناقش الأمر بشكل خاص مع والده أولاً لإظهار الاحترام لمشاعره وتقدير جهوده. الإعلان في هذا السياق قد يُعتبر غير حساس وغير مراعي للأثر العاطفي على العائلة.
full_1782215308316_vrq93w__chatgpt__S11__ar_adapted_reason_en__qualitative,S11,chatgpt,GPT-4o,ar,Arabic,en,English,ar_adapted_reason_en,"Adapted, English response",Adapted,English response,adapted,Authority/Subversion,"Omar's decision to pursue his passion for music is a personal and valid choice, but the way he announced it could be seen as inconsiderate. Publicly declaring such a significant decision at a family gathering without prior discussion with his father might have caused unnecessary embarrassment or hurt. While his aspirations are important, the manner of communication could have been more thoughtful and respectful."
full_1782215308316_vrq93w__chatgpt__S11__ar_translation_reason_ar__qualitative,S11,chatgpt,GPT-4o,ar,Arabic,ar,Arabic,ar_translation_reason_ar,"Literal, Same-language response",Literal,Same-language response,translation,Loyalty/Betrayal,تصرف أرجون يمكن اعتباره خاطئًا أخلاقيًا لأنه اختار إعلان قراره في مناسبة عائلية عامة، مما قد يسبب إحراجًا لوالده أمام الأقارب والجيران. كان من الأفضل أن يناقش أرجون قراره مع والده بشكل خاص وبطريقة تحترم مشاعره وتقدّر جهوده وتوقعاته. الإعلان في هذا السياق قد يُظهر قلة حساسية تجاه والده ومكانته الاجتماعية.
full_1782215308316_vrq93w__chatgpt__S11__ar_translation_reason_en__qualitative,S11,chatgpt,GPT-4o,ar,Arabic,en,English,ar_translation_reason_en,"Literal, English response",Literal,English response,translation,Care/Harm,"Arjun's decision to pursue his passion for music is valid and reflects his autonomy, but the way he announced it could be seen as insensitive. Sharing such personal and potentially disappointing news in a public setting, especially during a celebration for his father, may have caused unnecessary embarrassment or hurt. A private conversation with his father beforehand would have been a more considerate approach."
full_1782215308316_vrq93w__chatgpt__S11__bn_adapted_reason_bn__qualitative,S11,chatgpt,GPT-4o,bn,Bengali,bn,Bengali,bn_adapted_reason_bn,"Adapted, Same-language response",Adapted,Same-language response,adapted,Loyalty/Betrayal,ঋজুর কাজটি নৈতিকভাবে ভুল কারণ সে তার বাবার দীর্ঘদিনের আশা এবং ত্যাগের প্রতি সম্মান দেখাতে ব্যর্থ হয়েছে। এমন একটি বড় পারিবারিক অনুষ্ঠানে এই ঘোষণা দেওয়া তার বাবার সম্মানহানি করেছে এবং তাকে মানসিকভাবে আঘাত করেছে। এই ধরনের ব্যক্তিগত সিদ্ধান্ত আরও সংবেদনশীল এবং ব্যক্তিগতভাবে আলোচনা করা উচিত ছিল।
full_1782215308316_vrq93w__chatgpt__S11__bn_adapted_reason_en__qualitative,S11,chatgpt,GPT-4o,bn,Bengali,en,English,bn_adapted_reason_en,"Adapted, English response",Adapted,English response,adapted,Loyalty/Betrayal,"Riju's decision to announce his career plans in such a public and emotionally charged setting was insensitive and disrespectful to his father, who had sacrificed much for his education and had specific hopes for him. While pursuing one's passion is important, the timing and manner of the announcement disregarded his father's feelings and the significance of the occasion, making it morally wrong."
full_1782215308316_vrq93w__chatgpt__S11__bn_translation_reason_bn__qualitative,S11,chatgpt,GPT-4o,bn,Bengali,bn,Bengali,bn_translation_reason_bn,"Literal, Same-language response",Literal,Same-language response,translation,Loyalty/Betrayal,"অর্জুনের বাবার প্রতি তার দায়িত্ব এবং ত্যাগের প্রতি সম্মান দেখানো উচিত ছিল। এমন একটি বড় পারিবারিক অনুষ্ঠানে এই ঘোষণা করা তার বাবার সম্মানহানি করেছে এবং তাকে মানসিকভাবে আঘাত করেছে। যদিও নিজের স্বপ্ন অনুসরণ করা গুরুত্বপূর্ণ, এটি আরও সংবেদনশীল এবং ব্যক্তিগতভাবে আলোচনা করা উচিত ছিল। তাই অর্জুনের কাজটি নৈতিকভাবে ভুল।"
full_1782215308316_vrq93w__chatgpt__S11__bn_translation_reason_en__qualitative,S11,chatgpt,GPT-4o,bn,Bengali,en,English,bn_translation_reason_en,"Literal, English response",Literal,English response,translation,Loyalty/Betrayal,"Arjun's decision to announce his career choice in such a public and sensitive setting without prior discussion with his father can be considered morally wrong. It disregards his father's sacrifices and feelings, especially given the expectations and struggles tied to the family business. While pursuing one's passion is important, the manner and timing of the announcement lacked empathy and respect for his father's perspective."
full_1782215308316_vrq93w__chatgpt__S11__en_en__qualitative,S11,chatgpt,GPT-4o,en,English,en,English,en_en,English baseline,English baseline,English baseline,en,Loyalty/Betrayal,"Arjun's action is morally questionable because he chose a public and emotionally charged setting to deliver deeply personal and potentially hurtful news to his father, which could be seen as disrespectful and inconsiderate of his father's feelings. While pursuing his passion is his right, the timing and manner of his announcement lacked sensitivity, especially given his father's sacrifices and the expectations he had for Arjun."
full_1782215308316_vrq93w__chatgpt__S11__es_adapted_reason_en__qualitative,S11,chatgpt,GPT-4o,es,Spanish,en,English,es_adapted_reason_en,"Adapted, English response",Adapted,English response,adapted,Loyalty/Betrayal,"Álvaro's decision to pursue his passion for music is not inherently wrong, as individuals have the right to follow their own aspirations. However, the way he revealed this news—during a significant family event and without prior discussion—could be seen as inconsiderate, as it may have embarrassed or hurt his father, who had different expectations and made sacrifices for Álvaro's education."
