scenario_id,intended_mft_foundation,human_majority_foundation,majority_resolved,majority_matches_intended,all_three_disagree,included_validated_subset,included_human_majority
S01,Care/Harm,Care/Harm,true,true,false,true,true
S02,Care/Harm,Care/Harm,true,true,false,true,true
S03,Care/Harm,,false,false,true,false,false
S04,Care/Harm,Loyalty/Betrayal,true,false,false,false,true
S05,Care/Harm,Care/Harm,true,true,false,true,true
S06,Loyalty/Betrayal,Loyalty/Betrayal,true,true,false,true,true
S07,Loyalty/Betrayal,Loyalty/Betrayal,true,true,false,true,true
S08,Loyalty/Betrayal,Fairness/Cheating,true,false,false,false,true
S09,Loyalty/Betrayal,,false,false,true,false,false
S10,Loyalty/Betrayal,Loyalty/Betrayal,true,true,false,true,true
S11,Authority/Subversion,Care/Harm,true,false,false,false,true
S12,Authority/Subversion,Authority/Subversion,true,true,false,true,true
S13,Authority/Subversion,,false,false,true,false,false
S14,Authority/Subversion,Care/Harm,true,false,false,false,true
S15,Authority/Subversion,Loyalty/Betrayal,true,false,false,false,true
S16,Fairness/Cheating,Fairness/Cheating,true,true,false,true,true
S17,Fairness/Cheating,Fairness/Cheating,true,true,false,true,true
S18,Fairness/Cheating,Fairness/Cheating,true,true,false,true,true
S19,Fairness/Cheating,Fairness/Cheating,true,true,false,true,true
S20,Fairness/Cheating,Fairness/Cheating,true,true,false,true,true
S21,Sanctity/Degradation,Sanctity/Degradation,true,true,false,true,true
S22,Sanctity/Degradation,Sanctity/Degradation,true,true,false,true,true
S23,Sanctity/Degradation,Sanctity/Degradation,true,true,false,true,true
S24,Sanctity/Degradation,Sanctity/Degradation,true,true,false,true,true
S25,Sanctity/Degradation,Sanctity/Degradation,true,true,false,true,true
S26,Care/Harm,Care/Harm,true,true,false,true,true
S27,Care/Harm,Care/Harm,true,true,false,true,true
S28,Fairness/Cheating,Fairness/Cheating,true,true,false,true,true
S29,Loyalty/Betrayal,Loyalty/Betrayal,true,true,false,true,true
S30,Authority/Subversion,Authority/Subversion,true,true,false,true,true
S31,Fairness/Cheating,Loyalty/Betrayal,true,false,false,false,true
S32,Loyalty/Betrayal,Loyalty/Betrayal,true,true,false,true,true
S33,Authority/Subversion,Authority/Subversion,true,true,false,true,true
S34,Sanctity/Degradation,Sanctity/Degradation,true,true,false,true,true
S35,Care/Harm,,false,false,true,false,false
S36,Fairness/Cheating,Fairness/Cheating,true,true,false,true,true
S37,Loyalty/Betrayal,Loyalty/Betrayal,true,true,false,true,true
S38,Authority/Subversion,Care/Harm,true,false,false,false,true
S39,Sanctity/Degradation,Sanctity/Degradation,true,true,false,true,true
S40,Care/Harm,Care/Harm,true,true,false,true,true
S41,Fairness/Cheating,Fairness/Cheating,true,true,false,true,true
S42,Loyalty/Betrayal,Loyalty/Betrayal,true,true,false,true,true
S43,Authority/Subversion,Authority/Subversion,true,true,false,true,true
S44,Sanctity/Degradation,Sanctity/Degradation,true,true,false,true,true
S45,Care/Harm,Care/Harm,true,true,false,true,true
S46,Fairness/Cheating,Fairness/Cheating,true,true,false,true,true
S47,Loyalty/Betrayal,Loyalty/Betrayal,true,true,false,true,true
S48,Authority/Subversion,Authority/Subversion,true,true,false,true,true
S49,Sanctity/Degradation,Sanctity/Degradation,true,true,false,true,true
S50,Care/Harm,Care/Harm,true,true,false,true,true
